Date,Open,High,Low,Close,Volume
2000-01-05,7.0,7.0,6.88,6.9,11090.0
2000-01-10,7.0,7.0,6.5,6.5,45344.0
2000-01-11,7.0,7.0,5.4,5.4,19069.0
2000-01-12,6.6,6.6,6.6,6.6,1.0
2000-01-13,6.6,6.75,6.0,6.6,5128.0
2000-01-14,6.6,6.6,6.45,6.58,26121.0
2000-01-17,6.6,6.6,6.5,6.5,15100.0
2000-01-18,6.3,6.4,6.0,6.0,30004.0
2000-01-19,6.0,6.0,6.0,6.0,7000.0
2000-01-20,5.9,6.0,5.9,6.0,20644.0
2000-01-21,6.0,6.1,6.0,6.1,2027.0
2000-01-27,5.93,6.1,5.93,6.1,37223.0
2000-02-01,5.0,5.0,5.0,5.0,9300.0
2000-02-02,5.7,5.7,5.7,5.7,4150.0
2000-02-08,5.45,5.45,5.45,5.45,25000.0
2000-02-09,5.8,5.8,5.8,5.8,16.0
2000-02-10,5.45,5.45,5.45,5.45,39000.0
2000-02-11,5.6,5.6,5.6,5.6,8714.0
2000-02-16,5.5,5.5,5.5,5.5,1100.0
2000-02-17,5.45,5.45,5.45,5.45,2000.0
2000-02-18,5.35,5.35,5.04,5.04,800.0
2000-02-21,5.0,5.0,5.0,5.0,100.0
2000-02-22,5.0,5.0,5.0,5.0,490.0
2000-02-23,5.2,5.22,5.2,5.22,20700.0
2000-02-24,5.59,5.59,5.59,5.59,314.0
2000-03-02,4.8,4.8,4.8,4.8,1400.0
2000-03-06,5.0,5.0,5.0,5.0,2000.0
2000-03-07,5.0,5.0,5.0,5.0,3000.0
2000-03-09,5.13,5.23,5.1,5.23,43480.0
2000-03-10,5.23,5.3,5.23,5.3,26000.0
2000-03-13,5.0,5.0,5.0,5.0,5350.0
2000-03-14,5.1,5.15,4.95,5.15,26271.0
2000-03-15,5.0,5.1,5.0,5.1,113936.0
2000-03-16,5.3,5.3,5.3,5.3,22800.0
2000-03-17,5.39,5.39,5.01,5.01,27679.0
2000-03-20,5.05,5.05,4.87,5.04,36145.0
2000-03-21,5.15,5.15,4.95,4.95,52503.0
2000-03-22,5.2,5.3,5.1,5.11,143750.0
2000-03-23,5.2,5.2,5.0,5.0,14435.0
2000-03-24,5.1,5.2,4.97,4.97,115790.0
2000-03-27,5.2,5.4,5.0,5.0,58945.0
2000-03-28,5.2,5.2,5.1,5.19,36880.0
2000-03-29,5.3,5.4,5.29,5.35,121956.0
2000-03-30,5.35,5.35,5.16,5.16,49441.0
2000-03-31,5.25,5.25,5.0,5.0,4025.0
2000-04-03,5.19,5.4,5.16,5.4,146350.0
2000-04-04,5.21,5.59,5.21,5.59,60800.0
2000-04-05,5.4,5.4,5.4,5.4,1000.0
2000-04-06,5.3,5.4,5.3,5.4,13294.0
2000-04-07,5.5,5.59,5.5,5.59,6372.0
2000-04-10,5.45,5.85,5.45,5.85,40489.0
2000-04-11,6.0,6.09,5.6,5.99,19100.0
2000-04-12,5.93,5.95,5.65,5.65,39320.0
2000-04-14,5.7,5.79,5.61,5.65,25221.0
2000-04-17,5.15,5.15,5.02,5.02,3000.0
2000-04-18,5.6,5.63,5.15,5.58,95010.0
2000-04-19,5.6,5.6,5.4,5.53,50959.0
2000-04-20,5.45,5.5,5.45,5.5,307051.0
2000-04-21,5.65,5.65,5.65,5.65,1510.0
2000-04-24,5.5,5.5,5.2,5.2,105000.0
2000-04-25,5.4,5.45,5.25,5.25,9100.0
2000-04-26,5.4,5.6,5.4,5.6,37435.0
2000-04-27,5.4,5.45,5.06,5.45,29661.0
2000-04-28,5.55,5.59,5.55,5.55,45100.0
2000-05-03,5.6,6.0,5.6,6.0,469.0
2000-05-05,5.6,5.6,5.5,5.5,1100.0
2000-05-06,5.6,5.6,5.53,5.56,14260.0
2000-05-10,5.51,5.69,5.51,5.69,21002.0
2000-05-11,5.45,5.52,5.4,5.52,18840.0
2000-05-12,6.22,6.22,5.26,5.45,15201.0
2000-05-15,5.26,5.28,5.2,5.2,41540.0
2000-05-17,5.2,5.2,5.0,5.0,14100.0
2000-05-18,5.0,5.0,5.0,5.0,11000.0
2000-05-19,4.55,4.55,4.55,4.55,2900.0
2000-05-26,4.3,5.01,4.3,5.0,33100.0
2000-06-02,4.15,5.5,4.15,5.4,121578.0
2000-06-08,4.81,5.0,4.81,5.0,54000.0
2000-06-13,5.32,5.32,5.32,5.32,1.0
2000-06-14,4.0,5.35,4.0,5.35,26064.0
2000-06-15,5.0,5.0,4.96,4.96,181.0
2000-06-20,4.5,4.88,4.5,4.88,5590.0
2000-06-21,4.35,4.35,4.35,4.35,24150.0
2000-06-27,4.5,4.6,4.5,4.5,24602.0
2000-06-28,4.15,4.15,4.15,4.15,8000.0
2000-06-29,4.45,4.45,4.45,4.45,1100.0
2000-06-30,4.5,4.5,4.44,4.44,1100.0
2000-07-03,4.45,4.45,4.45,4.45,50.0
2000-07-04,4.36,4.36,4.36,4.36,5000.0
2000-07-06,4.55,4.85,4.55,4.77,20251.0
2000-07-07,4.85,4.85,4.61,4.61,6100.0
2000-07-10,4.81,4.81,4.66,4.66,15252.0
2000-07-11,4.41,4.7,4.41,4.7,22000.0
2000-07-12,4.95,4.95,4.95,4.95,8000.0
2000-07-13,4.9,4.9,4.9,4.9,4901.0
2000-07-14,4.9,4.9,4.9,4.9,2025.0
2000-07-17,4.66,4.66,4.66,4.66,28550.0
2000-07-18,4.7,4.7,4.7,4.7,18550.0
2000-07-19,4.7,4.77,4.7,4.77,23566.0
