Date,Open,High,Low,Close,Volume
2014-12-01,320.0,320.0,320.0,320.0,400.0
2014-12-02,305.0,305.0,305.0,305.0,10000.0
2014-12-04,330.0,330.0,330.0,330.0,10000.0
2014-12-10,350.0,350.0,350.0,350.0,30.0
2014-12-11,212.2,212.2,212.2,212.2,1.0
2014-12-19,330.0,447.0,330.0,350.0,6324.0
2014-12-22,300.0,380.0,290.0,290.0,7764.0
2014-12-23,290.0,290.0,290.0,290.0,1046.0
2014-12-25,285.0,285.0,280.0,280.0,1351.0
2014-12-26,280.0,285.0,270.55,271.0,21007.0
2014-12-29,280.0,280.0,280.0,280.0,1.0
2014-12-30,290.0,310.0,280.0,280.0,4602.0
2015-01-05,321.0,350.0,280.0,280.0,12.0
2015-01-06,320.0,340.0,295.0,310.0,381.0
2015-01-08,300.0,360.0,285.0,335.0,579.0
2015-01-09,300.0,345.0,300.0,306.0,30.0
2015-01-12,290.1,303.0,290.1,303.0,9.0
2015-01-13,290.15,324.9,290.15,319.95,26.0
2015-01-14,324.95,334.95,295.0,315.0,67.0
2015-01-15,300.05,320.0,300.05,305.0,304.0
2015-01-16,305.1,314.95,305.1,308.0,571.0
2015-01-20,315.0,315.0,300.05,310.0,1032.0
2015-01-21,295.0,320.0,295.0,320.0,5101.0
2015-01-22,320.0,330.0,317.5,320.0,4484.0
2015-01-23,324.95,324.95,324.95,324.95,1.0
2015-01-26,320.0,320.0,312.0,320.0,14980.0
2015-01-27,340.0,344.95,312.0,330.0,48.0
2015-01-28,340.0,340.0,340.0,340.0,1.0
2015-01-30,335.0,335.0,335.0,335.0,2.0
2015-02-05,369.0,369.0,369.0,369.0,1.0
2015-02-06,369.0,377.0,330.0,377.0,32219.0
2015-02-09,379.95,379.95,360.25,379.9,17.0
2015-02-10,370.0,380.0,370.0,380.0,129.0
2015-02-11,380.0,389.95,380.0,380.0,83.0
2015-02-12,389.9,394.95,389.9,389.95,43.0
2015-02-13,389.95,395.0,389.95,395.0,121.0
2015-02-16,404.45,410.0,376.0,405.0,622.0
2015-02-17,405.0,405.0,405.0,405.0,1.0
2015-02-18,390.0,390.0,376.0,385.0,2867.0
2015-02-19,380.05,385.0,380.0,380.0,574.0
2015-02-20,384.95,384.95,384.95,384.95,10.0
2015-02-25,380.15,380.15,370.0,370.0,81.0
2015-02-26,379.95,380.0,379.95,380.0,97.0
2015-03-02,375.0,375.0,375.0,375.0,103.0
2015-03-03,381.0,385.05,379.95,380.0,5608.0
2015-03-04,380.0,380.0,380.0,380.0,19.0
2015-03-05,370.05,370.05,370.0,370.0,10.0
2015-03-06,379.9,379.95,379.9,379.95,93.0
2015-03-10,389.9,389.9,365.1,379.5,1051.0
2015-03-11,360.2,374.9,355.1,374.9,37.0
2015-03-12,360.0,369.95,355.05,369.95,28.0
2015-03-13,355.1,369.95,355.1,369.95,2.0
2015-03-16,356.05,374.95,355.05,369.95,40.0
2015-03-17,370.0,370.0,370.0,370.0,50.0
2015-03-18,370.0,370.0,370.0,370.0,31.0
2015-03-20,370.0,370.0,370.0,370.0,1.0
2015-03-25,354.95,354.95,354.95,354.95,100.0
2015-03-26,349.95,349.95,331.05,349.95,130.0
2015-03-30,350.05,354.95,349.95,354.95,1100.0
2015-03-31,350.0,350.0,349.95,349.95,122.0
2015-04-01,359.95,359.95,350.0,350.0,577.0
2015-04-02,340.15,354.9,340.15,354.9,11.0
2015-04-06,338.05,379.95,338.0,379.95,101.0
2015-04-07,365.0,365.0,348.9,349.85,2471.0
2015-04-09,364.95,375.0,340.0,375.0,2671.0
2015-04-10,360.05,384.95,360.05,377.15,271.0
2015-04-13,360.1,384.0,360.1,380.0,152.0
2015-04-14,371.0,384.95,371.0,384.95,164.0
2015-04-15,365.05,405.0,365.05,405.0,1486.0
2015-04-16,390.0,390.0,375.0,389.95,4026.0
2015-04-17,374.95,380.0,360.4,380.0,1675.0
2015-04-20,409.95,434.95,376.0,413.0,1637.0
2015-04-21,425.0,444.95,399.4,444.95,3553.0
2015-04-22,429.5,429.5,410.05,410.05,10.0
2015-04-23,405.0,405.0,390.0,405.0,1078.0
2015-04-24,430.0,434.9,419.95,419.95,123.0
2015-04-28,430.0,444.95,425.05,429.75,204.0
2015-04-29,441.0,444.95,400.35,424.95,814.0
2015-04-30,444.4,454.95,381.0,454.95,1243.0
2015-05-05,447.0,448.0,434.0,447.0,31.0
2015-05-06,443.0,443.0,418.0,419.0,22.0
2015-05-07,424.0,424.0,424.0,424.0,1.0
2015-05-08,424.0,424.0,403.0,419.0,923.0
2015-05-12,433.0,434.0,431.0,431.0,14.0
2015-05-13,440.0,440.0,436.0,439.0,12.0
2015-05-14,444.0,444.0,443.0,443.0,12.0
2015-05-15,443.0,444.0,443.0,444.0,135.0
2015-05-18,434.0,465.0,401.0,429.0,2218.0
2015-05-25,401.0,444.0,401.0,434.0,1307.0
2015-05-26,460.0,475.0,436.0,436.0,5260.0
2015-05-27,443.0,454.0,443.0,444.0,687.0
2015-05-28,444.0,454.0,444.0,454.0,132.0
2015-05-29,449.0,449.0,448.0,448.0,35.0
2015-06-01,459.0,463.0,459.0,463.0,17.0
2015-06-02,460.0,475.0,460.0,473.0,160.0
2015-06-03,475.0,475.0,460.0,460.0,166.0
2015-06-04,479.0,479.0,470.0,470.0,54.0
2015-06-05,474.0,474.0,474.0,474.0,5.0
2015-06-08,470.0,474.0,470.0,474.0,24.0
2015-06-09,468.0,479.0,468.0,471.0,88.0
2015-06-11,464.0,483.0,463.0,466.0,42.0
2015-06-15,455.0,474.0,455.0,474.0,883.0
2015-06-16,425.0,494.0,420.0,480.0,1922.0
2015-06-17,492.0,493.0,492.0,493.0,110.0
2015-06-18,471.0,493.0,470.0,475.0,636.0
2015-06-22,493.0,493.0,493.0,493.0,29.0
2015-06-23,490.0,490.0,490.0,490.0,3.0
2015-06-25,425.0,484.0,425.0,435.0,62.0
2015-06-26,436.0,477.0,436.0,477.0,5.0
2015-06-29,480.0,480.0,480.0,480.0,4.0
2015-06-30,463.0,475.0,463.0,463.0,218.0
2015-07-01,461.0,475.0,461.0,475.0,2.0
2015-07-02,479.0,488.0,475.0,488.0,45.0
2015-07-03,479.0,479.0,479.0,479.0,86.0
2015-07-06,479.0,479.0,479.0,479.0,101.0
2015-07-07,464.0,509.0,464.0,509.0,427.0
2015-07-08,475.0,495.0,471.0,494.0,412.0
2015-07-09,494.0,495.0,477.0,495.0,11.0
2015-07-10,494.0,495.0,481.0,495.0,211.0
2015-07-13,489.0,489.0,489.0,489.0,104.0
2015-07-14,495.0,495.0,485.0,494.0,76.0
2015-07-15,494.0,494.0,494.0,494.0,12.0
2015-07-16,489.0,489.0,489.0,489.0,35.0
2015-07-17,494.0,494.0,472.0,491.0,13988.0
2015-07-20,495.0,495.0,490.0,490.0,2137.0
2015-07-21,472.0,491.0,472.0,490.0,1224.0
2015-07-22,474.0,491.0,474.0,490.0,4006.0
2015-07-23,471.0,509.0,471.0,509.0,600.0
2015-07-24,500.0,507.0,500.0,500.0,4064.0
2015-07-27,509.0,509.0,500.0,500.0,119.0
2015-07-28,518.0,524.0,515.0,515.0,1136.0
2015-07-29,515.0,515.0,500.0,515.0,184.0
2015-07-30,515.0,515.0,515.0,515.0,20.0
2015-07-31,515.0,529.0,515.0,529.0,100.0
2015-08-03,529.0,539.0,525.0,539.0,56.0
2015-08-04,550.0,550.0,550.0,550.0,1.0
2015-08-05,589.0,589.0,560.0,589.0,428.0
2015-08-06,589.0,639.0,589.0,609.0,331.0
2015-08-07,636.0,636.0,600.0,625.0,365.0
2015-08-10,630.0,630.0,521.0,560.0,950.0
2015-08-11,579.0,595.0,520.0,539.0,4156.0
2015-08-12,548.0,548.0,515.0,515.0,1597.0
2015-08-13,518.0,600.0,518.0,520.0,15300.0
2015-08-14,522.0,565.0,520.0,524.0,7198.0
2015-08-17,530.0,565.0,525.0,560.0,3466.0
2015-08-18,531.0,565.0,531.0,565.0,3593.0
2015-08-19,565.0,565.0,537.0,539.0,1068.0
2015-08-20,544.0,564.0,515.0,531.0,1550.0
2015-08-21,544.0,544.0,522.0,540.0,552.0
2015-08-24,520.0,560.0,506.0,534.0,2654.0
2015-08-25,537.0,585.0,537.0,550.0,12082.0
2015-08-26,541.0,559.0,540.0,553.0,2351.0
2015-08-27,554.0,554.0,531.0,539.0,3976.0
2015-08-28,539.0,540.0,532.0,540.0,1616.0
2015-08-31,541.0,580.0,536.0,554.0,13074.0
2015-09-01,554.0,574.0,548.0,558.0,13106.0
2015-09-02,555.0,559.0,546.0,557.0,788.0
2015-09-03,555.0,563.0,548.0,550.0,1066.0
2015-09-04,561.0,569.0,550.0,567.0,7297.0
2015-09-07,565.0,585.0,565.0,584.0,5704.0
2015-09-08,580.0,585.0,560.0,585.0,9281.0
2015-09-09,590.0,598.0,575.0,577.0,22787.0
2015-09-10,577.0,610.0,577.0,590.0,4461.0
2015-09-11,593.0,599.0,570.0,584.0,963.0
2015-09-14,595.0,614.0,578.0,589.0,1319.0
2015-09-15,585.0,606.0,580.0,582.0,3492.0
2015-09-16,593.0,594.0,570.0,570.0,2131.0
2015-09-17,575.0,589.0,563.0,575.0,2159.0
2015-09-18,590.0,590.0,565.0,570.0,2933.0
2015-09-21,577.0,590.0,561.0,566.0,2650.0
2015-09-22,577.0,579.0,562.0,569.0,633.0
2015-09-23,563.0,575.0,553.0,565.0,1993.0
2015-09-24,571.0,575.0,551.0,562.0,2938.0
2015-09-25,565.0,566.0,553.0,560.0,957.0
2015-09-28,556.0,560.0,546.0,555.0,1034.0
2015-09-29,561.0,563.0,530.0,558.0,7829.0
2015-09-30,559.0,559.0,540.0,553.0,2836.0
2015-10-01,539.0,555.0,537.0,555.0,11594.0
2015-10-02,544.0,558.0,543.0,556.0,719.0
2015-10-05,546.0,558.0,545.0,558.0,1690.0
2015-10-06,552.0,559.0,535.0,548.0,6003.0
2015-10-07,540.0,549.0,523.0,535.0,8906.0
2015-10-08,531.0,548.0,502.0,507.0,6640.0
2015-10-09,506.0,515.0,504.0,515.0,10927.0
2015-10-12,516.0,534.0,491.0,520.0,5953.0
2015-10-13,515.0,533.0,515.0,532.0,2036.0
2015-10-14,519.0,544.0,519.0,541.0,2259.0
2015-10-15,534.0,548.0,530.0,538.0,2773.0
2015-10-16,538.0,553.0,536.0,540.0,1612.0
2015-10-19,548.0,589.0,545.0,569.0,9219.0
2015-10-20,585.0,610.0,577.0,585.0,17293.0
2015-10-21,575.0,605.0,575.0,588.0,4363.0
2015-10-22,590.0,597.0,568.0,596.0,12101.0
2015-10-23,595.0,603.0,585.0,600.0,17163.0
2015-10-26,592.0,610.0,586.0,597.0,2633.0
2015-10-27,602.0,647.0,600.0,620.0,9379.0
2015-10-28,628.0,640.0,595.0,613.0,19362.0
2015-10-29,614.0,629.0,585.0,600.0,4270.0
2015-10-30,600.0,616.0,600.0,616.0,786.0
2015-11-02,618.0,618.0,602.0,608.0,3370.0
2015-11-03,602.0,617.0,595.0,610.0,10739.0
2015-11-05,610.0,618.0,610.0,617.0,4344.0
2015-11-06,618.0,840.0,595.0,746.0,28959.0
2015-11-09,768.0,768.0,706.0,730.0,4186.0
2015-11-10,740.0,757.0,716.0,733.0,2115.0
2015-11-11,733.0,793.0,730.0,784.0,28864.0
2015-11-12,775.0,833.0,770.0,826.0,13228.0
2015-11-13,829.0,829.0,782.0,800.0,25288.0
2015-11-16,800.0,819.0,780.0,795.0,6096.0
2015-11-17,795.0,810.0,750.0,773.0,6175.0
