Date,Open,High,Low,Close,Volume
2011-11-29,35.0,40.609,35.0,40.609,19100.0
2011-11-30,48.32,54.6,42.0,54.6,76800.0
2011-12-01,67.0,76.44,65.55,76.44,11800.0
2011-12-02,100.1,107.016,45.864,45.864,1898500.0
2011-12-05,37.55,41.985,36.7,37.1,1547100.0
2011-12-06,37.0,37.1,34.75,34.8,831100.0
2011-12-07,34.701,36.0,34.501,35.3,467700.0
2011-12-08,35.3,35.3,34.75,34.821,181100.0
2011-12-09,34.999,35.24,34.2,34.39,631700.0
2011-12-12,34.304,34.797,33.3,33.49,225800.0
2011-12-13,33.003,34.0,30.501,33.9,665500.0
2011-12-14,33.033,33.8,32.62,33.387,103800.0
2011-12-15,33.3,33.5,32.03,32.901,357600.0
2011-12-16,32.95,32.95,31.757,32.198,134300.0
2011-12-19,31.666,31.798,30.71,31.304,133300.0
2011-12-20,31.02,31.499,30.351,31.347,150500.0
2011-12-21,31.287,31.998,30.55,31.049,236800.0
2011-12-22,31.0,31.0,30.353,30.657,107700.0
2011-12-23,30.6,30.9,30.3,30.301,149300.0
2011-12-26,30.013,30.495,30.012,30.347,181900.0
2011-12-27,30.051,30.3,30.0,30.0,18300.0
2011-12-28,30.379,30.4,30.0,30.111,595400.0
2011-12-29,30.021,30.35,29.4,30.2,404800.0
2011-12-30,30.48,31.0,30.48,31.0,572000.0
2012-01-03,31.0,31.0,30.354,30.99,143900.0
2012-01-04,30.711,31.384,30.6,31.0,41600.0
2012-01-05,30.998,31.0,29.4,29.995,313400.0
2012-01-06,29.92,30.17,29.7,30.093,44600.0
2012-01-09,30.048,30.083,29.8,30.07,20200.0
2012-01-10,30.6,30.6,30.1,30.44,180300.0
2012-01-11,30.4,30.598,30.104,30.112,81700.0
2012-01-12,30.106,30.75,29.702,30.699,264700.0
2012-01-13,30.501,30.75,30.135,30.4,25100.0
2012-01-16,30.479,30.479,29.561,30.15,106400.0
2012-01-17,30.15,30.47,29.799,29.9,408100.0
2012-01-18,29.851,29.95,29.7,29.8,201700.0
2012-01-19,29.8,29.9,29.74,29.85,440700.0
2012-01-20,30.0,30.5,29.701,30.2,1640200.0
2012-01-23,30.25,30.375,30.0,30.12,472300.0
2012-01-24,30.02,30.143,29.85,30.05,304000.0
2012-01-25,29.901,30.0,29.811,29.94,100500.0
2012-01-26,29.999,30.179,29.921,29.996,250900.0
2012-01-27,29.996,30.1,29.811,29.92,162800.0
2012-01-30,29.83,29.99,29.33,29.679,296000.0
2012-01-31,29.798,29.85,29.55,29.8,737700.0
2012-02-01,29.8,30.099,29.8,30.05,649600.0
2012-02-02,30.06,32.79,29.95,32.425,3367100.0
2012-02-03,32.45,32.5,31.6,31.85,408900.0
2012-02-06,31.609,31.82,31.35,31.6,424100.0
2012-02-07,31.65,33.2,31.561,33.17,4942400.0
2012-02-08,33.0,33.879,32.82,33.8,4706800.0
2012-02-09,33.8,33.82,32.201,32.849,538700.0
2012-02-10,32.799,32.799,32.025,32.2,491700.0
2012-02-13,32.32,33.45,32.3,33.3,1583800.0
2012-02-14,33.4,33.94,33.35,33.475,955200.0
2012-02-15,33.85,33.95,33.5,33.57,475200.0
2012-02-16,33.475,33.57,33.008,33.2,219200.0
2012-02-17,33.309,33.55,33.25,33.251,265800.0
2012-02-20,33.305,33.5,33.22,33.45,156100.0
2012-02-21,33.4,33.5,33.156,33.312,193200.0
2012-02-22,33.399,33.6,32.301,32.802,273200.0
2012-02-24,32.667,33.33,32.52,32.9,625700.0
2012-02-27,32.624,32.9,32.362,32.418,1200000.0
2012-02-28,32.4,32.4,31.11,31.685,330600.0
2012-02-29,31.551,32.28,31.55,32.109,463500.0
2012-03-01,31.951,32.929,31.712,32.86,1779500.0
2012-03-02,33.1,33.333,32.43,32.5,590800.0
2012-03-05,32.35,32.55,31.8,32.4,695400.0
2012-03-06,32.106,32.5,31.2,31.2,355500.0
2012-03-07,31.579,31.788,31.223,31.526,231500.0
2012-03-11,31.8,31.85,31.52,31.715,72700.0
2012-03-12,31.63,31.749,31.397,31.531,597800.0
2012-03-13,31.551,32.555,31.4,31.815,938600.0
2012-03-14,31.994,32.09,31.762,32.0,625500.0
2012-03-15,32.04,32.32,31.998,32.05,1939900.0
2012-03-16,32.011,32.19,31.951,32.0,744200.0
2012-03-19,32.097,32.3,31.992,32.05,1898200.0
2012-03-20,32.001,32.01,31.711,31.93,550900.0
2012-03-21,31.93,32.0,31.502,31.6,248300.0
2012-03-22,31.899,31.945,31.749,31.935,747800.0
2012-03-23,31.999,32.0,31.8,31.85,265400.0
2012-03-26,32.099,32.099,31.79,31.79,170900.0
2012-03-27,31.801,32.0,31.499,31.579,312200.0
2012-03-28,31.501,31.6,31.36,31.439,100500.0
2012-03-29,31.247,31.474,30.899,31.07,155500.0
2012-03-30,31.14,31.24,30.51,31.095,460500.0
2012-04-02,31.248,31.248,30.8,30.876,407000.0
2012-04-03,30.899,30.999,30.8,30.821,368800.0
2012-04-04,30.699,30.833,30.197,30.299,252000.0
2012-04-05,30.251,30.31,29.4,29.8,432300.0
2012-04-06,29.722,29.999,29.704,29.9,388400.0
2012-04-09,29.9,29.947,29.501,29.889,312300.0
2012-04-10,29.9,30.0,29.7,29.84,431200.0
