Date,Open,High,Low,Close,Volume
2023-10-13,466.2,466.2,466.2,466.2,854970.0
2023-10-16,540.0,651.7,502.0,560.0,19465123.0
2023-10-17,569.05,590.0,524.0,531.6,5713058.0
2023-10-18,532.0,536.3,502.35,506.0,3328237.0
2023-10-19,506.5,514.5,495.15,502.7,1639556.0
2023-10-20,505.85,506.1,480.1,480.75,1337349.0
2023-10-23,477.0,522.8,467.0,497.7,3649634.0
2023-10-24,498.25,512.65,495.0,501.0,1152589.0
2023-10-25,501.5,515.0,491.0,505.5,871216.0
2023-10-26,506.6,521.2,503.0,503.45,1037134.0
2023-10-27,503.45,507.75,493.5,499.1,411058.0
2023-10-30,498.5,500.05,480.2,491.0,436495.0
2023-10-31,490.9,504.7,475.05,488.0,512451.0
2023-11-01,492.05,504.8,488.0,493.25,321468.0
2023-11-02,494.8,506.0,490.4,490.5,516121.0
2023-11-03,493.25,501.6,491.0,496.0,222334.0
2023-11-06,497.95,518.0,496.2,516.95,675611.0
2023-11-07,518.65,531.9,511.0,515.15,889812.0
2023-11-08,515.4,517.0,507.4,510.25,200461.0
2023-11-09,508.05,511.0,500.0,505.75,201042.0
2023-11-10,505.75,508.75,496.5,507.05,288442.0
2023-11-13,508.9,511.75,500.0,501.5,254349.0
2023-11-14,501.5,511.9,490.0,502.85,486605.0
2023-11-15,502.0,505.7,497.0,503.7,255407.0
2023-11-16,502.5,519.85,500.25,516.45,983018.0
2023-11-17,516.45,540.0,509.0,533.45,1373954.0
2023-11-20,537.3,550.0,512.0,517.15,1584427.0
2023-11-21,513.5,522.0,506.0,515.15,487739.0
2023-11-22,515.15,516.9,509.0,513.35,316254.0
2023-11-23,513.3,513.35,506.05,509.45,283111.0
2023-11-24,509.85,510.65,501.05,508.2,236089.0
2023-11-27,507.9,508.15,480.0,492.5,594441.0
2023-11-28,492.5,494.0,481.3,492.45,459836.0
2023-11-29,492.5,493.9,485.0,485.65,220172.0
2023-11-30,487.4,488.0,478.55,481.0,285855.0
2023-12-01,483.05,483.05,470.0,476.4,288860.0
2023-12-04,476.0,477.95,461.0,464.4,298726.0
2023-12-05,465.2,477.95,464.5,477.9,242356.0
2023-12-06,478.15,480.9,459.05,461.8,346306.0
2023-12-07,462.6,480.0,450.0,467.05,704757.0
2023-12-08,467.25,473.25,460.0,461.9,215995.0
2023-12-11,463.5,468.6,444.0,450.0,372393.0
2023-12-12,453.0,454.8,445.0,450.2,320284.0
2023-12-13,450.0,464.5,446.7,463.9,274926.0
2023-12-14,466.05,477.3,460.3,470.0,367888.0
2023-12-15,470.0,487.4,458.25,474.7,333778.0
2023-12-18,476.85,494.3,476.85,493.0,458726.0
2023-12-19,491.5,499.55,487.5,495.9,477519.0
2023-12-20,499.45,523.7,496.3,517.0,1006522.0
2023-12-21,517.05,519.0,505.65,511.0,361810.0
2023-12-22,510.0,523.7,507.7,516.4,228883.0
2023-12-25,517.4,529.55,507.15,519.3,482279.0
2023-12-26,519.4,522.8,507.05,510.3,191077.0
2023-12-27,510.3,512.3,500.4,503.7,167347.0
2023-12-28,503.75,517.0,493.05,496.6,230828.0
2023-12-29,500.1,507.1,497.85,501.5,121790.0
2024-01-03,506.25,515.9,502.25,513.1,157890.0
2024-01-04,515.1,516.8,506.0,512.0,104876.0
2024-01-05,513.1,518.95,508.1,514.6,154934.0
2024-01-08,514.5,521.6,510.65,520.25,215799.0
2024-01-09,520.3,541.8,513.3,533.0,1039219.0
2024-01-10,533.0,544.0,522.85,525.6,473151.0
2024-01-11,528.8,531.15,515.25,522.1,359953.0
2024-01-12,523.5,533.75,516.55,524.9,338186.0
2024-01-15,529.35,531.8,521.0,526.55,148245.0
2024-01-16,526.6,527.85,518.0,524.05,179474.0
2024-01-17,524.35,529.6,519.55,525.3,193564.0
2024-01-18,526.3,528.8,521.6,522.95,146353.0
2024-01-19,523.2,523.65,516.55,517.85,149199.0
2024-01-22,520.05,527.45,510.75,526.05,605469.0
2024-01-23,528.4,548.85,521.9,542.75,1154371.0
2024-01-24,544.75,546.0,534.2,542.5,345538.0
2024-01-25,545.25,547.65,535.65,537.5,284152.0
2024-01-26,539.75,568.7,535.0,567.95,1845908.0
2024-01-29,570.0,581.7,550.9,561.0,1636812.0
2024-01-30,563.4,567.7,551.2,554.5,471662.0
2024-01-31,558.05,574.0,554.0,563.3,1223890.0
2024-02-01,565.45,565.5,544.15,553.1,626067.0
2024-02-02,553.15,557.7,545.75,551.6,246367.0
2024-02-05,551.75,562.0,551.6,558.6,229868.0
2024-02-06,560.0,563.65,551.65,554.85,274173.0
2024-02-07,555.5,555.8,547.6,553.9,344073.0
2024-02-08,555.0,555.45,541.15,542.75,339832.0
2024-02-09,542.65,547.65,533.0,541.05,334815.0
2024-02-12,543.4,569.85,541.4,569.15,1089131.0
2024-02-13,568.75,587.7,560.8,569.25,1551147.0
2024-02-14,571.25,572.5,555.2,560.4,630377.0
2024-02-15,562.05,564.8,555.05,559.4,262373.0
2024-02-16,559.5,567.35,556.0,559.4,339294.0
2024-02-19,561.1,565.0,558.2,561.6,178441.0
2024-02-20,561.6,562.15,541.0,543.35,421149.0
2024-02-21,542.0,551.4,528.5,539.9,313959.0
2024-02-22,541.7,549.0,535.55,545.0,166103.0
2024-02-26,547.0,562.9,547.0,559.85,235988.0
2024-02-27,563.05,569.75,555.6,567.15,325007.0
2024-02-28,568.9,570.7,560.0,562.7,249315.0
2024-02-29,562.7,575.0,562.35,567.0,439388.0
2024-03-01,569.1,578.85,566.0,572.85,359976.0
2024-03-04,574.85,584.6,564.8,577.5,531423.0
2024-03-05,578.0,580.0,568.0,570.15,403472.0
