Date,Open,High,Low,Close,Volume
2016-07-01,400.0,400.0,395.0,396.0,3.0
2016-07-04,403.0,416.0,403.0,407.0,11.0
2016-07-05,401.0,401.0,400.0,400.0,5.0
2016-07-06,400.0,400.0,390.0,395.0,185.0
2016-07-07,397.0,397.0,397.0,397.0,1.0
2016-07-08,399.0,399.0,399.0,399.0,1.0
2016-07-11,398.0,415.0,396.0,398.0,599.0
2016-07-12,400.0,408.0,394.0,394.0,33.0
2016-07-13,403.0,403.0,394.0,402.0,4.0
2016-07-14,397.0,397.0,396.0,396.0,3.0
2016-07-15,398.0,398.0,398.0,398.0,1.0
2016-07-18,394.0,395.0,390.0,395.0,137.0
2016-07-19,392.0,395.0,392.0,392.0,28.0
2016-07-20,395.0,395.0,392.0,395.0,44.0
2016-07-21,394.0,394.0,387.0,392.0,69.0
2016-07-22,390.0,393.0,389.0,390.0,175.0
2016-07-25,393.0,393.0,393.0,393.0,1.0
2016-07-26,393.0,393.0,393.0,393.0,10.0
2016-07-27,393.0,393.0,388.0,388.0,198.0
2016-07-28,389.0,389.0,387.0,388.0,315.0
2016-07-29,388.0,388.0,388.0,388.0,35.0
2016-08-01,388.0,388.0,387.0,388.0,575.0
2016-08-02,387.0,449.0,385.0,441.0,2099.0
2016-08-03,435.0,456.0,425.0,436.0,3579.0
2016-08-04,442.0,480.0,441.0,442.0,3412.0
2016-08-05,450.0,540.0,450.0,488.0,5193.0
2016-08-08,499.0,524.0,471.0,524.0,9670.0
2016-08-09,514.0,538.0,500.0,530.0,6697.0
2016-08-10,536.0,600.0,530.0,562.0,2077.0
2016-08-11,568.0,583.0,532.0,569.0,343.0
2016-08-12,584.0,600.0,570.0,596.0,1442.0
2016-08-15,596.0,744.0,547.0,604.0,2940.0
2016-08-16,607.0,645.0,603.0,630.0,771.0
2016-08-17,624.0,670.0,556.0,571.0,1624.0
2016-08-18,584.0,650.0,583.0,586.0,8307.0
2016-08-19,599.0,648.0,562.0,604.0,38.0
2016-08-22,608.0,640.0,600.0,605.0,205.0
2016-08-23,605.0,624.0,600.0,600.0,298.0
2016-08-24,597.0,618.0,597.0,610.0,1229.0
2016-08-25,607.0,607.0,563.0,579.0,50.0
2016-08-26,571.0,597.0,564.0,579.0,197.0
2016-08-29,570.0,578.0,550.0,570.0,224.0
2016-08-30,564.0,565.0,532.0,548.0,19.0
2016-08-31,565.0,574.0,565.0,571.0,23.0
2016-09-01,573.0,583.0,565.0,580.0,1797.0
2016-09-02,584.0,590.0,580.0,588.0,2071.0
2016-09-05,595.0,596.0,542.0,590.0,34.0
2016-09-06,590.0,606.0,590.0,606.0,1320.0
2016-09-07,608.0,608.0,600.0,600.0,42.0
2016-09-08,598.0,604.0,598.0,600.0,3527.0
2016-09-09,600.0,604.0,600.0,600.0,437.0
2016-09-12,600.0,600.0,600.0,600.0,24.0
2016-09-13,600.0,600.0,600.0,600.0,135.0
2016-09-14,601.0,602.0,600.0,600.0,2616.0
2016-09-15,617.0,634.0,557.0,600.0,2643.0
2016-09-16,596.0,600.0,583.0,599.0,230.0
2016-09-19,600.0,618.0,600.0,614.0,3045.0
2016-09-20,617.0,622.0,605.0,621.0,179.0
2016-09-21,628.0,628.0,620.0,621.0,590.0
2016-09-22,618.0,650.0,603.0,650.0,1271.0
