Date,Open,High,Low,Close,Volume
2020-02-20,755.1,1000.0,755.1,814.0,5552.0
2020-02-21,849.8,873.8,799.0,800.0,5763.0
2020-02-25,799.9,799.9,760.0,763.2,2770.0
2020-02-26,765.1,765.1,731.3,755.0,5149.0
2020-02-27,740.5,758.9,736.3,736.3,1967.0
2020-02-28,725.0,743.9,693.1,721.0,4766.0
2020-03-02,739.6,739.7,716.2,731.0,4377.0
2020-03-03,779.0,779.0,722.3,739.7,2004.0
2020-03-04,740.0,745.0,723.7,736.0,799.0
2020-03-05,731.2,747.9,719.0,720.3,1597.0
2020-03-06,724.0,724.0,655.8,679.9,5244.0
2020-03-10,607.6,668.0,590.5,636.0,6515.0
2020-03-11,640.0,669.0,620.0,641.4,1074.0
2020-03-12,610.1,640.0,525.0,582.0,9107.0
2020-03-13,570.0,629.0,518.3,589.9,4936.0
2020-03-16,580.0,589.9,531.4,566.6,3057.0
2020-03-17,565.0,593.9,541.0,566.3,4909.0
2020-03-18,535.2,584.6,529.9,540.8,7489.0
2020-03-19,549.8,550.0,526.1,542.3,2722.0
2020-03-20,544.9,579.9,544.9,564.6,18319.0
2020-03-23,590.0,590.0,527.1,560.2,10228.0
2020-03-24,578.9,582.0,557.6,580.0,14447.0
2020-03-25,589.0,668.9,538.0,590.0,43429.0
2020-03-26,620.0,620.0,560.0,581.7,8881.0
2020-03-27,571.0,577.0,560.0,561.7,14788.0
2020-03-30,564.0,564.0,548.6,553.0,18208.0
2020-03-31,556.0,556.0,545.6,552.2,25988.0
2020-04-01,550.0,552.1,548.0,551.9,33513.0
2020-04-02,555.0,555.0,530.0,550.5,26409.0
2020-04-03,549.1,551.5,545.9,548.0,62079.0
2020-04-06,548.2,553.1,548.2,550.7,41318.0
2020-04-07,551.9,558.9,551.0,555.7,55287.0
2020-04-08,559.9,569.9,553.5,568.8,39114.0
2020-04-09,569.8,569.8,554.5,559.7,43988.0
2020-04-10,564.8,565.0,551.0,553.8,17096.0
2020-04-13,554.0,554.0,549.0,549.5,46972.0
2020-04-14,552.8,562.7,549.0,557.0,24969.0
2020-04-15,557.0,561.9,545.0,561.0,80063.0
2020-04-16,558.6,572.6,556.3,572.1,36359.0
2020-04-17,573.0,573.0,559.4,572.0,33685.0
2020-04-20,569.8,571.2,565.1,568.9,6109.0
2020-04-21,565.2,565.3,552.0,553.9,14806.0
2020-04-22,556.0,579.2,554.1,577.0,21777.0
2020-04-23,578.0,599.0,576.8,597.4,39003.0
2020-04-24,596.7,629.7,596.7,618.8,46545.0
2020-04-27,625.0,679.0,615.9,660.0,49039.0
2020-04-28,664.9,670.2,635.2,636.0,11460.0
2020-04-29,635.2,645.0,621.2,628.5,11362.0
2020-04-30,626.6,638.0,620.0,620.0,18178.0
2020-05-04,639.0,669.5,625.0,655.0,48814.0
2020-05-05,655.5,655.5,648.0,648.0,6683.0
2020-05-06,650.5,650.5,643.5,644.0,2150.0
2020-05-07,643.0,644.5,630.0,637.0,10882.0
2020-05-08,630.5,637.0,630.0,630.0,2501.0
2020-05-12,631.0,632.0,620.5,620.5,3813.0
2020-05-13,620.0,622.5,608.0,615.0,23331.0
2020-05-14,610.5,616.5,604.5,607.0,14182.0
2020-05-15,608.0,608.5,598.0,604.5,14266.0
2020-05-18,600.5,610.0,600.5,605.0,9304.0
2020-05-19,613.0,613.0,597.5,600.0,7362.0
2020-05-20,605.5,620.0,597.5,605.0,31053.0
2020-05-21,609.5,609.5,599.0,601.0,5091.0
2020-05-22,598.0,600.5,587.0,594.0,53714.0
2020-05-25,604.5,619.0,595.5,616.0,39723.0
2020-05-26,619.5,623.0,612.0,612.0,39328.0
2020-05-27,610.5,613.5,607.5,612.5,116099.0
2020-05-28,614.0,621.0,612.5,620.0,22436.0
2020-05-29,619.5,621.0,615.0,618.0,48116.0
2020-06-01,615.0,622.0,613.5,622.0,27574.0
2020-06-02,622.0,630.0,621.5,626.5,19017.0
2020-06-03,625.5,629.0,621.0,622.5,14038.0
2020-06-04,620.5,621.5,580.0,593.0,125386.0
2020-06-05,599.5,611.0,599.5,609.0,8688.0
2020-06-08,611.0,616.5,609.5,611.0,7047.0
2020-06-09,610.0,620.0,599.0,618.0,39166.0
2020-06-10,619.5,621.0,613.0,621.0,21047.0
2020-06-11,615.5,615.5,598.0,603.0,14335.0
2020-06-15,604.5,609.5,588.5,598.5,11269.0
2020-06-16,604.5,608.0,603.0,605.5,8936.0
2020-06-17,605.0,609.5,604.5,604.5,2902.0
2020-06-18,604.0,605.0,599.0,604.5,3761.0
2020-06-19,609.5,609.5,603.0,605.0,5468.0
2020-06-22,602.0,604.0,596.5,598.0,23775.0
2020-06-23,599.5,601.0,591.5,599.5,9247.0
2020-06-25,595.5,596.5,581.0,585.0,25572.0
2020-06-26,589.0,598.0,586.5,592.0,34399.0
2020-06-29,591.0,596.5,585.0,595.0,17473.0
2020-06-30,597.5,597.5,579.5,585.5,91537.0
2020-07-02,589.5,593.5,588.0,590.0,4040.0
2020-07-03,591.5,593.5,590.5,592.0,3571.0
2020-07-06,594.5,604.0,587.0,587.5,12307.0
2020-07-07,588.0,594.5,583.0,588.5,15968.0
2020-07-08,586.5,590.0,585.0,587.5,5755.0
2020-07-09,587.5,594.0,581.5,583.5,5535.0
2020-07-10,586.0,586.5,582.5,585.5,4912.0
2020-07-13,589.0,590.5,578.5,580.5,8669.0
2020-07-14,578.0,591.0,578.0,590.5,26111.0
2020-07-15,594.5,596.0,585.5,587.5,9792.0
2020-07-16,586.5,590.0,584.5,590.0,2044.0
2020-07-17,592.0,599.5,588.0,597.5,13463.0
2020-07-20,601.0,604.0,590.5,591.5,34505.0
2020-07-21,591.5,598.5,590.5,592.5,46044.0
2020-07-22,597.0,633.0,594.5,632.0,95434.0
2020-07-23,634.5,665.0,632.0,662.5,92238.0
2020-07-24,660.0,690.0,641.0,686.0,53481.0
2020-07-27,686.0,746.5,660.5,731.5,67659.0
2020-07-28,730.5,749.5,680.0,747.5,94751.0
2020-07-29,754.5,755.0,733.0,744.0,67550.0
2020-07-30,743.0,755.0,733.5,751.0,72647.0
2020-07-31,758.5,762.5,748.5,751.5,73313.0
2020-08-03,753.5,758.5,735.0,735.0,19767.0
2020-08-04,731.5,733.5,703.5,704.5,32842.0
2020-08-05,709.5,724.0,702.0,706.0,36619.0
2020-08-06,705.0,708.5,685.0,687.5,27269.0
2020-08-07,683.5,693.5,683.5,693.0,9908.0
2020-08-10,694.5,700.5,684.0,685.5,15030.0
2020-08-11,689.5,690.5,685.0,688.5,13649.0
2020-08-12,685.5,691.5,675.5,679.0,18637.0
2020-08-13,676.5,681.0,666.5,670.0,20849.0
2020-08-14,674.5,676.5,666.0,670.0,7179.0
2020-08-17,674.0,678.0,668.5,668.5,17417.0
2020-08-18,674.5,676.5,661.0,662.0,15306.0
2020-08-19,663.0,671.5,660.0,670.0,12894.0
2020-08-20,667.0,672.0,665.5,666.0,12809.0
2020-08-21,674.5,682.0,669.5,672.0,22913.0
2020-08-24,679.5,708.5,665.5,700.0,65856.0
2020-08-25,707.0,724.5,697.0,702.5,29500.0
2020-08-26,700.0,704.5,688.5,694.5,17343.0
2020-08-27,699.5,699.5,678.5,684.5,18555.0
2020-08-28,689.5,699.5,672.5,687.5,15180.0
2020-08-31,689.0,698.5,688.5,691.0,6788.0
2020-09-01,690.0,692.5,682.0,685.0,18480.0
2020-09-02,688.0,688.0,669.0,670.0,24315.0
2020-09-03,670.0,681.5,665.0,667.5,28546.0
2020-09-04,665.5,666.5,657.0,659.0,23502.0
2020-09-07,656.0,674.5,655.5,662.0,9379.0
2020-09-08,664.0,664.0,648.0,650.5,9145.0
2020-09-09,646.5,650.0,642.5,644.0,8112.0
2020-09-10,662.5,662.5,637.0,642.0,12654.0
2020-09-11,646.5,647.0,637.5,645.0,7576.0
2020-09-14,646.0,657.0,639.0,650.5,24429.0
2020-09-15,654.5,677.0,652.0,671.0,42253.0
2020-09-16,670.0,674.5,665.0,668.0,9825.0
2020-09-17,665.0,674.5,660.0,669.5,8737.0
2020-09-18,671.0,673.0,653.5,661.0,21137.0
2020-09-21,659.0,660.5,649.5,651.0,14811.0
2020-09-22,650.5,689.0,650.0,687.0,64862.0
2020-09-23,681.0,692.5,671.0,690.0,27761.0
2020-09-24,684.0,700.0,684.0,697.5,36510.0
2020-09-25,691.5,701.0,690.5,697.5,79721.0
2020-09-28,697.0,706.5,695.5,704.5,203671.0
2020-09-29,701.5,707.0,700.0,701.0,19880.0
2020-09-30,704.0,882.5,699.0,707.0,76003.0
2020-10-01,708.5,710.5,701.0,702.5,14043.0
2020-10-02,701.0,708.5,697.0,705.5,26750.0
2020-10-05,701.5,713.0,701.5,712.0,11333.0
2020-10-06,712.0,717.0,704.0,705.0,9263.0
2020-10-07,700.5,706.5,695.0,705.0,213665.0
2020-10-08,705.0,709.0,699.5,700.0,4755.0
2020-10-09,700.0,700.0,690.0,695.5,6500.0
2020-10-12,699.5,704.0,693.0,696.0,4986.0
2020-10-13,698.0,699.0,695.0,697.5,7356.0
2020-10-14,699.5,707.0,692.0,705.5,201330.0
2020-10-15,709.5,709.5,698.0,702.5,6296.0
2020-10-16,703.5,705.0,696.5,703.0,22670.0
2020-10-19,709.0,724.5,703.0,718.0,53658.0
2020-10-20,715.5,724.5,712.0,713.5,55953.0
2020-10-21,719.5,723.0,708.0,708.0,25873.0
2020-10-22,714.5,714.5,690.5,700.0,52238.0
2020-10-23,704.0,706.0,693.5,693.5,7462.0
2020-10-26,699.5,704.0,693.5,697.0,22025.0
2020-10-27,696.5,699.0,686.5,686.5,17774.0
2020-10-28,694.0,694.0,630.5,639.0,123366.0
2020-10-29,639.0,660.0,639.0,656.5,22392.0
2020-10-30,656.0,660.0,650.0,660.0,10178.0
2020-11-02,664.5,672.0,660.0,671.0,32089.0
2020-11-03,671.0,681.5,670.5,677.5,19098.0
2020-11-05,683.0,695.0,677.5,692.5,13161.0
2020-11-06,690.5,704.0,687.0,698.0,9947.0
2020-11-09,701.0,707.5,696.0,701.0,24010.0
2020-11-10,705.0,706.0,692.0,692.0,23157.0
2020-11-11,691.0,700.0,691.0,693.5,4860.0
2020-11-12,699.0,699.0,690.5,698.5,4692.0
2020-11-13,698.5,702.5,691.5,695.0,20462.0
2020-11-16,700.0,707.5,699.0,703.5,18378.0
2020-11-17,704.5,706.5,693.0,694.0,8555.0
2020-11-18,693.5,704.5,692.0,699.0,40204.0
2020-11-19,695.5,718.5,694.0,705.5,107406.0
2020-11-20,706.0,713.5,704.0,705.5,38279.0
2020-11-23,713.5,727.5,691.0,709.0,59765.0
2020-11-24,709.5,717.0,703.0,716.5,26214.0
2020-11-25,719.0,737.0,716.0,735.5,98766.0
2020-11-26,738.5,739.0,729.5,731.5,29559.0
2020-11-27,730.5,735.0,725.5,727.0,19910.0
2020-11-30,726.0,733.0,720.0,723.5,22860.0
2020-12-01,729.5,756.0,724.5,755.0,208840.0
2020-12-02,756.0,780.0,740.0,778.0,97680.0
2020-12-03,778.0,778.0,756.0,763.5,63449.0
2020-12-04,767.5,777.0,764.0,774.0,37544.0
2020-12-07,771.0,776.0,755.0,770.0,43862.0
2020-12-08,765.5,777.0,761.5,767.0,12059.0
2020-12-09,774.0,785.0,767.5,776.0,32280.0
2020-12-10,784.0,789.0,774.0,784.0,11943.0
2020-12-11,794.0,794.0,782.5,788.5,12001.0
2020-12-14,789.0,800.5,789.0,790.5,114057.0
2020-12-15,790.0,790.5,759.5,790.0,23918.0
2020-12-16,788.5,788.5,776.5,782.0,18553.0
2020-12-17,782.0,789.5,740.0,751.0,37035.0
2020-12-18,751.0,765.0,730.5,731.0,59220.0
2020-12-21,739.5,745.0,696.0,696.0,31194.0
2020-12-22,695.5,735.0,695.5,735.0,76376.0
2020-12-23,730.5,734.0,710.0,730.0,17403.0
2020-12-24,730.0,757.5,722.0,755.0,30068.0
2020-12-25,750.5,759.5,750.5,756.0,4455.0
2020-12-28,756.0,756.0,741.5,748.0,8384.0
2020-12-29,754.5,779.0,750.0,778.0,34871.0
2020-12-30,772.0,776.5,770.0,770.0,4774.0
2021-01-04,774.5,777.5,768.0,770.5,12599.0
2021-01-05,772.0,787.0,761.5,783.0,16997.0
2021-01-06,781.0,803.5,781.0,800.0,33290.0
2021-01-08,812.0,827.5,798.5,827.5,24606.0
2021-01-11,825.0,854.5,800.5,837.0,23961.0
2021-01-12,839.0,855.0,820.5,839.0,20892.0
2021-01-13,840.5,868.0,812.0,813.5,12126.0
2021-01-14,819.5,834.0,810.0,812.5,9604.0
2021-01-15,814.5,824.5,791.0,794.0,11362.0
2021-01-18,799.5,821.0,799.5,816.0,15250.0
2021-01-19,819.5,829.0,791.0,795.5,18464.0
2021-01-20,804.0,819.0,796.0,800.0,6814.0
2021-01-21,833.0,833.0,779.0,780.5,7923.0
2021-01-22,784.5,789.0,744.5,755.5,21308.0
2021-01-25,764.5,780.0,764.5,774.0,9973.0
2021-01-26,772.0,772.0,763.0,771.0,4708.0
2021-01-27,773.5,786.5,763.0,772.0,16831.0
2021-01-28,765.5,774.5,750.0,772.0,10143.0
2021-01-29,775.0,775.0,760.0,762.5,7960.0
2021-02-01,765.5,766.0,725.0,759.5,21378.0
2021-02-02,760.0,761.5,743.0,743.0,34816.0
