Date,Open,High,Low,Close,Volume
2008-08-28,25.5,25.5,25.5,25.5,100.0
2008-08-29,25.0,25.0,25.0,25.0,300.0
2008-09-05,24.2,24.2,24.0,24.2,3100.0
2008-09-22,24.0,24.0,24.0,24.0,2000.0
2008-10-07,24.0,24.0,24.0,24.0,300.0
2008-10-09,23.8,23.8,23.8,23.8,2000.0
2008-10-13,23.01,23.01,23.0,23.0,20000.0
2008-10-16,23.0,23.0,23.0,23.0,25000.0
2008-10-28,20.0,20.0,15.01,15.01,500.0
2008-10-29,15.01,15.01,15.01,15.01,100.0
2008-10-30,15.0,21.0,13.58,13.58,41800.0
2008-10-31,13.75,13.75,13.75,13.75,600.0
2008-11-01,15.0,15.0,13.75,13.75,300.0
2008-11-05,13.32,13.32,13.32,13.32,200.0
2008-11-10,13.32,13.32,13.32,13.32,2000.0
2008-11-13,13.32,13.32,13.32,13.32,100.0
2008-11-27,13.32,13.32,13.32,13.32,100.0
2008-11-28,13.32,13.32,13.32,13.32,100.0
2008-12-03,11.0,11.0,8.0,8.0,1400.0
2008-12-11,9.0,9.0,9.0,9.0,800.0
2008-12-17,8.95,12.0,6.0,11.5,319700.0
2008-12-18,12.0,12.1,12.0,12.1,44400.0
2008-12-24,10.0,10.0,10.0,10.0,800.0
2008-12-25,13.99,13.99,10.99,10.99,1100.0
2008-12-26,7.0,7.0,6.6,6.6,600.0
2008-12-29,9.35,9.37,9.35,9.37,70100.0
2008-12-30,9.0,13.0,6.8,6.8,140100.0
2009-01-15,8.25,8.25,8.0,8.0,300.0
2009-01-16,8.0,8.0,8.0,8.0,100.0
2009-01-19,8.0,8.0,8.0,8.0,1000.0
2009-01-22,8.0,8.0,8.0,8.0,1800.0
2009-01-26,7.0,8.0,7.0,7.5,36800.0
2009-01-28,6.5,6.5,5.0,5.7,1800.0
2009-01-30,6.98,7.25,6.98,7.0,14100.0
2009-02-03,7.0,7.0,7.0,7.0,100.0
2009-02-04,6.5,6.5,6.5,6.5,100.0
2009-02-10,7.89,8.0,7.89,8.0,3100.0
2009-02-12,6.55,7.99,6.5,7.99,3100.0
2009-02-13,7.98,8.0,7.98,8.0,2400.0
2009-02-16,6.58,6.58,5.9,6.43,503200.0
2009-02-17,6.93,6.93,6.75,6.75,1000.0
2009-02-18,6.93,6.93,6.93,6.93,200.0
2009-02-24,7.0,7.0,7.0,7.0,100.0
