Date,Open,High,Low,Close,Volume
2020-10-07,104.99,105.0,91.56,100.5,1038932170.0
2020-10-08,99.41,100.5,98.3,100.5,7959060.0
2020-10-09,100.5,103.29,100.13,103.0,31701880.0
2020-10-12,103.25,104.5,103.01,103.55,12906560.0
2020-10-13,103.66,103.92,102.12,103.2,5577980.0
2020-10-14,103.37,103.38,102.5,103.0,1716120.0
2020-10-15,102.99,102.99,100.06,100.26,4049130.0
2020-10-16,100.88,101.93,100.06,100.47,1968390.0
2020-10-19,100.65,101.25,100.27,100.4,711880.0
2020-10-20,100.3,100.54,100.0,100.07,2069680.0
2020-10-21,100.4,100.48,98.4,98.59,2768880.0
2020-10-22,98.48,98.5,95.5,96.5,4004140.0
2020-10-23,96.69,96.71,95.6,96.31,1919790.0
2020-10-26,96.26,99.57,95.51,99.1,2359820.0
2020-10-27,99.11,99.53,97.95,98.6,2016710.0
2020-10-28,98.01,98.59,95.5,97.3,2406220.0
2020-10-29,97.3,98.4,97.0,97.89,662240.0
2020-10-30,98.18,98.2,97.0,98.09,433940.0
2020-11-02,98.17,98.35,97.0,97.96,697990.0
2020-11-03,98.34,98.34,97.25,97.31,724470.0
2020-11-05,97.7,98.43,97.5,97.55,953280.0
2020-11-06,97.79,97.79,96.56,97.03,803160.0
2020-11-09,97.08,97.86,96.65,96.65,1474060.0
2020-11-10,96.67,97.0,96.5,96.8,1006690.0
2020-11-11,97.0,97.72,96.56,96.67,846940.0
2020-11-12,97.05,97.48,96.52,96.57,911650.0
2020-11-13,96.7,96.9,96.51,96.59,1003810.0
2020-11-16,96.96,98.47,96.66,97.7,2159760.0
2020-11-17,98.03,100.87,97.7,97.77,7441300.0
2020-11-18,97.79,99.29,95.9,95.98,5665240.0
2020-11-19,96.2,97.0,96.0,96.9,1207250.0
2020-11-20,97.0,99.0,96.68,97.51,1333020.0
2020-11-23,97.56,98.27,97.3,97.52,662530.0
2020-11-24,97.89,97.89,97.11,97.31,712740.0
2020-11-25,97.5,97.73,97.01,97.45,907980.0
2020-11-26,97.6,97.69,97.01,97.41,826540.0
2020-11-27,97.41,97.71,97.01,97.19,512510.0
2020-11-30,97.41,97.44,96.27,96.29,1170370.0
2020-12-01,96.5,97.17,96.41,96.9,1008980.0
2020-12-02,96.9,97.0,96.57,96.75,1264200.0
2020-12-03,96.75,97.06,96.75,96.95,1050400.0
2020-12-04,97.01,97.43,96.76,96.98,754000.0
2020-12-07,97.2,97.2,96.1,96.16,1551130.0
2020-12-08,96.17,96.79,96.01,96.11,1063600.0
2020-12-09,96.53,96.53,96.05,96.1,1072060.0
2020-12-10,96.05,96.24,95.77,95.89,1119430.0
2020-12-11,95.98,96.04,95.69,95.76,912350.0
2020-12-14,95.9,96.1,95.02,95.02,1598350.0
2020-12-15,95.55,95.72,94.5,94.85,1490680.0
2020-12-16,94.87,95.02,94.31,94.48,986750.0
2020-12-17,94.69,94.93,93.26,93.69,1788420.0
2020-12-18,93.81,94.0,92.98,93.45,1819170.0
2020-12-21,93.6,93.69,92.55,92.57,1361120.0
2020-12-22,92.56,93.02,92.05,92.7,1971880.0
2020-12-23,92.98,93.18,91.6,92.0,3347780.0
2020-12-24,92.08,92.38,90.16,90.9,3058150.0
2020-12-25,90.54,92.87,90.0,92.0,2889060.0
2020-12-28,92.5,92.63,90.45,90.61,4751640.0
2020-12-29,90.95,91.18,90.51,90.54,2013500.0
2020-12-30,90.54,91.37,90.09,90.58,2718570.0
2021-01-04,90.91,92.65,90.73,92.1,1342720.0
2021-01-05,92.07,93.58,91.81,93.58,2180720.0
2021-01-06,93.67,94.5,93.13,93.3,2792060.0
2021-01-08,93.86,94.85,93.5,93.5,3100020.0
2021-01-11,93.5,94.33,93.16,93.59,2062790.0
2021-01-12,93.82,94.2,92.0,92.27,1592110.0
2021-01-13,92.46,93.33,92.3,92.6,2675600.0
2021-01-14,92.96,92.99,92.41,92.49,666840.0
2021-01-15,92.59,92.79,88.56,91.35,2265410.0
2021-01-18,91.49,92.0,91.4,92.0,494280.0
2021-01-19,92.47,92.68,91.41,91.42,854620.0
2021-01-20,92.17,92.39,91.5,91.62,989330.0
2021-01-21,92.45,92.45,91.02,91.42,1215730.0
2021-01-22,91.75,91.94,90.32,91.04,2236980.0
2021-01-25,91.11,91.77,90.8,90.84,1119660.0
2021-01-26,90.91,91.31,90.7,90.89,854530.0
2021-01-27,91.23,91.24,90.57,90.69,946250.0
2021-01-28,90.7,91.7,90.62,91.4,1216470.0
2021-01-29,91.39,92.0,91.02,91.52,1180890.0
2021-02-01,91.51,92.0,91.28,91.5,920740.0
2021-02-02,91.7,91.97,91.4,91.49,672680.0
2021-02-03,91.4,91.98,90.72,91.1,614350.0
2021-02-04,91.22,91.22,90.82,90.92,726020.0
2021-02-05,91.23,91.23,90.65,90.65,847900.0
2021-02-08,90.96,91.1,90.81,91.0,770680.0
2021-02-09,91.05,91.22,90.71,90.93,943390.0
2021-02-10,90.96,91.23,90.08,90.08,2276920.0
2021-02-11,90.5,90.55,89.9,90.05,1835170.0
2021-02-12,90.06,90.22,89.5,89.81,772980.0
2021-02-15,90.07,90.48,89.5,90.02,723160.0
2021-02-16,90.2,90.37,90.01,90.14,567530.0
2021-02-17,90.25,90.27,89.79,89.85,742220.0
2021-02-18,90.0,90.0,89.0,89.08,1178730.0
2021-02-19,89.49,93.78,89.1,91.39,11234460.0
2021-02-20,91.36,92.84,90.68,92.06,2493710.0
2021-02-22,92.59,92.83,89.6,89.65,2614050.0
2021-02-24,89.99,91.2,89.8,90.16,1121770.0
2021-02-25,90.42,91.6,90.4,90.52,1185680.0
2021-02-26,90.42,90.77,89.81,90.2,946520.0
2021-03-01,90.99,91.63,90.61,90.92,1368360.0
2021-03-02,90.81,93.3,90.8,93.2,3284290.0
2021-03-03,93.35,93.35,91.47,91.6,1192500.0
2021-03-04,91.6,92.03,90.23,90.65,1129280.0
2021-03-05,90.49,90.65,90.0,90.16,1288810.0
2021-03-09,90.32,91.5,90.3,90.41,879870.0
2021-03-10,90.75,90.97,90.33,90.64,709880.0
2021-03-11,90.94,91.14,90.51,90.69,1218560.0
2021-03-12,90.71,91.31,90.59,90.7,1113970.0
2021-03-15,92.2,93.5,91.0,91.12,4287100.0
2021-03-16,91.57,91.79,91.12,91.3,1370050.0
2021-03-17,91.3,91.98,90.7,90.85,1597920.0
2021-03-18,91.36,91.44,90.5,90.96,1022010.0
2021-03-19,92.08,92.5,90.7,90.7,3077710.0
2021-03-22,91.2,91.22,90.2,90.3,1594460.0
2021-03-23,90.15,90.49,89.9,90.0,1666800.0
2021-03-24,90.0,90.29,89.13,89.15,1833860.0
2021-03-25,89.8,90.03,89.14,89.93,2622270.0
2021-03-26,90.18,90.49,89.6,89.97,1165650.0
2021-03-29,90.2,90.39,89.86,89.99,934140.0
2021-03-30,90.4,90.46,89.97,90.39,762660.0
2021-03-31,90.4,90.58,89.94,90.3,835100.0
2021-04-01,90.4,90.87,89.18,89.29,3246000.0
2021-04-02,89.65,89.93,89.25,89.56,1301790.0
2021-04-05,89.78,89.92,89.4,89.8,1107950.0
2021-04-06,89.9,89.91,89.08,89.24,1628340.0
2021-04-07,89.4,89.43,89.05,89.15,521130.0
2021-04-08,89.45,89.75,89.25,89.41,814850.0
2021-04-09,89.59,89.78,89.41,89.6,981090.0
2021-04-12,89.8,90.48,89.71,90.48,1569410.0
2021-04-13,90.49,90.59,89.6,89.91,1441050.0
2021-04-14,90.42,90.62,90.2,90.51,1660100.0
2021-04-15,90.22,92.4,90.02,91.2,4055540.0
2021-04-16,91.63,92.0,90.35,90.49,1959910.0
2021-04-19,90.97,90.99,89.8,89.9,1865330.0
2021-04-20,90.29,90.29,89.21,89.21,1959260.0
2021-04-21,89.67,89.68,89.1,89.34,1599330.0
2021-04-22,89.6,89.65,89.21,89.5,1608650.0
2021-04-23,89.62,89.68,89.3,89.48,559900.0
2021-04-26,89.57,89.93,89.5,89.51,1325580.0
2021-04-27,89.8,89.83,89.22,89.28,874500.0
2021-04-28,89.3,89.52,89.13,89.17,870250.0
2021-04-29,89.49,89.5,89.0,89.02,1503470.0
2021-04-30,89.09,89.14,88.73,88.84,1040770.0
2021-05-04,89.25,89.26,88.52,88.63,1820860.0
2021-05-05,88.92,89.0,88.01,88.99,1052450.0
2021-05-06,88.99,89.05,88.7,88.75,813110.0
2021-05-07,88.76,89.2,88.6,88.99,1109880.0
2021-05-10,89.05,89.48,88.87,88.94,856310.0
2021-05-11,88.92,89.9,88.9,89.8,3855740.0
2021-05-12,90.02,90.32,88.88,89.5,3462320.0
2021-05-13,89.6,89.6,88.98,89.45,856680.0
2021-05-14,89.67,90.0,89.13,89.87,2462040.0
2021-05-17,89.97,90.25,89.5,89.97,1905240.0
2021-05-18,90.18,90.34,89.71,90.34,1612810.0
2021-05-19,90.05,90.33,88.89,89.34,2654860.0
2021-05-20,89.39,89.44,89.03,89.26,900350.0
2021-05-21,89.38,90.89,89.19,90.8,1905220.0
2021-05-24,90.96,91.5,90.33,90.7,1642580.0
2021-05-25,91.0,91.12,90.27,90.86,1410600.0
2021-05-26,90.8,91.46,90.51,91.4,2012360.0
2021-05-27,91.88,94.09,91.05,94.09,8176250.0
2021-05-28,92.9,92.99,91.81,92.19,2493660.0
2021-05-31,91.81,94.84,91.63,93.9,3917930.0
2021-06-01,94.01,94.7,93.51,94.32,3050640.0
2021-06-02,94.4,94.7,94.1,94.7,1764230.0
2021-06-03,94.9,95.0,94.32,94.67,1466750.0
2021-06-04,94.88,94.97,94.47,94.76,904600.0
2021-06-07,94.69,94.93,94.0,94.35,876070.0
2021-06-08,94.35,94.45,93.4,93.72,945700.0
2021-06-09,93.87,94.2,93.16,93.56,1268210.0
2021-06-10,94.1,94.19,93.56,94.12,941770.0
2021-06-11,94.2,94.74,93.99,94.5,1023210.0
2021-06-14,94.95,95.0,94.62,94.98,881600.0
2021-06-15,95.0,95.15,94.3,94.74,1398590.0
2021-06-16,94.63,95.4,94.5,95.02,1499430.0
2021-06-17,95.0,96.53,94.32,95.5,2962980.0
2021-06-18,95.51,97.1,93.42,93.42,10827230.0
