Date,Open,High,Low,Close,Volume
2020-10-28,485.0,486.0,451.05,456.9,289200.0
2020-10-29,462.5,463.5,455.0,457.7,252990.0
2020-10-30,457.7,463.0,449.7,455.6,144380.0
2020-11-02,458.55,464.75,450.1,461.25,81670.0
2020-11-03,469.9,469.9,452.4,456.65,82510.0
2020-11-05,460.85,460.85,450.2,451.95,111480.0
2020-11-06,453.0,459.0,450.7,456.45,75420.0
2020-11-09,459.95,459.95,451.25,457.0,187300.0
2020-11-10,456.85,462.05,452.55,456.0,95550.0
2020-11-11,452.55,461.85,452.05,459.1,74680.0
2020-11-12,459.1,468.7,456.0,468.6,65860.0
2020-11-13,469.2,484.85,465.95,467.9,202820.0
2020-11-16,478.75,478.75,463.0,463.0,158130.0
2020-11-17,476.8,476.8,457.4,460.9,145770.0
2020-11-18,463.85,463.9,457.0,459.0,143800.0
2020-11-19,460.0,462.0,453.55,457.2,153420.0
2020-11-20,459.55,459.55,447.15,448.4,311170.0
2020-11-23,449.7,451.85,437.0,439.0,264920.0
2020-11-24,442.5,444.2,437.05,440.15,157930.0
2020-11-25,440.4,445.65,439.0,442.45,123430.0
2020-11-26,442.2,444.95,440.0,441.65,103350.0
2020-11-27,444.9,452.0,442.2,449.9,220140.0
2020-11-30,450.0,453.15,442.6,443.95,153700.0
2020-12-01,449.8,449.8,435.0,436.55,441050.0
2020-12-02,436.45,437.7,433.9,434.5,146650.0
2020-12-03,435.0,440.6,434.3,437.0,164180.0
2020-12-04,438.95,441.15,435.6,437.1,134030.0
2020-12-07,439.95,446.35,439.0,442.1,118420.0
2020-12-08,442.0,448.8,439.0,440.9,169060.0
2020-12-09,442.0,443.9,440.0,442.4,73090.0
2020-12-10,442.4,443.15,441.0,443.0,54400.0
2020-12-11,444.45,448.45,440.0,447.15,129630.0
2020-12-14,449.65,449.65,444.0,445.0,68980.0
2020-12-15,446.0,448.2,442.2,443.7,72870.0
2020-12-16,443.1,446.65,441.2,445.45,66390.0
2020-12-17,448.5,451.0,440.0,449.1,286210.0
2020-12-18,448.5,448.5,441.0,443.3,150300.0
2020-12-21,443.5,445.8,433.7,440.0,173670.0
2020-12-22,440.3,446.3,434.9,445.2,83240.0
2020-12-23,440.45,449.0,440.4,443.65,90410.0
2020-12-24,444.85,445.45,439.9,441.8,65330.0
2020-12-25,440.05,446.5,439.9,446.0,110870.0
2020-12-28,443.7,449.3,443.7,448.0,88820.0
2020-12-29,447.0,456.0,447.0,453.0,187920.0
2020-12-30,453.0,458.0,452.3,455.75,219810.0
2021-01-04,457.0,462.0,450.5,458.0,209470.0
2021-01-05,461.0,465.0,458.1,465.0,68510.0
2021-01-06,464.5,466.05,460.0,463.3,143970.0
2021-01-08,467.0,482.0,464.6,477.0,189300.0
2021-01-11,477.2,492.9,476.0,492.9,223910.0
2021-01-12,488.4,499.95,479.0,485.5,341570.0
2021-01-13,487.55,492.4,478.5,484.2,135000.0
2021-01-14,488.85,496.45,482.2,491.0,183350.0
2021-01-15,494.05,506.5,492.05,500.2,172650.0
2021-01-18,504.0,530.0,501.1,516.95,203150.0
2021-01-19,518.9,525.4,507.55,517.05,218210.0
2021-01-20,512.1,528.0,511.95,528.0,207840.0
2021-01-21,529.9,548.4,512.8,547.0,364570.0
2021-01-22,544.8,544.8,523.0,537.0,379880.0
2021-01-25,535.15,542.0,510.0,532.6,152090.0
2021-01-26,527.2,531.65,523.0,525.5,98600.0
2021-01-27,526.95,528.5,509.4,511.55,193720.0
2021-01-28,514.9,530.0,501.1,511.5,376000.0
2021-01-29,514.9,520.15,506.3,512.45,131030.0
2021-02-01,513.0,521.0,508.0,511.15,115500.0
2021-02-02,512.2,520.0,507.0,512.15,113010.0
2021-02-03,513.0,518.95,508.4,512.5,93440.0
2021-02-04,513.15,514.4,505.1,512.1,197800.0
2021-02-05,509.4,511.65,505.05,509.0,185210.0
