Date,Open,High,Low,Close,Volume
2001-10-31,3.79,3.79,3.66,3.6601,120000.0
2001-11-01,3.7199,3.7866,3.7199,3.7845,772500.0
2001-11-02,3.8001,3.82,3.62,3.65,2166600.0
2001-11-05,3.64,3.735,3.58,3.65,4499800.0
2001-11-06,3.67,3.7,3.5,3.55,1017400.0
2001-11-08,3.49,3.834,3.45,3.834,4595500.0
2001-11-09,3.8,4.0,3.725,3.9,3336500.0
2001-11-12,4.0,4.05,3.71,3.84,3110300.0
2001-11-13,3.905,4.45,3.9,4.4,5699100.0
2001-11-14,4.55,4.635,4.255,4.4,4739600.0
2001-11-15,4.3,4.4,4.16,4.19,2462900.0
2001-11-16,4.13,4.27,4.13,4.23,820900.0
2001-11-19,4.2,4.47,4.2,4.33,1267000.0
2001-11-20,4.4,4.5,4.3502,4.44,1622300.0
2001-11-21,4.47,4.5757,4.43,4.57,1957100.0
2001-11-22,4.545,4.744,4.545,4.73,4317600.0
2001-11-23,4.799,4.83,4.52,4.74,2276200.0
2001-11-26,4.798,4.95,4.79,4.91,2034700.0
2001-11-27,4.99,5.029,4.875,5.02,2677100.0
2001-11-28,4.95,4.96,4.7203,4.788,1997400.0
2001-11-29,4.75,4.75,4.6,4.67,1601200.0
2001-11-30,4.8,4.85,4.61,4.6895,811100.0
2001-12-03,4.56,4.74,4.56,4.58,1805100.0
2001-12-04,4.71,4.8099,4.56,4.805,3258300.0
2001-12-05,4.8,4.8199,4.7,4.79,1556400.0
2001-12-06,4.81,4.988,4.81,4.9,2204600.0
2001-12-07,4.85,4.94,4.821,4.9123,1568500.0
2001-12-10,4.97,4.98,4.93,4.955,1167700.0
2001-12-11,4.95,5.11,4.95,5.085,6085000.0
2001-12-13,5.104,5.13,4.78,4.8,4063300.0
2001-12-14,4.84,4.84,4.73,4.83,1746900.0
2001-12-17,4.85,4.915,4.8,4.915,1146800.0
2001-12-18,4.9,4.949,4.8605,4.932,1162500.0
2001-12-19,4.91,5.04,4.88,5.022,3952200.0
2001-12-20,5.01,5.18,4.9601,5.07,5541400.0
2001-12-21,5.01,5.08,4.935,5.0294,2877400.0
2001-12-24,5.06,5.104,5.0316,5.06,2511400.0
2001-12-25,5.05,5.09,4.96,4.9835,1061800.0
2001-12-26,4.99,4.99,4.935,4.961,999500.0
2001-12-27,5.0,5.035,4.95,5.0,1182600.0
2001-12-28,5.03,5.15,5.03,5.125,3676000.0
2001-12-29,5.1299,5.15,5.09,5.1289,1289200.0
2002-01-03,5.152,5.37,5.152,5.35,2820000.0
2002-01-04,5.47,5.63,5.35,5.6,3085300.0
2002-01-08,5.66,5.98,5.66,5.82,2670600.0
2002-01-09,5.81,5.81,5.561,5.61,4594100.0
2002-01-10,5.647,5.6788,5.45,5.46,2151300.0
2002-01-11,5.4,5.52,5.35,5.5059,1551800.0
2002-01-14,5.4,5.45,5.105,5.12,6201700.0
2002-01-15,5.02,5.2,5.0,5.2,4668600.0
2002-01-16,5.2,5.22,5.05,5.08,2000900.0
2002-01-17,5.1,5.2,5.06,5.18,2917200.0
2002-01-18,5.2,5.221,4.99,5.051,5205200.0
2002-01-21,5.09,5.09,4.99,5.039,4224600.0
2002-01-22,5.03,5.149,5.0105,5.0999,9782900.0
2002-01-23,5.0703,5.099,4.91,4.94,6740500.0
2002-01-24,4.93,4.93,4.61,4.64,9277300.0
2002-01-25,4.71,4.729,4.562,4.605,4201800.0
2002-01-28,4.659,4.7449,4.6301,4.685,4915200.0
2002-01-29,4.7499,5.0,4.7,4.931,12622000.0
2002-01-30,4.8498,4.8739,4.7101,4.75,17499800.0
2002-01-31,4.85,4.987,4.82,4.98,4695800.0
2002-02-01,5.03,5.1345,4.99,5.05,12340400.0
2002-02-04,5.0105,5.02,4.9611,5.0,5659700.0
2002-02-05,4.935,4.965,4.88,4.9165,3307600.0
2002-02-06,4.9865,5.08,4.96,5.05,4654200.0
2002-02-07,5.0298,5.34,5.001,5.289,16728900.0
2002-02-08,5.33,5.57,5.33,5.37,23554600.0
2002-02-11,5.45,5.5,5.3705,5.4,8112500.0
2002-02-12,5.425,5.49,5.41,5.443,6391900.0
2002-02-13,5.4502,5.47,5.38,5.439,3449600.0
2002-02-14,5.39,5.446,5.345,5.4,4013000.0
2002-02-15,5.425,5.425,5.3611,5.365,10614800.0
2002-02-18,5.341,5.49,5.341,5.461,6226900.0
2002-02-19,5.443,5.6299,5.443,5.495,9907700.0
2002-02-20,5.401,5.47,5.38,5.43,5834700.0
2002-02-21,5.45,5.64,5.44,5.5994,7641000.0
2002-02-22,5.6,5.965,5.57,5.9,16473900.0
2002-02-26,5.99,6.23,5.99,6.089,15494400.0
2002-02-27,6.09,6.15,5.92,6.02,11228600.0
2002-02-28,6.05,6.17,5.955,6.085,7361800.0
2002-03-01,6.0998,6.329,6.0998,6.19,17316500.0
2002-03-04,6.27,6.349,6.15,6.1902,10170000.0
2002-03-05,6.22,6.2699,6.0,6.111,4349500.0
