Date,Open,High,Low,Close,Volume
2008-05-22,2.195,2.195,2.092,2.104,15655500.0
2008-05-23,2.121,2.175,2.113,2.14,29531900.0
2008-05-26,2.158,2.169,2.129,2.143,34365400.0
2008-05-27,2.14,2.151,2.095,2.12,29492100.0
2008-05-28,2.115,2.141,2.092,2.107,16438800.0
2008-05-29,2.114,2.124,2.093,2.104,10464600.0
2008-05-30,2.105,2.149,2.1,2.115,12800300.0
2008-06-02,2.116,2.155,2.1,2.131,27488000.0
2008-06-03,2.113,2.185,2.113,2.177,47510500.0
2008-06-04,2.187,2.199,2.141,2.15,52876900.0
2008-06-05,2.152,2.166,2.113,2.113,78182700.0
2008-06-06,2.134,2.139,2.032,2.06,55408700.0
2008-06-07,2.044,2.048,1.971,1.98,17087100.0
2008-06-09,1.98,2.079,1.95,2.061,12737100.0
2008-06-10,2.063,2.106,2.06,2.07,13060400.0
2008-06-11,2.08,2.08,2.05,2.061,4418100.0
2008-06-16,2.069,2.08,2.015,2.027,12548000.0
2008-06-17,2.03,2.061,2.012,2.036,20269200.0
2008-06-18,2.05,2.07,2.015,2.028,21631700.0
2008-06-19,2.028,2.035,2.0,2.012,21841600.0
2008-06-20,2.013,2.027,1.975,1.994,51742700.0
2008-06-23,1.975,2.021,1.967,2.012,33168600.0
2008-06-24,2.04,2.04,1.973,1.99,25705700.0
2008-06-25,1.995,2.0,1.977,1.985,13232400.0
2008-06-26,1.997,1.997,1.86,1.88,33420300.0
2008-06-27,1.85,1.868,1.811,1.851,23255200.0
2008-06-30,1.852,1.87,1.785,1.838,27459100.0
2008-07-01,1.84,1.87,1.781,1.791,34829100.0
2008-07-02,1.81,1.816,1.771,1.779,22188400.0
2008-07-03,1.78,1.78,1.72,1.74,25322400.0
2008-07-04,1.749,1.758,1.638,1.647,61534100.0
2008-07-07,1.65,1.738,1.63,1.708,101902700.0
2008-07-08,1.707,1.707,1.595,1.603,113193400.0
2008-07-09,1.615,1.646,1.59,1.606,99872600.0
2008-07-10,1.6,1.61,1.581,1.592,81509900.0
2008-07-11,1.596,1.625,1.52,1.534,137183800.0
2008-07-14,1.534,1.58,1.517,1.551,80977200.0
2008-07-15,1.521,1.541,1.507,1.514,27192600.0
2008-07-16,1.521,1.531,1.47,1.485,41236700.0
2008-07-17,1.499,1.526,1.45,1.472,198567100.0
2008-07-18,1.48,1.48,1.455,1.459,38254300.0
2008-07-21,1.459,1.479,1.453,1.464,34683500.0
2008-07-22,1.455,1.464,1.45,1.454,25253600.0
2008-07-23,1.462,1.474,1.401,1.417,99447900.0
2008-07-24,1.41,1.439,1.34,1.4,101012500.0
2008-07-25,1.389,1.45,1.311,1.429,118323300.0
