Date,Open,High,Low,Close,Volume
2021-12-14,1095.0,1095.0,1095.0,1095.0,42.0
2021-12-15,1204.0,1204.0,1050.0,1150.0,1630.0
2021-12-16,1200.0,1264.4,1177.0,1264.4,4839.0
2021-12-17,1299.0,1389.6,1281.8,1301.0,6540.0
2021-12-20,1286.2,1320.0,1110.0,1150.0,7425.0
2021-12-21,1182.6,1182.6,1069.0,1111.8,4973.0
2021-12-22,1111.6,1112.0,1032.0,1057.0,7540.0
2021-12-23,1075.6,1075.6,1006.0,1014.0,9391.0
2021-12-24,1015.8,1035.4,992.0,997.6,8144.0
2021-12-27,1012.0,1057.0,996.2,1049.2,12163.0
2021-12-28,1040.0,1042.0,1010.2,1033.6,4720.0
2021-12-29,1003.0,1032.0,996.2,999.0,14225.0
2021-12-30,1000.2,1025.0,995.0,998.0,7595.0
2022-01-03,998.4,1021.4,970.0,1001.4,5219.0
2022-01-04,1013.0,1022.8,1000.0,1019.8,8034.0
2022-01-05,1018.0,1026.0,1002.8,1025.0,2104.0
2022-01-06,1024.4,1030.0,1010.0,1019.6,2142.0
2022-01-10,1016.6,1036.2,995.0,999.0,11516.0
2022-01-11,999.0,1008.8,990.4,1008.8,2653.0
2022-01-12,1009.4,1014.4,1004.4,1009.2,2209.0
2022-01-13,1000.4,1014.0,982.0,982.6,10076.0
2022-01-14,999.8,999.8,961.0,977.2,8368.0
2022-01-17,977.4,999.0,968.2,974.2,5476.0
2022-01-18,970.0,980.8,929.6,933.8,11763.0
2022-01-19,933.8,966.2,918.2,940.8,8375.0
2022-01-20,950.0,975.0,925.4,958.6,3776.0
2022-01-21,971.4,971.4,894.2,919.0,15082.0
2022-01-24,932.8,995.0,785.2,826.8,23880.0
2022-01-25,852.0,852.0,799.6,830.0,8697.0
2022-01-26,850.0,869.0,833.2,858.0,3767.0
2022-01-27,875.0,888.8,831.2,880.0,3228.0
2022-01-28,899.8,927.0,880.0,898.0,3241.0
2022-01-31,890.2,932.0,860.4,894.2,9935.0
2022-02-01,909.0,909.0,894.5,907.0,2240.0
2022-02-02,910.0,919.5,897.5,905.0,3534.0
2022-02-03,900.5,900.5,880.0,888.0,2073.0
2022-02-04,915.0,915.0,875.0,877.5,1908.0
2022-02-07,885.5,892.0,861.0,872.5,2900.0
2022-02-08,875.5,881.5,840.0,870.0,2736.0
2022-02-09,875.5,894.0,871.0,885.0,2588.0
2022-02-10,878.5,894.0,878.5,884.5,4171.0
2022-02-11,889.5,915.5,850.5,879.0,7817.0
2022-02-14,875.0,879.0,851.5,866.0,1489.0
2022-02-15,879.0,894.0,865.5,878.0,3207.0
2022-02-16,899.5,916.0,890.0,893.5,3849.0
2022-02-17,893.0,921.0,875.5,883.5,4564.0
2022-02-18,883.0,920.5,871.0,877.0,3176.0
2022-02-21,900.0,910.5,821.0,839.0,18041.0
2022-02-22,825.0,866.5,735.0,850.5,7748.0
2022-02-24,750.0,765.0,370.0,605.0,40975.0
2022-02-25,660.0,753.5,602.0,645.0,10710.0
2022-03-28,680.0,699.5,548.0,638.5,9419.0
2022-03-29,660.0,749.0,638.5,708.0,11482.0
2022-03-30,710.0,970.0,708.0,884.5,65742.0
2022-03-31,900.0,900.0,761.0,863.0,25872.0
2022-04-01,870.5,949.0,860.5,861.0,18294.0
2022-04-04,862.0,888.5,815.5,855.5,7620.0
2022-04-05,862.0,862.5,802.0,812.5,9022.0
2022-04-06,820.0,860.0,776.0,804.0,7011.0
2022-04-07,804.5,835.0,790.0,808.0,3207.0
2022-04-08,827.0,827.0,787.5,802.0,4921.0
2022-04-11,819.5,819.5,785.5,794.0,2540.0
2022-04-12,785.5,830.0,751.0,798.5,7726.0
2022-04-13,801.0,829.0,777.0,799.0,3213.0
2022-04-14,799.0,844.5,753.0,785.0,3756.0
2022-04-15,780.0,796.0,695.0,771.5,3393.0
2022-04-18,757.0,790.0,717.0,728.5,6510.0
2022-04-19,720.0,745.0,705.0,728.0,6270.0
2022-04-20,735.0,770.5,711.0,730.0,3157.0
2022-04-21,730.0,755.0,712.5,733.0,3770.0
2022-04-22,733.0,741.0,715.5,725.0,1472.0
2022-04-25,730.0,988.0,727.0,825.0,100726.0
2022-04-26,825.0,845.0,770.0,790.5,29258.0
2022-04-27,791.5,800.0,752.0,792.0,11319.0
2022-04-28,792.5,800.0,775.0,776.0,8628.0
2022-04-29,780.0,788.5,761.5,780.5,4245.0
2022-05-04,780.5,788.0,770.0,776.0,2901.0
2022-05-05,768.5,787.0,765.0,771.5,3178.0
2022-05-06,771.5,778.5,755.0,764.0,1899.0
2022-05-11,760.5,765.5,755.0,762.0,2063.0
2022-05-12,750.5,765.0,731.5,745.5,2933.0
2022-05-13,735.5,775.0,735.5,740.0,2070.0
2022-05-16,744.0,775.0,744.0,766.0,3304.0
2022-05-17,766.5,800.0,760.5,789.5,12181.0
2022-05-18,788.5,819.5,766.0,770.0,12539.0
2022-05-19,770.0,776.5,742.0,773.0,3581.0
2022-05-20,768.5,779.5,748.5,756.5,3619.0
2022-05-23,757.0,765.0,719.5,729.0,2827.0
2022-05-24,733.0,739.5,722.0,729.5,1929.0
2022-05-25,734.5,744.5,725.0,737.5,2883.0
2022-05-26,735.0,766.5,726.0,742.5,4279.0
2022-05-27,740.0,759.5,719.0,735.5,5464.0
2022-05-30,740.0,744.5,723.0,727.0,3860.0
2022-05-31,729.5,749.0,709.0,711.0,4402.0
2022-06-01,719.5,722.0,701.0,708.0,5318.0
2022-06-02,708.0,708.5,676.5,681.5,7469.0
2022-06-03,695.0,695.0,668.0,680.0,5387.0
2022-06-06,689.5,689.5,669.5,678.0,3133.0
2022-06-07,685.0,687.5,654.5,687.0,6573.0
2022-06-08,690.0,702.0,687.0,696.0,5933.0
2022-06-09,699.0,708.0,668.5,678.5,5885.0
2022-06-10,681.0,681.0,668.0,671.5,2732.0
2022-06-14,671.5,675.0,656.5,668.0,3659.0
2022-06-15,661.0,693.5,660.0,677.5,1892.0
2022-06-16,677.5,688.0,677.5,685.5,1583.0
2022-06-17,687.5,687.5,680.0,686.5,1016.0
2022-06-20,685.5,690.0,672.0,689.0,2464.0
2022-06-21,689.5,693.5,680.0,683.5,3526.0
2022-06-22,688.5,689.5,655.0,682.0,4368.0
2022-06-23,675.5,687.0,675.5,679.5,2748.0
2022-06-24,679.5,688.5,672.5,681.0,2193.0
2022-06-27,691.0,732.5,672.0,705.0,7972.0
2022-06-28,715.0,720.0,692.0,695.0,3983.0
2022-06-29,695.5,708.0,695.0,699.0,4440.0
2022-06-30,702.5,730.0,650.0,675.5,13655.0
2022-07-01,675.5,694.5,650.0,678.5,5418.0
2022-07-04,673.5,686.0,669.0,674.0,2959.0
2022-07-05,680.0,680.0,670.5,673.0,2589.0
2022-07-06,671.0,680.0,671.0,678.0,2341.0
2022-07-07,685.5,693.0,677.0,686.0,4029.0
2022-07-08,695.5,696.5,679.5,689.5,2636.0
2022-07-11,691.5,696.0,681.0,681.0,1707.0
2022-07-12,679.5,695.5,677.5,682.0,2164.0
2022-07-13,680.0,690.0,658.0,661.0,3539.0
2022-07-14,663.5,685.0,662.0,663.0,2150.0
2022-07-15,673.5,676.0,651.5,667.5,2767.0
2022-07-18,670.0,674.0,663.0,669.0,1355.0
2022-07-19,674.0,706.0,671.0,689.5,6926.0
2022-07-20,698.0,705.0,670.5,688.5,6524.0
2022-07-21,678.5,691.5,663.0,688.0,3438.0
2022-07-22,680.0,710.0,673.0,706.5,13566.0
2022-07-25,730.0,736.5,708.5,713.5,29968.0
2022-07-26,714.0,718.0,686.0,706.0,10539.0
2022-07-27,709.5,712.0,701.5,703.5,4858.0
2022-07-28,708.0,709.5,701.0,706.5,5388.0
2022-07-29,708.5,838.0,707.0,785.0,92149.0
2022-08-01,794.0,925.5,789.0,888.0,142166.0
2022-08-02,905.0,944.0,792.0,803.5,117587.0
2022-08-03,808.5,808.5,755.5,764.5,45530.0
2022-08-04,763.5,839.0,760.5,827.0,67944.0
2022-08-05,830.5,831.0,765.0,795.0,38417.0
2022-08-08,813.5,827.0,782.5,822.0,26420.0
2022-08-09,820.0,841.5,800.0,832.0,20853.0
2022-08-10,832.5,847.0,812.5,840.0,13019.0
2022-08-11,840.0,844.0,808.5,843.5,18020.0
2022-08-12,840.0,938.0,837.5,887.5,87741.0
2022-08-15,899.0,899.5,843.0,892.0,59847.0
2022-08-16,890.0,909.5,889.0,894.0,16571.0
2022-08-17,891.0,909.0,891.0,905.5,14578.0
2022-08-18,912.0,953.0,904.0,927.0,43681.0
2022-08-19,927.0,936.0,918.5,936.0,10285.0
2022-08-22,940.0,945.0,912.5,935.0,19859.0
2022-08-23,935.0,940.0,909.5,923.0,14655.0
2022-08-24,928.5,928.5,914.0,923.5,3493.0
2022-08-25,923.5,928.0,896.0,917.0,7916.0
2022-08-26,916.0,917.0,890.0,907.5,11316.0
2022-08-29,908.0,913.5,898.0,903.0,11825.0
2022-08-30,902.0,904.5,883.0,897.5,9339.0
2022-08-31,898.0,902.5,874.5,896.0,10752.0
2022-09-01,897.0,900.0,876.0,895.5,6694.0
2022-09-02,898.0,906.0,885.5,896.0,6266.0
2022-09-05,897.0,900.0,888.0,895.5,6288.0
2022-09-06,895.5,907.0,865.0,887.5,16079.0
2022-09-07,888.0,889.0,866.0,867.0,8862.0
2022-09-08,867.5,873.0,857.5,868.5,4001.0
2022-09-09,861.5,870.0,856.5,860.5,9260.0
2022-09-12,869.5,902.0,861.0,872.0,29754.0
2022-09-13,872.0,900.0,870.0,890.0,20879.0
2022-09-14,890.0,894.0,869.0,876.0,8109.0
2022-09-15,873.0,889.0,872.5,875.0,6455.0
2022-09-16,873.5,880.0,862.5,868.0,7118.0
2022-09-19,865.0,876.5,848.0,860.0,9439.0
2022-09-20,856.0,867.5,760.5,804.0,29542.0
2022-09-21,772.5,799.5,700.0,749.0,14134.0
2022-09-22,752.0,806.0,735.0,755.0,12133.0
2022-09-23,757.0,760.0,699.5,715.5,8489.0
2022-09-26,710.0,744.5,634.0,665.0,15244.0
2022-09-27,665.0,721.0,661.0,684.5,13839.0
2022-09-28,697.5,701.0,660.5,662.5,8548.0
