Date,Open,High,Low,Close,Volume
2000-01-05,315.0,339.0,306.5,339.0,92087.0
2000-01-06,339.0,349.0,339.0,348.5,42145.0
2000-01-10,380.0,388.0,360.0,388.0,101326.0
2000-01-11,366.0,378.0,365.0,368.5,77686.0
2000-01-12,369.92,382.9,346.0,380.0,90623.0
2000-01-13,380.5,395.0,375.0,384.15,73829.0
2000-01-14,391.0,396.0,384.5,392.0,118529.0
2000-01-17,390.0,396.8,374.0,378.0,74233.0
2000-01-18,373.0,382.0,360.0,360.0,80639.0
2000-01-19,362.0,362.0,344.5,350.0,47586.0
2000-01-20,354.0,364.5,354.0,364.5,45218.0
2000-01-21,364.0,378.7,364.0,372.1,43271.0
2000-01-24,376.0,383.0,350.0,351.05,51614.0
2000-01-25,345.0,347.0,332.0,337.02,53678.0
2000-01-26,340.01,344.0,330.0,342.0,60202.0
2000-01-27,347.0,347.0,338.1,345.0,37467.0
2000-01-28,347.0,348.0,327.5,332.8,42055.0
2000-01-31,315.0,323.0,310.0,315.0,68629.0
2000-02-01,319.0,328.5,311.1,315.0,70539.0
2000-02-02,325.0,325.5,304.0,317.5,122331.0
2000-02-03,320.0,329.49,317.0,326.0,57125.0
2000-02-04,335.0,337.0,330.0,332.89,85244.0
2000-02-07,337.0,342.0,326.0,329.0,47852.0
2000-02-08,331.5,349.0,331.5,349.0,115564.0
2000-02-09,358.5,362.5,347.0,347.0,4351008.0
2000-02-10,342.0,352.0,341.0,344.8,181849.0
2000-02-11,350.0,351.0,337.0,340.5,146276.0
2000-02-14,354.0,360.0,335.0,340.0,253103.0
2000-02-15,339.0,339.0,321.0,321.0,73340.0
2000-02-16,327.0,330.4,318.0,320.8,286012.0
2000-02-17,315.0,329.0,313.0,327.0,243487.0
2000-02-18,323.0,326.0,319.01,320.0,151691.0
2000-02-21,302.0,316.0,302.0,315.7,37370.0
2000-02-22,311.0,320.0,307.0,320.0,50769.0
2000-02-23,319.0,324.9,317.0,321.0,86600.0
2000-02-24,324.0,329.6,321.5,325.5,107844.0
2000-02-25,320.0,320.0,302.0,305.0,171824.0
2000-02-28,305.0,320.0,287.0,290.4,151852.0
2000-02-29,293.5,298.95,288.0,297.99,154613.0
2000-03-01,302.0,318.0,300.01,315.5,3376155.0
2000-03-02,323.5,326.0,312.0,322.5,130487.0
2000-03-03,322.5,335.0,322.0,332.9,200355.0
2000-03-06,336.0,339.0,326.0,326.0,137941.0
2000-03-07,327.0,343.0,322.33,341.9,190108.0
2000-03-09,355.5,370.7,347.0,365.5,259677.0
2000-03-10,375.0,394.0,369.0,384.52,251395.0
2000-03-13,377.0,385.0,357.3,360.0,177810.0
2000-03-14,372.0,396.0,372.0,388.3,259049.0
2000-03-15,387.0,397.4,381.2,391.0,218037.0
2000-03-16,396.0,397.0,389.0,394.0,142767.0
2000-03-17,401.5,405.0,392.5,397.0,246387.0
2000-03-20,397.0,397.0,386.2,390.0,84227.0
2000-03-21,383.3,387.5,370.01,374.21,223049.0
2000-03-22,382.95,400.0,380.01,396.0,296878.0
2000-03-23,402.0,434.0,402.0,418.9,311674.0
2000-03-24,437.0,454.88,429.01,451.3,2262136.0
2000-03-27,448.0,490.0,430.0,440.0,326780.0
2000-03-28,420.0,442.99,415.0,425.1,265331.0
2000-03-29,433.0,435.0,420.0,433.5,148793.0
2000-03-30,432.0,432.0,405.04,407.06,189084.0
2000-03-31,405.0,445.0,401.2,443.0,187535.0
2000-04-03,452.0,458.0,434.5,435.02,186787.0
2000-04-04,438.0,455.0,435.0,453.0,228423.0
2000-04-05,439.0,454.9,413.1,421.0,242611.0
2000-04-06,426.0,445.0,422.0,445.0,158889.0
2000-04-07,445.5,445.5,430.0,440.99,211445.0
2000-04-10,439.0,453.75,439.0,449.1,151339.0
2000-04-11,445.0,445.0,433.5,434.0,211169.0
2000-04-12,438.0,441.3,432.0,438.0,76269.0
2000-04-13,430.0,437.0,429.0,429.0,258358.0
2000-04-14,428.65,437.99,420.1,425.0,126889.0
2000-04-17,400.0,405.0,386.01,392.0,95765.0
2000-04-18,407.0,412.0,382.0,389.99,166757.0
2000-04-19,409.0,409.0,389.0,390.0,98318.0
2000-04-20,387.0,403.1,387.0,402.51,43500.0
2000-04-21,402.5,405.0,397.0,398.51,167391.0
2000-04-24,394.0,397.0,382.0,388.44,62632.0
2000-04-25,388.0,393.6,387.0,388.6,86818.0
2000-04-26,399.99,415.0,396.0,407.2,156786.0
2000-04-27,407.0,423.89,400.0,408.0,160499.0
2000-04-28,421.0,428.49,417.25,428.49,119462.0
2000-05-03,432.0,441.0,432.0,434.0,107865.0
2000-05-04,432.1,434.75,429.2,432.7,84110.0
2000-05-05,434.8,437.1,427.8,433.0,44777.0
2000-05-06,438.0,441.9,436.0,439.0,59626.0
2000-05-10,440.0,442.0,429.0,431.5,117153.0
2000-05-11,425.0,429.5,419.0,427.0,63396.0
2000-05-12,430.0,432.0,416.0,423.5,67633.0
2000-05-15,420.0,420.0,412.0,415.51,57353.0
2000-05-16,423.0,440.0,419.0,436.5,2101473.0
2000-05-17,433.0,436.0,416.3,417.05,198744.0
2000-05-18,410.0,417.5,395.0,409.0,235169.0
2000-05-19,404.0,405.0,369.0,370.0,170275.0
2000-05-22,372.0,378.5,365.0,370.5,161279.0
2000-05-23,366.0,370.0,340.0,352.5,237182.0
2000-05-24,340.0,351.0,300.0,341.0,267801.0
2000-05-25,347.0,375.0,347.0,375.0,295310.0
2000-05-26,360.0,394.0,360.0,384.0,155351.0
2000-05-29,395.0,398.0,375.1,380.5,47494.0
2000-05-30,384.0,389.25,375.5,383.0,70225.0
2000-05-31,397.0,397.0,385.0,387.49,62880.0
2000-06-01,390.95,400.0,385.5,397.0,93790.0
2000-06-02,398.01,412.5,389.0,410.0,61148.0
2000-06-05,406.0,427.0,405.0,415.0,199094.0
2000-06-06,412.0,416.0,390.6,397.5,2227709.0
2000-06-07,386.0,400.0,380.0,398.0,154340.0
2000-06-08,405.1,410.0,400.0,400.0,123958.0
2000-06-09,404.0,410.5,396.0,403.0,79638.0
2000-06-13,400.0,404.0,392.5,392.5,49086.0
2000-06-14,385.0,390.0,375.1,385.0,115647.0
2000-06-15,386.0,392.9,385.0,385.01,52584.0
2000-06-16,389.0,396.5,388.0,392.0,59877.0
2000-06-19,387.8,387.9,382.0,384.05,26096.0
2000-06-20,389.0,390.0,367.0,372.5,70862.0
2000-06-21,367.0,370.0,354.0,364.0,240966.0
2000-06-22,362.1,374.2,359.0,373.0,54313.0
2000-06-23,370.0,390.0,365.1,377.5,96152.0
2000-06-26,378.0,380.0,368.5,372.0,53811.0
2000-06-27,372.0,372.0,353.0,355.0,150387.0
2000-06-28,356.0,366.0,344.0,358.8,118632.0
2000-06-29,355.0,355.0,338.26,340.0,57018.0
2000-06-30,348.0,361.5,348.0,357.0,79276.0
2000-07-03,360.0,369.4,355.0,369.0,59123.0
2000-07-04,372.0,380.8,372.0,375.0,69904.0
2000-07-05,372.05,372.05,365.0,367.0,92659.0
2000-07-06,364.0,380.0,362.0,377.5,1584207.0
2000-07-07,385.0,388.99,378.05,379.9,520045.0
2000-07-10,380.0,387.0,376.6,378.0,245081.0
2000-07-11,378.55,378.55,349.0,365.0,162872.0
2000-07-12,368.1,374.0,360.0,373.7,202903.0
2000-07-13,371.5,382.0,369.6,370.0,59647.0
2000-07-14,368.0,371.0,361.0,368.0,57663.0
2000-07-17,368.0,375.0,368.0,371.9,58257.0
2000-07-18,369.99,372.8,363.0,366.5,136328.0
2000-07-19,367.5,371.0,364.0,370.0,86778.0
2000-07-20,366.45,373.0,366.0,372.2,66799.0
2000-07-21,374.0,377.5,371.0,371.0,94029.0
2000-07-24,370.0,373.0,369.0,372.0,37360.0
2000-07-25,369.0,372.0,368.0,371.0,21843.0
2000-07-26,371.49,372.0,365.0,371.5,62671.0
2000-07-27,367.0,372.0,365.26,372.0,96099.0
2000-07-28,372.9,385.0,372.01,377.98,180801.0
2000-07-31,372.0,386.0,372.0,386.0,89596.0
2000-08-01,389.2,405.0,389.2,397.75,290439.0
2000-08-02,399.5,402.0,393.55,396.4,113853.0
2000-08-03,403.0,410.0,393.0,397.9,208409.0
2000-08-04,402.89,411.5,400.0,411.4,253650.0
2000-08-07,412.01,420.0,410.8,412.0,260605.0
2000-08-08,408.0,422.02,405.0,422.0,230064.0
2000-08-09,417.5,430.0,414.25,428.75,305943.0
2000-08-10,424.0,427.0,421.5,424.01,143113.0
2000-08-11,425.0,436.0,425.0,434.0,177627.0
2000-08-14,438.0,444.0,435.0,443.25,262348.0
2000-08-15,448.0,449.0,437.25,443.0,156503.0
2000-08-16,440.0,446.2,438.25,443.9,191133.0
2000-08-17,437.01,442.0,431.01,434.0,95639.0
2000-08-18,435.01,439.0,428.1,430.9,98809.0
2000-08-21,427.5,429.99,423.1,429.0,53999.0
2000-08-22,431.1,437.5,429.25,437.4,106541.0
2000-08-23,436.0,440.95,434.0,435.0,98507.0
2000-08-24,439.0,449.9,437.76,449.0,200724.0
2000-08-25,458.0,460.0,453.0,456.5,269134.0
2000-08-28,452.51,458.5,449.0,456.0,72970.0
2000-08-29,456.5,468.98,456.5,462.75,284382.0
2000-08-30,460.0,462.5,449.0,451.9,391062.0
2000-08-31,452.0,455.0,446.0,449.89,56984.0
2000-09-01,450.0,453.0,444.0,444.0,175466.0
2000-09-04,447.0,451.83,435.0,450.75,152249.0
2000-09-05,452.2,457.77,449.2,451.51,110490.0
2000-09-06,451.0,454.5,448.86,448.86,3165114.0
2000-09-07,451.0,451.0,444.0,444.01,200185.0
2000-09-08,446.0,446.0,430.0,432.0,186791.0
2000-09-11,431.9,431.9,410.0,422.1,187302.0
2000-09-12,417.2,430.0,417.2,420.6,175521.0
2000-09-13,415.3,422.0,406.0,407.5,119435.0
2000-09-14,410.0,417.9,386.0,413.99,143246.0
2000-09-15,413.0,413.0,396.0,396.0,98574.0
2000-09-18,390.0,390.0,374.0,374.5,155568.0
2000-09-19,370.0,392.0,362.0,391.99,171732.0
2000-09-20,394.0,396.5,378.01,385.0,174269.0
2000-09-21,385.0,393.0,373.1,383.0,121658.0
2000-09-22,374.0,375.9,356.01,361.0,134881.0
2000-09-25,370.0,387.0,370.0,385.5,133961.0
2000-09-26,383.5,392.0,381.0,391.0,86249.0
2000-09-27,384.1,404.0,384.01,398.0,84030.0
2000-09-28,399.0,405.0,392.56,393.0,181038.0
2000-09-29,402.0,403.49,394.2,401.0,252470.0
2000-10-02,399.49,411.99,399.49,411.99,204886.0
2000-10-03,410.02,431.0,409.05,430.01,127579.0
2000-10-04,428.99,434.0,410.01,416.8,217818.0
2000-10-05,416.15,422.0,400.0,405.0,128799.0
2000-10-06,401.0,404.8,396.0,401.5,146078.0
2000-10-09,393.0,394.0,387.15,391.5,80013.0
2000-10-10,396.0,398.1,389.0,392.6,229241.0
2000-10-11,390.01,391.0,374.5,382.8,174115.0
2000-10-12,383.5,391.5,371.07,380.0,114735.0
2000-10-13,372.0,389.35,370.0,384.5,134416.0
2000-10-16,392.5,413.0,392.5,410.0,181068.0
