Date,Open,High,Low,Close,Volume
2006-01-18,20.0,32.0,19.0,19.0,17600.0
2006-01-19,20.0,20.0,14.52,16.0,390100.0
2006-01-20,16.5,16.5,15.24,15.5,118800.0
2006-01-23,16.0,16.0,14.8,15.15,16600.0
2006-01-24,15.79,15.79,14.73,15.5,42700.0
2006-01-25,15.4,16.28,14.99,14.99,110600.0
2006-01-26,15.0,15.8,14.84,15.14,173100.0
2006-01-27,15.1,15.8,15.05,15.5,328500.0
2006-01-30,15.89,17.5,15.5,17.18,371200.0
2006-01-31,17.33,17.35,15.76,16.67,87700.0
2006-02-01,16.2,16.81,16.0,16.5,25400.0
2006-02-02,16.6,16.6,16.01,16.5,14300.0
2006-02-03,15.72,16.49,15.52,16.49,15400.0
2006-02-06,16.5,17.29,16.14,17.29,64700.0
2006-02-07,17.4,30.85,16.81,25.11,1584000.0
2006-02-08,24.0,29.79,19.62,20.37,1346600.0
2006-02-09,20.55,23.67,20.51,20.51,398400.0
2006-02-10,21.8,21.8,19.33,20.0,315900.0
2006-02-13,20.51,20.98,17.95,18.0,970400.0
2006-02-14,17.91,18.28,17.35,17.65,505100.0
2006-02-15,17.76,19.15,17.18,18.34,967800.0
2006-02-16,18.3,18.95,18.3,18.35,323300.0
2006-02-17,18.2,19.89,18.12,19.0,577500.0
2006-02-20,19.4,19.7,18.81,19.0,379600.0
2006-02-21,19.0,19.49,18.07,18.79,505100.0
2006-02-22,18.7,20.29,18.62,20.0,2351500.0
2006-02-26,20.47,21.2,19.81,20.96,1611700.0
2006-02-27,20.96,21.3,20.28,20.3,2209600.0
2006-02-28,20.4,20.9,19.5,19.98,1065100.0
2006-03-01,20.15,20.4,19.02,19.75,1219800.0
2006-03-02,19.57,20.45,19.57,20.1,973900.0
2006-03-03,20.25,20.3,20.0,20.12,607900.0
2006-03-06,19.66,20.39,19.25,19.9,905200.0
2006-03-07,19.71,19.95,19.3,19.4,715200.0
2006-03-09,19.05,19.36,18.4,18.6,319400.0
2006-03-10,19.09,19.37,18.71,19.18,110400.0
2006-03-13,19.35,19.49,18.8,19.2,177200.0
2006-03-14,19.15,19.19,18.5,18.6,136700.0
2006-03-15,19.0,19.13,18.62,18.98,124000.0
2006-03-16,18.71,19.0,18.61,18.99,84100.0
2006-03-17,19.0,19.44,18.88,18.93,239300.0
2006-03-20,19.19,19.29,18.32,18.55,356100.0
2006-03-21,18.48,19.18,18.3,19.15,429100.0
2006-03-22,19.14,19.97,18.83,19.85,523100.0
2006-03-23,19.92,20.32,19.72,20.0,513700.0
2006-03-24,20.06,20.45,20.0,20.25,214700.0
2006-03-27,20.35,20.42,19.95,20.1,133600.0
2006-03-28,20.12,20.42,19.95,20.02,1448400.0
2006-03-29,19.98,20.18,19.88,20.0,211400.0
2006-03-30,20.25,20.83,20.0,20.45,1277100.0
2006-03-31,20.52,21.3,20.36,21.3,1542600.0
2006-04-03,21.2,21.79,21.2,21.35,587500.0
2006-04-04,21.22,21.6,20.82,21.0,403800.0
2006-04-05,21.01,21.5,21.0,21.42,309400.0
2006-04-06,21.49,21.5,21.07,21.2,102400.0
2006-04-07,21.0,21.24,20.85,21.0,132400.0
2006-04-10,21.0,21.07,20.76,20.97,228400.0
2006-04-11,20.9,21.04,20.5,20.5,1813200.0
2006-04-12,20.53,20.6,19.8,20.33,246500.0
2006-04-13,20.2,20.4,19.9,20.1,221600.0
2006-04-14,20.1,20.1,19.95,20.0,68800.0
2006-04-17,20.39,20.5,20.15,20.49,518300.0
2006-04-18,20.56,20.6,20.3,20.6,187200.0
2006-04-19,20.6,20.8,20.2,20.6,470100.0
2006-04-20,20.05,20.69,20.05,20.349,615000.0
2006-04-21,20.1,20.688,20.1,20.26,397900.0
2006-04-24,20.39,20.39,20.011,20.359,244900.0
2006-04-25,20.35,20.35,20.2,20.27,66600.0
2006-04-26,20.273,20.5,20.031,20.5,473700.0
2006-04-27,20.3,20.502,19.5,20.0,1120100.0
2006-04-28,20.089,20.42,20.06,20.4,1025100.0
