Date,Open,High,Low,Close,Volume
2020-11-09,490.0,490.0,463.5,466.5,80240.0
2020-11-10,473.0,473.0,450.4,454.0,44870.0
2020-11-11,454.1,478.45,452.0,478.45,37140.0
2020-11-12,485.0,487.95,472.0,480.45,45500.0
2020-11-13,488.0,489.05,482.2,486.15,19320.0
2020-11-16,490.3,491.0,475.0,475.0,28740.0
2020-11-17,475.0,484.0,471.0,472.2,14520.0
2020-11-18,474.65,476.85,470.0,471.75,18020.0
2020-11-19,474.4,474.9,471.0,472.75,8000.0
2020-11-20,480.0,480.0,469.25,474.0,4520.0
2020-11-23,470.0,479.95,470.0,470.5,5480.0
2020-11-24,470.55,472.4,470.0,471.0,5370.0
2020-11-25,470.0,471.05,468.9,469.8,9560.0
2020-11-26,470.0,470.0,464.5,465.2,10940.0
2020-11-27,465.2,473.95,464.8,470.1,8120.0
2020-11-30,470.65,473.9,466.5,469.2,6270.0
2020-12-01,464.05,472.35,464.0,470.0,6970.0
2020-12-02,468.1,470.1,467.0,467.0,3060.0
2020-12-03,464.75,468.0,455.4,455.6,15050.0
2020-12-04,467.05,472.0,456.55,458.2,13200.0
2020-12-07,469.7,469.7,456.4,457.5,11250.0
2020-12-08,465.65,465.65,455.0,455.0,6130.0
2020-12-09,462.65,462.65,455.5,456.05,5760.0
2020-12-10,458.7,458.75,452.0,455.05,9150.0
2020-12-11,458.3,458.3,449.9,455.6,9950.0
2020-12-14,455.7,461.0,450.6,457.9,18530.0
2020-12-15,462.05,467.15,458.8,466.95,5930.0
2020-12-16,468.75,468.75,455.0,456.0,10920.0
2020-12-17,456.0,458.25,447.0,450.25,26940.0
2020-12-18,449.6,451.7,449.25,451.65,3620.0
2020-12-21,450.0,451.6,448.05,451.4,4610.0
2020-12-22,449.25,452.45,446.55,451.7,10100.0
2020-12-23,455.7,455.7,450.7,451.0,2400.0
2020-12-24,451.8,452.2,447.0,451.0,8030.0
2020-12-25,450.0,453.9,447.6,452.05,2710.0
2020-12-28,452.95,452.95,449.05,451.6,4850.0
2020-12-29,457.8,461.95,447.35,451.55,13680.0
2020-12-30,451.6,460.4,451.6,457.4,6930.0
2021-01-04,453.95,460.0,450.4,460.0,14560.0
2021-01-05,457.85,469.0,452.85,462.25,11230.0
2021-01-06,454.2,468.65,454.2,461.95,24920.0
2021-01-08,462.8,468.05,462.8,465.5,4210.0
2021-01-11,465.5,471.9,464.9,471.85,12550.0
2021-01-12,460.3,474.9,455.1,467.25,11060.0
2021-01-13,475.0,475.0,464.05,464.05,4490.0
