Date,Open,High,Low,Close,Volume
2006-05-16,810.0,810.0,730.0,730.0,600.0
2006-06-07,638.0,641.0,633.0,636.0,2000.0
2006-06-08,635.26,644.0,630.13,644.0,900.0
2006-06-14,600.0,600.0,595.0,597.0,3100.0
2006-06-15,595.0,620.0,595.0,597.0,6500.0
2006-06-16,540.13,545.0,540.13,545.0,800.0
2006-06-19,560.0,561.0,555.0,555.0,1600.0
2006-06-28,560.0,595.0,560.0,595.0,400.0
2006-06-29,608.0,608.0,608.0,608.0,200.0
2006-06-30,608.0,608.0,608.0,608.0,4200.0
2006-07-03,604.5,604.5,604.5,604.5,500.0
2006-07-04,650.0,665.9,650.0,665.9,1700.0
2006-07-06,642.0,642.0,642.0,642.0,500.0
2006-07-10,650.0,650.0,650.0,650.0,200.0
2006-07-11,660.0,660.0,660.0,660.0,400.0
2006-07-12,680.0,700.0,680.0,700.0,1100.0
2006-07-17,680.0,690.0,680.0,690.0,2000.0
2006-07-18,680.0,690.0,680.0,690.0,1400.0
2006-07-19,695.3,695.3,695.3,695.3,200.0
2006-07-20,705.0,705.0,705.0,705.0,300.0
2006-07-21,720.0,720.0,720.0,720.0,500.0
2006-07-28,711.0,730.0,705.0,730.0,700.0
2006-08-01,720.0,720.0,720.0,720.0,600.0
2006-08-03,724.0,724.0,711.0,724.0,300.0
2006-08-04,738.0,739.0,738.0,739.0,2000.0
2006-08-08,739.0,739.0,738.0,738.0,800.0
2006-08-09,739.0,742.0,739.0,742.0,400.0
2006-08-14,745.0,745.0,745.0,745.0,200.0
2006-08-15,738.0,744.0,737.0,744.0,1300.0
2006-08-16,739.0,743.0,739.0,743.0,500.0
2006-08-17,741.0,741.0,737.0,737.0,400.0
2006-08-18,737.0,737.0,737.0,737.0,100.0
2006-08-21,740.0,745.0,740.0,745.0,900.0
2006-08-22,739.26,740.0,739.26,740.0,400.0
2006-08-23,748.0,760.0,748.0,760.0,800.0
2006-08-24,757.0,757.0,757.0,757.0,1000.0
2006-08-25,757.0,765.0,757.0,765.0,200.0
2006-08-29,1000.0,1000.0,1000.0,1000.0,100.0
2006-09-01,850.0,850.0,850.0,850.0,100.0
2006-09-04,795.0,795.0,795.0,795.0,400.0
2006-09-05,870.0,1000.0,870.0,1000.0,400.0
2006-09-08,820.0,850.0,820.0,850.0,400.0
2006-09-11,870.0,870.0,850.0,850.0,400.0
2006-09-12,870.0,870.0,825.0,825.0,900.0
2006-09-14,787.0,870.0,787.0,870.0,200.0
2006-09-18,876.0,876.0,876.0,876.0,600.0
2006-09-19,888.0,899.99,888.0,892.0,6400.0
2006-09-21,895.0,900.0,888.0,888.0,800.0
2006-09-22,870.0,889.9,870.0,874.0,1000.0
2006-09-25,867.1,867.1,867.1,867.1,100.0
2006-09-26,882.0,883.0,882.0,883.0,200.0
2006-09-28,879.0,879.0,879.0,879.0,400.0
2006-10-02,883.0,883.0,875.0,875.0,400.0
2006-10-03,880.0,880.0,880.0,880.0,100.0
2006-10-04,875.0,875.0,875.0,875.0,200.0
2006-10-05,875.0,875.0,875.0,875.0,700.0
2006-10-06,870.0,870.0,870.0,870.0,100.0
2006-10-17,888.0,890.0,885.0,885.0,1100.0
2006-10-18,800.0,891.0,800.0,880.0,28200.0
2006-10-19,878.01,878.01,878.01,878.01,300.0
2006-10-23,890.0,890.99,870.0,889.0,400.0
2006-10-24,852.0,890.99,852.0,890.99,300.0
2006-10-25,887.0,900.0,887.0,900.0,600.0
2006-10-26,900.0,900.0,885.01,900.0,600.0
2006-10-27,899.99,900.0,825.1,825.1,600.0
2006-10-31,880.0,883.0,880.0,883.0,400.0
2006-11-01,888.0,900.0,888.0,900.0,2700.0
2006-11-07,900.0,900.0,900.0,900.0,100.0
2006-11-09,899.0,910.0,898.0,910.0,1100.0
2006-11-16,910.0,915.0,898.0,915.0,500.0
2006-11-21,919.99,920.0,919.99,920.0,200.0
2006-11-22,907.0,912.0,900.0,912.0,1800.0
2006-11-23,910.0,920.0,905.0,920.0,4500.0
2006-11-24,926.0,926.0,922.0,922.0,400.0
2006-11-27,920.0,930.0,915.0,915.0,500.0
2006-11-28,921.0,925.0,915.0,915.0,800.0
2006-11-29,905.01,905.01,900.0,905.0,1400.0
2006-12-01,905.0,905.0,895.0,900.0,1400.0
2006-12-04,891.0,891.0,875.0,891.0,1700.0
2006-12-05,882.02,889.0,882.0,889.0,500.0
2006-12-06,882.03,891.0,880.0,880.0,3800.0
2006-12-07,881.02,881.02,881.0,881.0,1200.0
2006-12-11,890.0,892.0,890.0,892.0,200.0
2006-12-12,891.0,893.0,890.0,890.0,1300.0
2006-12-13,880.0,880.0,870.0,870.0,500.0
2006-12-14,880.0,892.0,878.0,891.0,1100.0
2006-12-15,890.0,1000.0,890.0,904.0,9700.0
2006-12-18,905.0,945.0,905.0,940.0,3500.0
2006-12-19,910.01,949.99,910.0,910.0,1000.0
2006-12-20,949.99,990.0,949.99,990.0,2500.0
2006-12-21,990.0,990.0,990.0,990.0,100.0
2006-12-25,999.9,999.9,950.0,950.0,700.0
2006-12-26,926.0,930.0,925.0,925.0,3300.0
2006-12-27,930.0,946.0,925.0,929.0,29600.0
2006-12-28,928.0,940.0,920.0,925.0,2900.0
