Date,Open,High,Low,Close,Volume
2013-02-15,58.15,58.15,51.23,55.0,5897620.0
2013-02-18,55.0,56.6,54.18,56.02,2767350.0
2013-02-19,56.5,56.6,55.95,56.0,1761230.0
2013-02-20,56.3,56.5,54.98,55.4,1413600.0
2013-02-21,55.03,55.39,54.41,54.7,519330.0
2013-02-22,54.5,54.86,53.89,54.5,1229680.0
2013-02-25,54.76,54.8,54.07,54.75,105930.0
2013-02-26,54.57,54.74,52.57,54.4,1490440.0
2013-02-27,54.25,54.25,53.4,54.2,2748950.0
2013-02-28,54.74,54.74,53.5,53.89,341650.0
2013-03-01,53.7,54.28,52.5,52.5,2183750.0
2013-03-04,52.5,52.97,52.3,52.8,2048950.0
2013-03-05,52.88,53.8,52.7,53.75,579530.0
2013-03-06,53.3,54.2,53.3,53.8,1080540.0
2013-03-07,53.49,54.2,53.43,53.99,572780.0
2013-03-11,53.98,54.6,53.27,54.0,1553350.0
2013-03-12,53.52,54.8,53.28,54.6,1707250.0
2013-03-13,54.23,55.08,54.22,54.55,4353160.0
2013-03-14,54.8,55.15,54.3,54.9,2690980.0
2013-03-15,55.0,55.24,54.16,55.0,9059010.0
2013-03-18,52.75,53.43,51.1,52.85,1133650.0
2013-03-19,53.2,53.2,51.87,51.96,1403920.0
2013-03-20,52.2,52.36,50.76,52.12,1013200.0
2013-03-21,52.57,52.96,51.95,52.13,407400.0
2013-03-22,52.3,52.3,51.56,51.94,455650.0
2013-03-25,52.38,52.38,51.8,51.92,199820.0
2013-03-26,51.55,52.0,50.3,51.49,338920.0
2013-03-27,52.03,52.03,50.9,51.26,265490.0
2013-03-28,51.0,51.0,48.8,48.87,628410.0
2013-03-29,49.51,49.87,49.0,49.48,332070.0
2013-04-01,50.18,50.18,49.16,49.63,79790.0
2013-04-02,49.63,49.63,48.38,48.59,168370.0
2013-04-03,48.52,48.52,47.89,48.23,133190.0
2013-04-04,48.07,48.65,47.42,48.43,181760.0
2013-04-05,48.43,48.61,47.5,48.5,123940.0
2013-04-08,48.67,48.88,47.5,47.52,110510.0
2013-04-09,48.23,48.23,47.4,47.4,209980.0
