Date,Open,High,Low,Close,Volume
2000-01-05,1.09,1.143,1.0,1.1,16784300.0
2000-01-06,1.128,1.19,1.128,1.19,4595400.0
2000-01-10,1.3,1.394,1.201,1.385,23347300.0
2000-01-11,1.35,1.35,1.27,1.27,14639800.0
2000-01-12,1.275,1.38,1.221,1.361,16152800.0
2000-01-13,1.36,1.52,1.323,1.482,16085100.0
2000-01-14,1.5,1.725,1.5,1.715,19340600.0
2000-01-17,1.65,1.75,1.575,1.577,14468700.0
2000-01-18,1.54,1.66,1.51,1.52,16912300.0
2000-01-19,1.47,1.49,1.382,1.395,12075600.0
2000-01-20,1.439,1.55,1.422,1.537,12934900.0
2000-01-21,1.54,1.65,1.53,1.608,12573900.0
2000-01-24,1.6,1.67,1.495,1.5,17710800.0
2000-01-25,1.424,1.479,1.362,1.43,17143600.0
2000-01-26,1.44,1.45,1.4,1.444,14139900.0
2000-01-27,1.46,1.536,1.451,1.531,9062700.0
2000-01-28,1.51,1.56,1.398,1.428,12217900.0
2000-01-31,1.361,1.4,1.334,1.34,8135500.0
2000-02-01,1.434,1.457,1.355,1.359,11439900.0
2000-02-02,1.38,1.39,1.3,1.32,16636800.0
2000-02-03,1.35,1.419,1.32,1.37,12380000.0
2000-02-04,1.4,1.438,1.385,1.4,14766100.0
2000-02-07,1.42,1.447,1.4,1.413,9549200.0
2000-02-08,1.425,1.527,1.414,1.527,21654800.0
2000-02-09,1.57,1.629,1.541,1.541,29453600.0
2000-02-10,1.528,1.55,1.48,1.535,19067500.0
2000-02-11,1.553,1.578,1.5,1.53,13250400.0
2000-02-14,1.64,1.678,1.512,1.512,12506600.0
2000-02-15,1.5,1.5,1.44,1.44,16729000.0
2000-02-16,1.475,1.531,1.45,1.492,25667600.0
2000-02-17,1.46,1.555,1.46,1.54,13038600.0
2000-02-18,1.515,1.53,1.505,1.511,7819700.0
2000-02-21,1.46,1.5,1.452,1.492,5734200.0
2000-02-22,1.5,1.54,1.5,1.516,10138200.0
2000-02-23,1.538,1.56,1.526,1.54,14470400.0
2000-02-24,1.569,1.595,1.55,1.57,13410300.0
2000-02-25,1.528,1.558,1.472,1.499,12242200.0
2000-02-28,1.498,1.498,1.358,1.375,17243200.0
2000-02-29,1.43,1.455,1.38,1.45,21662400.0
2000-03-01,1.479,1.51,1.46,1.49,10656600.0
2000-03-02,1.5,1.507,1.45,1.487,13466300.0
2000-03-03,1.5,1.57,1.481,1.555,18287900.0
2000-03-06,1.58,1.6,1.546,1.546,19447600.0
2000-03-07,1.52,1.628,1.512,1.606,25293400.0
2000-03-09,1.645,1.75,1.645,1.729,40507000.0
2000-03-10,1.78,1.942,1.74,1.881,39890400.0
2000-03-13,1.8,1.89,1.667,1.728,42481100.0
2000-03-14,1.789,1.865,1.78,1.83,30485700.0
2000-03-15,1.824,1.9,1.75,1.85,46179800.0
2000-03-16,1.897,1.92,1.816,1.86,31651100.0
2000-03-17,1.87,1.89,1.81,1.829,14489900.0
2000-03-20,1.829,1.829,1.78,1.819,8967400.0
2000-03-21,1.786,1.825,1.77,1.802,20913900.0
2000-03-22,1.82,1.887,1.814,1.87,20263900.0
2000-03-23,1.92,2.01,1.902,1.931,45329100.0
2000-03-24,1.998,2.03,1.925,1.97,42006200.0
2000-03-27,2.0,2.037,1.876,1.92,43430500.0
2000-03-28,1.871,1.899,1.814,1.815,21656300.0
2000-03-29,1.82,1.875,1.805,1.869,18857700.0
2000-03-30,1.851,1.863,1.78,1.79,16721400.0
2000-03-31,1.756,1.839,1.755,1.838,8695600.0
2000-04-03,1.84,1.855,1.761,1.765,10426200.0
2000-04-04,1.766,1.82,1.76,1.783,10562500.0
2000-04-05,1.755,1.772,1.637,1.65,13825000.0
2000-04-06,1.65,1.755,1.65,1.74,14610300.0
2000-04-07,1.706,1.75,1.643,1.72,8413000.0
2000-04-10,1.72,1.83,1.708,1.828,10329200.0
2000-04-11,1.8,1.8,1.732,1.76,9052200.0
2000-04-12,1.78,1.82,1.758,1.77,16733200.0
2000-04-13,1.701,1.765,1.701,1.726,5492200.0
2000-04-14,1.745,1.797,1.723,1.735,11137800.0
2000-04-17,1.52,1.63,1.52,1.595,15482500.0
2000-04-18,1.649,1.665,1.556,1.6,13514100.0
2000-04-19,1.645,1.647,1.551,1.56,10786600.0
2000-04-20,1.54,1.604,1.54,1.58,15275900.0
