Date,Open,High,Low,Close,Volume
2008-12-26,123.25,123.25,110.0,114.0,9.0
2008-12-29,114.0,114.0,110.6,110.6,6.0
2008-12-30,112.7,112.7,112.7,112.7,351.0
2008-12-31,113.4,113.4,113.4,113.4,1.0
2009-01-11,130.0,130.0,116.0,121.0,1877.0
2009-01-12,124.85,145.0,122.66,132.85,12504.0
2009-01-13,128.88,140.0,120.02,121.45,34743.0
2009-01-14,121.45,122.0,111.11,113.0,11532.0
2009-01-15,112.9,118.49,105.03,106.0,12011.0
2009-01-16,108.25,111.9,106.0,107.5,13325.0
2009-01-19,108.0,108.0,97.5,99.6,6489.0
2009-01-20,95.0,100.0,90.0,92.5,22316.0
2009-01-21,85.05,89.99,83.0,85.0,69797.0
2009-01-22,94.88,94.88,76.0,80.0,84730.0
2009-01-23,84.99,84.99,73.0,75.0,15911.0
2009-01-26,77.0,88.5,76.7,87.0,247892.0
2009-01-27,89.99,105.0,82.0,93.0,82155.0
2009-01-28,93.5,93.5,88.11,91.51,10706.0
2009-01-29,94.58,99.95,92.0,92.0,6865.0
2009-01-30,92.0,97.47,90.01,95.13,13007.0
2009-02-02,99.29,103.99,96.0,101.89,27533.0
2009-02-03,102.9,111.99,100.02,111.9,63973.0
2009-02-04,113.0,125.0,112.0,124.0,74388.0
2009-02-05,125.0,149.99,124.5,130.0,291796.0
2009-02-06,131.9,148.49,129.02,147.0,56295.0
2009-02-09,149.21,205.86,149.21,173.99,231330.0
2009-02-10,180.0,217.0,175.47,188.8,253099.0
2009-02-11,177.0,183.5,168.8,175.1,113977.0
2009-02-12,175.0,175.1,150.0,154.15,63589.0
2009-02-13,163.0,163.3,155.0,159.0,45449.0
2009-02-16,157.13,159.79,149.5,156.0,18777.0
2009-02-17,158.6,158.79,131.0,143.69,32462.0
2009-02-18,145.0,147.0,130.1,139.0,26270.0
2009-02-19,145.7,147.0,135.02,142.0,22858.0
2009-02-20,145.5,160.0,126.62,134.0,82677.0
2009-02-24,128.1,139.87,123.01,134.9,17410.0
2009-02-25,148.46,156.0,139.9,142.0,110785.0
2009-02-26,149.0,159.0,135.2,150.0,294685.0
2009-02-27,139.6,146.0,131.02,134.97,299049.0
2009-03-02,131.53,133.99,125.0,130.46,58872.0
2009-03-03,126.5,140.35,126.5,128.0,114576.0
2009-03-04,130.76,140.0,130.0,131.99,250660.0
2009-03-05,135.0,135.97,128.5,128.51,100633.0
2009-03-06,127.8,129.9,125.13,126.0,98113.0
2009-03-10,128.5,134.5,126.1,132.8,294403.0
2009-03-11,134.13,135.99,126.8,128.44,162333.0
2009-03-12,128.2,128.97,120.0,121.12,141898.0
2009-03-13,124.0,128.8,122.0,126.0,209894.0
2009-03-16,128.98,133.5,126.0,133.0,118417.0
2009-03-17,135.01,135.01,124.99,129.0,232898.0
2009-03-18,130.2,131.0,124.8,126.5,93095.0
2009-03-19,133.0,138.5,130.0,134.13,416279.0
2009-03-20,135.5,145.0,135.11,142.0,259236.0
2009-03-23,144.0,163.0,140.02,160.41,304891.0
2009-03-24,162.3,165.0,144.05,147.0,471187.0
2009-03-25,146.98,157.3,140.1,154.0,240790.0
2009-03-26,155.0,159.9,148.5,157.99,232513.0
2009-03-27,157.55,159.99,146.01,151.0,205380.0
2009-03-30,146.0,149.0,138.81,140.0,85675.0
2009-03-31,141.0,148.0,136.04,146.89,55983.0
2009-04-01,148.99,149.95,141.1,145.92,57386.0
2009-04-02,148.87,157.0,146.53,152.5,194009.0
2009-04-03,151.99,156.96,151.99,156.29,101782.0
2009-04-06,162.0,168.3,157.0,157.99,219054.0
2009-04-07,156.51,161.51,155.01,158.98,66186.0
2009-04-08,158.0,168.87,152.51,167.0,330105.0
2009-04-09,171.0,199.0,169.05,198.9,293115.0
2009-04-10,201.0,201.01,190.01,194.5,85965.0
2009-04-13,190.11,198.0,190.07,195.0,59698.0
2009-04-14,205.0,214.9,201.01,209.9,117603.0
2009-04-15,199.0,204.94,190.0,202.0,91538.0
2009-04-16,204.01,210.0,200.82,206.5,53433.0
2009-04-17,209.0,218.01,208.0,218.0,104063.0
