Date,Open,High,Low,Close,Volume
2007-11-06,176.7,176.7,176.7,176.7,202.0
2007-11-07,174.23,174.23,174.23,174.23,211.0
2007-11-08,179.75999,179.75999,174.5,174.5,3.0
2007-11-09,172.0,172.0,172.0,172.0,97.0
2007-11-12,195.97,206.09,178.94,179.0,1554.0
2007-11-13,198.0,198.0,175.0,178.64999,281.0
2007-11-14,198.5,198.5,165.0,171.0,2289.0
2007-11-15,165.92999,195.99001,164.5,189.99001,518.0
2007-11-16,164.64,164.64,164.0,164.0,125.0
2007-11-19,160.7,160.7,160.0,160.7,77.0
2007-11-20,183.91,183.91,154.94,154.94,106.0
2007-11-22,154.89999,154.89999,145.94,150.0,115.0
2007-11-23,135.0,148.0,135.0,148.0,930.0
2007-11-26,135.3,148.0,135.3,145.5,118.0
2007-11-27,144.44,144.44,144.44,144.44,50.0
2007-11-28,145.10001,145.10001,145.10001,145.10001,1.0
2007-11-29,145.0,145.0,145.0,145.0,98.0
2007-11-30,149.0,149.0,149.0,149.0,75.0
2007-12-04,150.0,151.0,145.0,150.0,4002.0
2007-12-05,146.02,151.0,146.02,151.0,1510.0
2007-12-06,154.0,158.0,154.0,158.0,5516.0
2007-12-07,157.0,157.0,154.0,154.0,1600.0
2007-12-10,162.2,162.2,162.19,162.2,552.0
2007-12-12,172.0,172.0,172.0,172.0,1.0
2007-12-13,159.94,165.0,159.94,165.0,26.0
2007-12-14,165.0,165.0,161.0,161.0,25.0
2007-12-17,160.0,166.0,160.0,166.0,1531.0
2007-12-18,165.0,167.45,162.0,167.45,3451.0
2007-12-19,170.99,170.99,166.0,166.0,2.0
2007-12-20,170.0,170.0,170.0,170.0,1.0
2007-12-21,169.0,169.0,169.0,169.0,500.0
2007-12-24,171.0,172.0,171.0,172.0,657.0
2007-12-25,174.0,176.0,173.0,175.99,575.0
2007-12-26,173.0,177.0,173.0,173.0,104.0
2007-12-27,173.05,178.72,173.0,174.0,637.0
2007-12-28,178.0,178.38,178.0,178.38,1200.0
2008-01-09,177.03,177.03,177.03,177.03,33.0
