Date,Open,High,Low,Close,Volume
2006-04-18,63.0,63.3,63.0,63.2,7600.0
2006-04-19,63.2,68.2,63.2,66.0,49800.0
2006-04-20,69.8,69.8,62.1,65.0,8300.0
2006-04-21,65.0,65.5,64.9,65.5,24300.0
2006-04-24,65.5,65.5,63.0,63.0,19900.0
2006-04-25,65.0,65.0,63.5,65.0,36100.0
2006-04-26,65.0,68.9,63.3,65.0,58000.0
2006-04-27,63.7,64.0,62.1,62.1,70700.0
2006-04-28,66.0,66.0,63.5,63.7,2600.0
2006-05-02,62.6,63.7,62.5,63.0,3600.0
2006-05-03,63.5,65.0,63.5,64.7,10400.0
2006-05-04,63.9,63.9,63.0,63.5,10400.0
2006-05-05,63.5,63.9,63.5,63.9,6900.0
2006-05-06,63.6,63.6,63.0,63.2,21200.0
2006-05-10,63.1,64.1,62.0,64.1,3500.0
2006-05-11,64.9,67.9,64.4,67.8,109900.0
2006-05-12,70.1,70.1,66.0,66.5,64800.0
2006-05-15,65.1,65.1,63.5,63.5,66500.0
2006-05-16,64.9,64.9,63.0,63.5,5700.0
2006-05-17,64.5,68.0,64.5,64.5,5100.0
2006-05-18,61.0,67.9,61.0,64.5,3400.0
2006-05-19,65.5,65.5,60.0,62.0,22700.0
2006-05-22,60.0,61.5,51.1,52.0,25600.0
2006-05-23,50.0,56.9,50.0,56.6,90500.0
2006-05-24,55.9,55.9,49.5,50.0,36900.0
2006-05-25,51.3,51.3,48.5,51.2,99200.0
2006-05-26,53.0,56.0,53.0,55.9,107400.0
2006-05-29,58.7,60.0,57.0,58.3,10300.0
2006-05-30,58.5,58.5,55.1,58.3,15300.0
2006-05-31,53.2,60.5,53.1,60.5,35100.0
2006-06-01,60.8,64.0,57.0,62.8,83900.0
2006-06-02,65.0,65.0,63.0,64.4,3800.0
2006-06-05,64.1,64.3,63.0,63.0,2400.0
2006-06-06,59.0,63.4,59.0,60.0,22200.0
2006-06-07,57.1,58.3,57.1,58.0,2700.0
2006-06-08,57.0,57.0,53.0,53.0,49900.0
2006-06-09,55.9,56.0,53.0,53.0,28500.0
2006-06-13,51.0,51.0,49.1,51.0,45500.0
2006-06-14,51.0,52.8,49.5,50.1,18700.0
2006-06-15,53.9,61.0,53.9,55.2,151400.0
2006-06-16,57.0,60.0,51.7,54.0,13000.0
2006-06-19,53.0,56.0,52.0,56.0,3200.0
2006-06-20,55.0,55.0,52.0,53.0,56800.0
2006-06-21,52.6,53.0,52.6,53.0,52600.0
2006-06-22,54.7,59.0,50.4,50.4,333900.0
2006-06-23,50.1,53.0,49.6,51.5,60200.0
2006-06-26,52.5,53.7,51.5,53.7,50000.0
2006-06-27,54.7,65.0,52.2,53.5,127700.0
2006-06-28,53.9,54.0,51.8,52.7,67600.0
2006-06-29,53.7,56.3,53.7,56.0,10200.0
2006-06-30,56.6,60.4,56.5,59.8,58800.0
2006-07-03,60.0,61.9,58.0,58.0,11100.0
2006-07-04,62.0,62.0,58.1,59.5,26800.0
2006-07-05,59.0,59.6,58.5,59.6,57200.0
2006-07-06,59.0,59.3,58.8,59.0,99500.0
2006-07-07,61.5,61.5,59.0,59.1,112700.0
2006-07-10,62.0,62.0,60.0,62.0,7100.0
2006-07-11,63.4,64.9,62.9,63.0,47300.0
2006-07-12,63.0,64.0,61.3,62.2,9900.0
2006-07-13,60.5,63.0,55.1,58.0,33300.0
2006-07-14,58.0,59.5,58.0,58.4,5000.0
2006-07-17,55.1,56.0,53.2,55.0,45000.0
2006-07-18,54.0,55.2,54.0,55.0,39500.0
2006-07-19,55.0,57.0,55.0,57.0,52800.0
2006-07-20,58.0,59.3,57.0,59.3,11300.0
2006-07-21,58.0,58.7,57.7,58.7,10500.0
