Date,Open,High,Low,Close,Volume
2007-11-08,7.2,7.399,6.0,7.15,281500.0
2007-11-09,7.15,8.87,6.9,7.107,268500.0
2007-11-12,7.5,7.5,6.6,7.0,455500.0
2007-11-13,7.0,7.0,6.85,6.85,24400.0
2007-11-14,7.199,7.199,6.75,6.761,28100.0
2007-11-15,6.89,6.89,6.76,6.761,7200.0
2007-11-16,6.71,7.0,6.71,6.801,27500.0
2007-11-19,6.8,6.8,6.7,6.7,15000.0
2007-11-20,6.7,6.7,6.352,6.42,41500.0
2007-11-21,6.45,6.459,6.27,6.27,68000.0
2007-11-22,6.299,7.099,6.14,6.14,83700.0
2007-11-23,6.2,6.2,6.0,6.1,37200.0
2007-11-26,6.1,8.0,6.06,6.1,209800.0
2007-11-27,6.1,6.34,6.1,6.2,30800.0
2007-11-28,6.11,6.49,6.11,6.49,68200.0
2007-11-29,6.499,6.5,6.0,6.0,40800.0
2007-11-30,6.2,6.8,6.022,6.7,103300.0
2007-12-03,6.201,6.69,6.201,6.69,143300.0
2007-12-04,6.7,6.7,6.5,6.501,63200.0
2007-12-05,6.999,7.0,6.56,6.6,249900.0
2007-12-06,6.55,6.647,6.312,6.54,55700.0
2007-12-07,6.502,6.61,6.5,6.5,919100.0
2007-12-10,6.699,6.699,6.4,6.552,47900.0
2007-12-11,6.42,6.55,6.42,6.508,3600.0
2007-12-12,6.55,6.55,6.49,6.523,270600.0
2007-12-13,6.52,6.52,6.304,6.42,67700.0
2007-12-14,6.53,6.599,6.4,6.4,184200.0
2007-12-17,6.55,6.55,6.35,6.35,30100.0
2007-12-18,6.33,6.33,6.27,6.305,20700.0
2007-12-19,6.29,6.44,6.29,6.44,8000.0
2007-12-20,6.401,6.401,6.111,6.35,212800.0
2007-12-21,6.3,6.349,6.26,6.27,55900.0
2007-12-24,6.3,6.3,6.2,6.2,48700.0
2007-12-25,6.27,6.302,6.1,6.3,215300.0
2007-12-26,6.125,6.29,6.1,6.1,233800.0
2007-12-27,6.288,6.288,6.14,6.141,66100.0
2007-12-28,6.55,6.551,6.275,6.32,856500.0
2009-01-11,3.026,3.68,3.0,3.1,518800.0
2009-01-12,2.911,3.5,2.8,2.838,153900.0
2009-01-13,3.0,3.0,2.607,2.95,71800.0
2009-01-14,3.3,3.3,2.511,2.65,1590700.0
2009-01-15,2.7,2.87,2.56,2.686,2797400.0
2009-01-16,2.819,2.835,2.611,2.63,251300.0
2009-01-19,2.65,2.782,2.602,2.62,394700.0
2009-01-20,2.55,2.734,2.406,2.55,353300.0
2009-01-21,2.624,2.7,2.31,2.619,750000.0
2009-01-22,2.721,2.85,2.422,2.422,438500.0
2009-01-23,2.469,2.619,2.3,2.465,125600.0
2009-01-26,2.587,2.648,2.323,2.476,219200.0
2009-01-27,2.391,2.639,2.151,2.37,200000.0
2009-01-28,2.397,2.47,2.225,2.4,327500.0
2009-01-29,2.466,2.593,2.225,2.23,381000.0
2009-01-30,2.224,2.326,2.105,2.291,608200.0
2009-02-02,2.36,2.364,2.15,2.293,671900.0
2009-02-03,2.25,2.498,2.151,2.179,192300.0
2009-02-04,2.199,2.23,2.15,2.19,93400.0
2009-02-05,2.165,2.222,2.105,2.161,239000.0
2009-02-06,2.21,2.4,2.155,2.249,508800.0
2009-02-09,2.31,2.425,2.201,2.275,254500.0
2009-02-10,2.285,2.34,2.169,2.244,116200.0
2009-02-11,2.243,2.243,2.055,2.147,229300.0
2009-02-12,2.1,2.178,2.003,2.083,330600.0
2009-02-13,2.071,2.226,2.071,2.172,31800.0
2009-02-16,2.2,2.824,2.01,2.38,11312700.0
2009-02-17,2.45,2.59,2.133,2.205,496500.0
2009-02-18,2.242,2.331,2.1,2.236,236900.0
2009-02-19,2.111,2.23,2.099,2.2,248000.0
2009-02-20,2.151,2.235,2.135,2.198,679700.0
2009-02-24,2.13,2.13,2.0,2.05,433300.0
2009-02-25,2.097,2.12,2.049,2.1,15600.0
2009-02-26,2.114,2.19,1.96,2.012,453700.0
2009-02-27,2.05,2.09,2.0,2.075,20400.0
2009-03-02,2.05,2.222,1.83,1.956,444000.0
2009-03-03,2.0,2.0,1.83,1.977,115500.0
2009-03-04,2.035,2.091,1.716,1.725,1050600.0
2009-03-05,1.735,1.781,1.655,1.7,707400.0
2009-03-06,1.755,1.837,1.615,1.74,189600.0
2009-03-10,1.685,1.898,1.65,1.77,1080900.0
2009-03-11,1.77,1.789,1.61,1.715,479400.0
2009-03-12,1.7,1.788,1.62,1.705,875300.0
2009-03-13,1.789,1.789,1.664,1.674,1106600.0
2009-03-16,1.699,1.779,1.611,1.63,1297800.0
2009-03-17,1.622,1.648,1.619,1.647,485100.0
2009-03-18,1.647,1.71,1.631,1.679,1164100.0
2009-03-19,1.66,2.082,1.629,2.0,3797000.0
2009-03-20,1.96,2.58,1.871,1.95,6614900.0
2009-03-23,1.95,2.048,1.88,1.913,872100.0
2009-03-24,1.9,1.989,1.86,1.889,1241700.0
2009-03-25,1.89,2.0,1.801,1.95,3114600.0
2009-03-26,1.94,2.049,1.94,2.043,357500.0
2009-03-27,2.06,2.06,1.98,1.98,278400.0
2009-03-30,2.05,2.05,1.93,1.98,1115300.0
2009-03-31,2.0,2.05,1.951,1.951,168100.0
2009-04-01,1.966,2.01,1.93,1.988,266200.0
2009-04-02,2.015,2.318,2.008,2.12,274900.0
2009-04-03,2.11,2.11,1.99,2.01,664100.0
2009-04-06,2.08,2.273,2.004,2.1,679500.0
2009-04-07,2.07,2.24,2.014,2.099,240800.0
2009-04-08,2.01,2.06,1.984,2.04,442300.0
2009-04-09,2.09,2.184,2.001,2.1,766100.0
2009-04-10,2.06,2.319,2.06,2.309,464000.0
2009-04-13,2.484,2.65,2.157,2.49,1087000.0
2009-04-14,2.65,2.65,2.303,2.537,629700.0
2009-04-15,2.36,2.519,2.26,2.417,1860000.0
2009-04-16,2.488,2.599,2.36,2.59,496100.0
2009-04-17,2.63,3.22,2.45,2.614,918400.0
2009-04-20,2.591,2.6,1.94,2.379,11196100.0
2009-04-21,2.278,2.97,2.228,2.318,9734800.0
2009-04-22,2.494,2.494,2.3,2.349,733800.0
2009-04-23,2.434,2.6,2.34,2.5,1958100.0
2009-04-24,2.545,2.633,2.381,2.55,3381400.0
2009-04-27,2.45,2.59,2.4,2.468,7403900.0
2009-04-28,2.545,2.545,2.32,2.458,2591300.0
2009-04-29,2.465,2.585,2.375,2.478,1362700.0
2009-04-30,2.578,2.75,2.45,2.67,2792200.0
2009-05-04,2.81,3.085,2.612,2.911,1567400.0
2009-05-05,3.059,3.187,2.95,3.077,2226000.0
2009-05-06,3.13,3.939,3.05,3.6,2987000.0
2009-05-07,3.724,3.899,3.29,3.359,1118600.0
2009-05-08,3.35,3.525,3.104,3.414,1418600.0
