Date,Open,High,Low,Close,Volume
2006-08-18,133.35,133.35,127.01,127.11,28292.0
2006-08-21,132.0,132.13,125.01,130.0,237125.0
2006-08-22,127.7,133.0,127.7,131.5,87178.0
2006-08-23,131.5,139.0,129.01,135.0,183815.0
2006-08-24,134.01,139.0,133.5,137.5,107381.0
2006-08-25,140.0,140.0,136.01,137.0,218971.0
2006-08-28,136.98,138.68,134.1,136.99,62630.0
2006-08-29,136.0,137.5,133.0,135.99,102007.0
2006-08-30,135.98,136.0,131.06,131.9,96085.0
2006-08-31,131.9,132.79,129.0,129.39,70643.0
2006-09-01,130.0,130.01,127.0,128.0,104009.0
2006-09-04,130.98,130.98,127.25,129.0,53012.0
2006-09-05,129.99,129.99,128.87,129.6,30796.0
2006-09-06,130.0,130.0,128.5,129.0,21578.0
2006-09-07,129.0,129.0,124.0,127.0,73694.0
2006-09-08,125.0,130.2,125.0,129.0,8520.0
2006-09-11,128.99,128.99,125.0,126.49,41137.0
2006-09-12,125.5,131.96,123.5,123.65,103643.0
2006-09-13,124.5,129.0,120.67,124.36,19201.0
2006-09-14,125.0,127.49,125.0,125.5,76090.0
2006-09-15,121.1,126.99,121.1,123.5,62441.0
2006-09-18,126.99,126.99,122.22,124.0,15302.0
2006-09-19,125.79,125.92,123.08,123.88,72576.0
2006-09-20,123.49,123.8,118.02,120.78,50494.0
2006-09-21,122.03,122.03,118.6,121.5,30749.0
2006-09-22,118.62,121.49,114.05,120.89,36974.0
2006-09-25,117.0,120.99,115.8,116.2,22551.0
2006-09-26,116.2,124.99,116.2,123.15,42052.0
2006-09-27,124.99,127.0,122.95,123.1,8768.0
2006-09-28,126.99,136.33,123.01,134.99,219424.0
2006-09-29,133.0,139.0,130.5,133.5,78072.0
2006-10-02,134.99,142.0,133.0,138.0,96081.0
2006-10-03,132.88,137.0,132.0,133.99,29355.0
2006-10-04,131.11,139.0,130.01,135.92,74552.0
2006-10-05,137.0,142.0,137.0,139.5,118464.0
2006-10-06,136.04,140.0,136.04,139.99,46449.0
2006-10-09,138.04,157.5,136.03,156.9,66618.0
2006-10-10,159.98,170.0,147.15,149.0,63860.0
2006-10-11,145.01,152.95,145.01,148.6,26656.0
2006-10-12,148.98,149.9,145.81,147.89,59403.0
2006-10-13,150.0,160.0,149.0,158.86,127243.0
2006-10-16,159.51,162.0,157.0,158.25,23647.0
2006-10-17,160.0,161.0,157.0,158.37,110449.0
2006-10-18,158.99,159.88,157.0,158.97,152635.0
2006-10-19,159.0,160.4,156.0,158.69,51258.0
2006-10-20,160.03,160.03,147.99,148.8,194961.0
2006-10-23,150.0,150.0,140.0,143.99,177825.0
2006-10-24,143.5,143.5,140.0,141.47,75254.0
2006-10-25,141.5,144.9,139.8,144.77,225774.0
2006-10-26,147.77,149.0,145.0,146.5,272907.0
2006-10-27,147.0,150.94,144.01,148.26,124548.0
2006-10-30,147.51,150.5,146.0,148.0,150221.0
2006-10-31,148.0,159.0,146.1,155.8,153176.0
2006-11-01,157.98,161.0,153.48,158.0,97609.0
2006-11-02,158.0,162.0,151.21,154.95,153179.0
2006-11-03,155.0,158.87,154.0,156.8,307761.0
2006-11-07,159.0,161.98,156.9,160.25,193151.0
2006-11-08,159.99,161.99,158.0,158.12,126602.0
2006-11-09,158.32,163.79,158.32,160.02,304355.0
2006-11-10,160.06,160.06,158.11,159.09,60952.0
2006-11-13,159.0,161.68,156.24,158.59,192634.0
2006-11-14,156.02,160.5,156.02,159.7,86840.0
2006-11-15,160.5,161.4,157.85,158.0,69312.0
2006-11-16,158.01,159.0,156.5,157.49,107044.0
2006-11-17,156.9,157.9,150.9,153.19,132907.0
2006-11-20,153.96,155.01,150.1,151.1,130305.0
2006-11-21,153.0,155.26,152.0,154.0,175729.0
2006-11-22,155.0,157.69,149.75,155.88,403386.0
2006-11-23,155.79,160.99,155.2,160.0,145086.0
2006-11-24,160.0,160.99,157.8,160.9,47456.0
2006-11-27,160.9,164.9,159.1,161.33,237834.0
2006-11-28,161.35,162.4,158.92,160.74,46539.0
2006-11-29,163.0,168.98,160.03,168.82,114161.0
2006-11-30,168.5,172.0,167.5,170.0,262893.0
2006-12-01,170.0,173.0,169.01,169.5,50584.0
2006-12-04,168.5,174.0,168.5,171.5,85477.0
2006-12-05,171.1,173.98,170.85,172.5,155826.0
2006-12-06,173.97,174.53,172.0,173.95,74199.0
2006-12-07,173.01,175.4,172.2,173.0,89721.0
2006-12-08,174.0,174.0,171.7,172.0,56223.0
2006-12-11,171.7,173.58,169.52,170.6,62569.0
2006-12-12,170.6,172.23,170.0,172.22,39383.0
2006-12-13,169.7,172.5,165.1,167.38,89648.0
2006-12-14,167.99,170.01,167.71,167.95,149982.0
2006-12-15,169.99,171.2,168.0,169.4,71190.0
2006-12-18,170.1,171.1,169.25,171.0,104760.0
2006-12-19,170.0,171.0,165.0,167.9,145707.0
2006-12-20,168.04,170.0,167.1,168.29,35970.0
2006-12-21,170.5,170.5,165.51,167.32,65967.0
2006-12-22,167.5,168.0,165.03,167.5,57308.0
2006-12-25,167.07,167.49,163.41,163.91,33739.0
2006-12-26,165.7,166.0,163.5,165.79,30887.0
2006-12-27,165.7,165.84,163.47,164.3,73446.0
2006-12-28,163.52,168.48,160.02,165.5,73382.0
2006-12-29,166.71,168.48,165.0,166.4,46460.0
2007-01-09,160.0,160.0,148.5,149.0,290295.0
2007-01-10,153.01,154.0,144.42,149.5,452017.0
2007-01-11,149.0,156.0,147.01,155.0,140499.0
2007-01-12,154.38,156.55,152.0,153.0,470652.0
2007-01-15,156.49,159.5,154.0,159.0,91598.0
2007-01-16,159.5,161.0,153.6,155.1,269763.0
2007-01-17,154.01,156.0,150.01,151.0,171740.0
2007-01-18,151.89,154.88,149.02,151.64,127044.0
2007-01-19,150.95,153.9,150.52,153.8,179646.0
2007-01-22,155.01,157.0,153.41,156.03,112568.0
2007-01-23,156.99,157.0,153.0,154.4,108623.0
2007-01-24,156.99,158.73,154.93,154.93,196279.0
2007-01-25,157.96,158.8,154.96,155.99,119769.0
2007-01-26,155.01,155.71,150.5,150.5,129026.0
2007-01-29,152.1,156.0,147.0,147.04,380532.0
2007-01-30,147.04,148.84,146.0,147.0,274369.0
2007-01-31,149.67,149.98,145.0,146.75,146920.0
2007-02-01,148.1,151.9,147.9,150.16,158919.0
2007-02-02,151.41,152.0,149.34,151.19,111212.0
2007-02-05,151.49,153.2,150.52,152.9,102016.0
2007-02-06,152.9,155.64,152.89,155.0,134300.0
2007-02-07,155.0,155.13,152.15,154.49,57500.0
2007-02-08,151.61,154.0,149.0,149.14,145123.0
2007-02-09,152.0,153.99,147.7,149.49,205040.0
2007-02-12,146.19,149.88,140.0,141.97,165418.0
2007-02-13,141.0,144.5,140.5,143.5,241976.0
2007-02-14,145.0,148.0,142.86,146.1,75792.0
2007-02-15,146.0,146.79,142.24,143.36,61213.0
2007-02-16,144.49,144.86,142.26,144.5,39621.0
2007-02-19,145.98,146.93,144.01,145.36,107579.0
2007-02-20,146.0,146.1,143.75,143.75,50487.0
2007-02-21,143.9,145.4,143.79,144.6,57248.0
2007-02-22,145.99,150.79,145.99,150.0,199891.0
2007-02-26,152.4,152.75,149.6,151.0,244242.0
2007-02-27,150.0,150.3,143.33,144.89,144041.0
2007-02-28,142.11,144.0,132.71,142.0,109271.0
2007-03-01,141.96,144.5,134.09,136.0,154262.0
2007-03-02,136.21,141.5,136.2,140.0,120003.0
2007-03-05,134.05,135.5,130.0,132.03,136343.0
2007-03-06,134.89,137.0,132.8,134.89,173722.0
2007-03-07,136.78,137.97,131.61,133.5,141590.0
2007-03-09,135.1,144.0,135.0,141.0,199514.0
2007-03-12,140.99,142.99,137.53,139.0,53095.0
2007-03-13,140.0,142.91,133.0,136.5,171370.0
2007-03-14,131.0,134.96,125.99,134.9,216218.0
2007-03-15,137.01,137.19,134.5,136.0,71112.0
2007-03-16,135.0,137.12,134.03,136.95,46467.0
2007-03-19,138.33,139.5,136.6,138.45,60854.0
2007-03-20,138.01,141.0,137.05,140.89,154851.0
2007-03-21,141.0,142.34,138.02,139.97,35306.0
2007-03-22,145.7,146.74,140.94,144.99,1116280.0
2007-03-23,145.0,152.5,144.06,151.21,334498.0
2007-03-26,151.65,157.0,151.0,156.0,259734.0
2007-03-27,155.5,158.2,152.11,154.77,124594.0
2007-03-28,154.85,160.0,153.5,153.5,378116.0
2007-03-29,155.5,158.9,149.75,153.19,406513.0
2007-03-30,153.0,155.0,148.5,150.0,355171.0
2007-04-02,151.2,152.33,147.1,148.97,143934.0
2007-04-03,149.99,150.34,144.5,145.5,257161.0
2007-04-04,147.0,148.48,144.01,145.79,616279.0
2007-04-05,146.03,149.25,145.0,148.35,532968.0
2007-04-06,148.0,148.0,142.99,145.0,490738.0
2007-04-09,145.89,148.28,143.66,147.29,640763.0
2007-04-10,145.13,146.17,143.52,145.35,531058.0
2007-04-11,146.99,150.2,146.31,147.7,773507.0
2007-04-12,146.0,148.55,144.67,146.5,519138.0
2007-04-13,147.5,153.5,147.5,152.68,552944.0
2007-04-16,152.5,156.5,148.5,154.88,561937.0
2007-04-17,155.5,155.98,151.1,154.6,547484.0
2007-04-18,154.9,156.5,152.36,154.0,582661.0
2007-04-19,150.0,152.0,147.0,148.5,510171.0
2007-04-20,150.49,154.89,150.49,154.89,151276.0
2007-04-23,155.0,157.0,153.8,155.58,270409.0
2007-04-24,155.85,155.85,144.5,144.56,1295912.0
2007-04-25,144.0,144.03,140.4,143.5,311219.0
2007-04-26,144.44,146.36,142.95,142.95,240026.0
2007-04-27,143.4,143.4,136.7,137.01,303512.0
2007-04-28,138.0,140.99,137.53,139.0,133526.0
2007-05-02,140.35,140.35,133.5,134.9,202283.0
2007-05-03,136.44,137.5,135.2,136.3,205176.0
2007-05-04,136.4,139.89,136.02,138.99,159407.0
2007-05-07,139.01,141.44,137.5,140.0,43748.0
2007-05-08,140.47,141.4,136.61,137.8,139710.0
2007-05-10,137.0,138.5,133.1,133.65,151017.0
2007-05-11,131.64,133.75,129.63,131.82,225972.0
