Date,Open,High,Low,Close,Volume
2011-07-18,1346.9,1346.9,1135.0,1340.0,1040.0
2011-07-19,1220.1,1220.2,1210.2,1220.2,120.0
2011-07-20,1210.0,1250.0,1197.5,1197.5,720.0
2011-07-21,1197.5,1270.0,1197.5,1205.0,4260.0
2011-07-22,1249.9,1249.9,1201.0,1240.0,3380.0
2011-07-25,1275.0,1275.0,1250.0,1250.0,490.0
2011-07-26,1260.0,1260.0,1220.1,1220.1,140.0
2011-07-27,1225.0,1225.0,1195.0,1195.0,3400.0
2011-07-28,1200.0,1200.0,1195.0,1200.0,390.0
2011-07-29,1200.0,1200.0,1192.1,1192.1,80.0
2011-08-01,1200.0,1200.0,1175.2,1180.0,1310.0
2011-08-02,1194.9,1195.0,1194.9,1195.0,250.0
2011-08-03,1170.0,1170.0,1158.0,1158.0,410.0
2011-08-04,1160.0,1160.0,1160.0,1160.0,30.0
2011-08-05,1130.2,1160.0,1120.1,1140.0,710.0
2011-08-08,1140.0,1140.0,1107.5,1107.5,40.0
2011-08-09,1087.9,1088.8,1000.0,1055.5,460.0
2011-08-10,1075.5,1075.5,1035.0,1035.0,410.0
2011-08-11,1060.0,1060.0,950.0,1050.0,2610.0
2011-08-12,1030.0,1055.7,1030.0,1055.7,990.0
2011-08-15,1030.0,1060.0,1030.0,1040.0,600.0
2011-08-16,1022.5,1030.0,1020.0,1020.0,130.0
2011-08-17,1015.0,1030.0,1015.0,1030.0,3340.0
2011-08-18,1030.0,1045.0,1020.0,1020.0,450.0
2011-08-19,1050.0,1050.0,1040.0,1040.0,220.0
2011-08-22,1039.9,1069.9,990.0,995.0,430.0
2011-08-23,1068.9,1069.0,1005.8,1007.1,660.0
2011-08-24,1000.1,1039.2,999.5,1019.7,470.0
2011-08-25,990.1,1020.0,990.1,1000.1,4350.0
2011-08-26,980.1,1100.0,975.0,1049.6,10180.0
2011-08-29,1050.0,1149.0,1010.0,1093.7,20610.0
2011-08-30,1099.8,1118.7,1032.1,1054.7,5810.0
2011-08-31,1069.7,1120.0,1054.9,1100.0,2120.0
2011-09-01,1114.8,1115.0,1080.3,1095.0,930.0
2011-09-02,1148.0,1150.0,1095.4,1095.4,600.0
2011-09-05,1055.5,1148.0,1055.5,1111.1,1700.0
2011-09-06,1147.5,1147.5,1110.0,1120.0,1830.0
2011-09-07,1131.2,1235.0,1130.9,1235.0,2250.0
2011-09-08,1229.8,1230.0,1181.0,1230.0,620.0
2011-09-09,1177.4,1230.0,1170.1,1200.0,3310.0
2011-09-12,1150.9,1165.1,1150.0,1150.0,420.0
2011-09-13,1151.1,1190.1,1150.1,1160.0,300.0
2011-09-14,1170.0,1180.0,1169.9,1180.0,290.0
2011-09-15,1175.0,1200.0,1175.0,1200.0,3460.0
2011-09-16,1219.9,1230.0,1184.5,1230.0,6920.0
2011-09-19,1220.0,1225.0,1200.1,1200.6,680.0
2011-09-20,1200.3,1235.0,1200.3,1235.0,3660.0
2011-09-21,1235.0,1250.0,1220.0,1245.0,2660.0
2011-09-22,1170.0,1219.5,1035.0,1132.5,3590.0
2011-09-23,1188.7,1188.7,1051.0,1089.9,2400.0
2011-09-26,1088.6,1155.0,1040.0,1150.0,1880.0
2011-09-27,1189.0,1224.6,1150.0,1150.0,760.0
2011-09-28,1124.0,1153.5,1114.5,1114.5,1370.0
2011-09-29,1080.6,1189.5,1080.6,1189.5,1230.0
2011-09-30,1189.4,1189.5,1087.6,1168.3,690.0
2011-10-03,1060.1,1149.9,1060.0,1130.0,830.0
2011-10-04,1107.5,1107.5,1025.0,1025.0,570.0
2011-10-05,1124.9,1224.6,979.1,1000.0,1680.0
2011-10-06,1100.0,1250.0,1035.0,1069.9,2540.0
2011-10-07,1070.0,1107.1,1040.0,1100.0,2530.0
2011-10-10,1110.0,1122.5,1040.2,1112.4,2410.0
2011-10-11,1085.1,1100.2,1070.0,1070.0,760.0
2011-10-12,1100.0,1110.0,1040.2,1100.0,7880.0
2011-10-13,1082.7,1110.0,1073.0,1100.0,1920.0
2011-10-14,1099.9,1102.1,1079.1,1102.1,1260.0
2011-10-17,1095.1,1102.4,1082.4,1082.4,1220.0
2011-10-18,1098.9,1138.3,1055.0,1138.3,1340.0
2011-10-19,1140.1,1140.1,1096.1,1100.0,4570.0
2011-10-20,1100.0,1100.1,1095.0,1095.0,4030.0
2011-10-21,1100.0,1120.0,1099.0,1107.5,13870.0
2011-10-24,1134.7,1137.9,1093.1,1109.4,4090.0
2011-10-25,1129.5,1129.5,1099.0,1100.0,10290.0
2011-10-26,1070.0,1119.9,1070.0,1114.0,5110.0
2011-10-27,1090.0,1130.0,1081.5,1118.9,19260.0
2011-10-28,1095.2,1129.9,1095.2,1129.9,3140.0
2011-10-31,1110.1,1134.4,1100.0,1125.6,1270.0
2011-11-01,1138.7,1149.4,1118.2,1125.2,2570.0
2011-11-02,1125.0,1147.7,1125.0,1130.0,360.0
2011-11-03,1104.9,1149.6,1104.8,1111.4,1610.0
2011-11-07,1114.8,1125.2,1112.5,1115.0,90.0
2011-11-08,1115.1,1120.0,1102.8,1102.9,910.0
2011-11-09,1110.1,1115.0,1081.6,1081.6,2520.0
2011-11-10,1095.4,1110.0,1080.0,1100.0,2210.0
2011-11-11,1100.0,1106.1,1083.0,1090.0,2510.0
2011-11-14,1119.7,1119.9,1073.0,1089.8,1040.0
2011-11-15,1098.0,1109.9,1092.8,1092.8,700.0
2011-11-16,1099.0,1100.0,1072.0,1088.8,2630.0
2011-11-17,1001.7,1090.0,1001.7,1077.3,1190.0
2011-11-18,1050.1,1068.8,1040.0,1059.5,890.0
2011-11-21,1050.1,1050.1,1020.0,1030.0,2090.0
2011-11-22,1025.1,1071.6,1010.1,1037.7,2980.0
2011-11-23,1018.8,1023.6,1010.0,1010.0,430.0
2011-11-24,1019.4,1019.5,1000.0,1000.0,1410.0
2011-11-25,999.9,1000.0,944.8,972.4,2740.0
2011-11-28,980.0,991.5,960.0,985.0,3020.0
2011-11-29,991.4,991.5,958.9,978.4,1540.0
2011-11-30,970.9,989.0,967.1,975.0,6680.0
2011-12-01,984.9,1000.0,963.5,963.5,1770.0
2011-12-02,976.7,976.7,920.0,945.0,4670.0
2011-12-05,930.2,966.7,930.1,950.0,1490.0
2011-12-06,935.2,940.0,913.9,920.1,950.0
2011-12-07,907.0,920.0,890.0,900.0,5190.0
2011-12-08,910.9,956.3,905.0,919.8,3340.0
2011-12-09,899.9,953.2,899.9,935.8,7960.0
2011-12-12,913.6,920.0,899.7,899.7,2490.0
2011-12-13,881.5,904.9,870.0,900.0,910.0
2011-12-14,886.1,886.1,841.5,857.0,4020.0
2011-12-15,865.0,892.9,822.2,840.0,8850.0
2011-12-16,840.0,849.8,820.1,839.0,2240.0
2011-12-19,825.0,826.0,812.5,820.1,440.0
2011-12-20,812.1,829.9,812.0,820.0,630.0
2011-12-21,844.9,853.8,825.0,825.0,400.0
2011-12-22,844.9,844.9,815.0,815.0,650.0
2011-12-23,814.9,816.1,799.9,800.0,1470.0
2011-12-26,819.9,829.9,800.1,810.0,700.0
2011-12-27,808.0,810.0,805.0,805.0,410.0
