Date,Open,High,Low,Close,Volume
2007-06-29,657.0,657.0,657.0,657.0,66.0
2007-07-02,669.0,669.0,669.0,669.0,1.0
2007-07-03,662.0,662.0,662.0,662.0,3.0
2007-07-04,645.0,645.0,639.0,639.0,27.0
2007-07-05,666.0,745.17,652.0,657.0,10538.0
2007-07-06,600.01,657.4,600.01,657.4,261.0
2007-07-09,650.0,675.0,650.0,675.0,53.0
2007-07-10,699.99,699.99,678.2,678.2,3.0
2007-07-11,661.0,710.0,661.0,697.0,145.0
2007-07-12,671.6,720.0,671.6,714.0,138.0
2007-07-13,740.0,1010.3,730.0,940.0,236.0
2007-07-16,819.94,819.94,819.94,819.94,88.0
2007-07-17,819.94,819.94,715.08,770.0,1068.0
2007-07-18,800.0,800.0,721.01,721.01,280.0
2007-07-19,755.0,790.0,725.06,753.0,190.0
2007-07-20,766.0,766.0,750.0,766.0,87.0
2007-07-23,759.0,759.0,740.0,758.89,328.0
2007-07-24,769.88,769.88,769.88,769.88,1.0
2007-07-25,730.0,750.0,730.0,750.0,12.0
2007-07-26,745.0,745.0,734.0,734.0,124.0
2007-07-27,700.0,744.99,700.0,744.99,40.0
2007-07-30,749.99,800.0,749.99,800.0,157.0
2007-07-31,737.0,800.0,737.0,800.0,4.0
2007-08-01,760.0,760.0,760.0,760.0,20.0
2007-08-07,755.0,755.0,755.0,755.0,1.0
2007-08-08,730.0,730.0,730.0,730.0,1.0
2007-08-09,736.0,736.0,736.0,736.0,1.0
2007-08-10,725.0,725.0,725.0,725.0,1.0
2007-08-13,710.0,710.0,633.0,660.0,1969.0
2007-08-14,655.01,663.6,650.0,663.6,1323.0
2007-08-15,658.0,659.0,658.0,659.0,80.0
2007-08-16,660.0,660.0,605.1,625.0,90.0
2007-08-17,636.0,636.0,635.0,636.0,92.0
2007-08-20,635.0,635.0,635.0,635.0,50.0
2007-08-21,650.0,650.0,645.0,648.2,100.0
2007-08-22,645.0,661.5,645.0,661.5,1003.0
2007-08-23,672.54,672.54,650.0,650.0,48.0
2007-08-24,640.0,680.0,640.0,680.0,309.0
2007-08-27,680.0,730.0,670.0,730.0,209.0
2007-08-28,725.0,725.0,719.0,719.0,106.0
2007-08-29,700.0,700.0,700.0,700.0,16.0
2007-08-30,620.0,720.0,620.0,710.0,11.0
2007-08-31,710.0,717.0,681.0,714.0,540.0
2007-09-03,709.0,709.0,709.0,709.0,6.0
2007-09-04,720.0,720.0,720.0,720.0,1.0
2007-09-05,715.0,720.0,715.0,720.0,3.0
2007-09-06,724.0,724.0,724.0,724.0,1.0
2007-09-07,715.0,725.0,715.0,725.0,5.0
2007-09-11,700.0,700.0,662.07,673.32,44.0
2007-09-12,699.0,706.64,660.01,706.64,412.0
2007-09-14,703.0,703.0,703.0,703.0,1.0
2007-09-17,660.0,660.0,660.0,660.0,3.0
2007-09-18,699.0,700.0,699.0,700.0,3.0
2007-09-19,685.0,690.0,685.0,690.0,19.0
2007-09-20,690.0,702.5,690.0,692.5,140224.0
2007-09-21,700.0,700.0,700.0,700.0,6.0
2007-09-24,696.5,700.0,696.5,700.0,7323.0
2007-09-25,667.04,679.99,630.0,679.99,59.0
2007-09-26,694.99,694.99,694.0,694.0,2.0
2007-09-27,680.99,680.99,680.99,680.99,1.0
2007-09-28,660.0,710.0,660.0,710.0,542.0
2007-10-01,705.0,705.0,699.5,700.0,334.0
2007-10-02,700.0,700.0,680.01,680.01,3.0
2007-10-03,690.0,709.9,680.0,699.98,74.0
2007-10-04,698.0,750.0,698.0,714.0,10290.0
2007-10-05,730.0,784.2,706.0,750.0,480.0
2007-10-08,775.0,775.0,730.02,745.01,431.0
2007-10-09,740.02,774.0,720.0,772.0,87.0
2007-10-10,760.0,998.0,750.0,851.24,2257.0
2007-10-11,855.0,897.0,770.0,770.0,2916.0
2007-10-12,800.0,829.0,750.0,750.0,1933.0
2007-10-15,760.0,775.0,709.01,716.79,2472.0
2007-10-16,716.79,720.01,708.0,712.52,79.0
2007-10-17,740.0,740.0,707.0,710.0,1191.0
2007-10-18,705.0,715.0,690.0,714.93,523.0
2007-10-19,727.95,775.0,712.18,720.0,171.0
2007-10-22,715.0,731.0,715.0,728.99,89.0
2007-10-23,715.0,737.99,711.0,728.06,249.0
2007-10-24,720.0,720.0,700.0,711.0,232.0
2007-10-25,711.0,733.0,710.0,711.0,5026.0
2007-10-26,719.0,726.0,701.0,716.98,2906.0
2007-10-29,705.0,713.0,695.0,701.0,2292.0
2007-10-30,702.0,702.0,683.0,699.9,2467.0
2007-10-31,706.99,706.99,693.2,699.97,98.0
2007-11-01,711.99,711.99,660.0,665.0,10796.0
2007-11-02,670.0,681.0,660.0,666.59,5931.0
2007-11-06,688.99,730.0,665.0,720.0,6073.0
2007-11-07,727.0,766.99,717.0,720.0,7587.0
2007-11-08,715.0,728.49,710.06,720.0,1223.0
2007-11-09,720.0,722.99,705.01,717.0,564.0
2007-11-12,721.16,721.16,705.11,712.9,215.0
2007-11-13,708.0,729.88,705.17,720.0,1223.0
2007-11-14,720.02,720.02,690.0,705.0,1969.0
2007-11-15,705.0,716.99,705.0,710.25,351.0
2007-11-16,692.02,717.5,692.02,717.5,206.0
