Date,Open,High,Low,Close,Volume
2006-05-12,270.0,1000.0,200.0,329.556,367000.0
2006-05-15,185.0,185.0,160.501,162.0,1695410.0
2006-05-16,159.0,163.0,147.999,156.2,2820890.0
2006-05-17,160.0,162.871,147.101,148.5,4056790.0
2006-05-18,143.0,153.0,140.3,153.0,1365100.0
2006-05-19,153.0,159.5,148.702,152.4,2175710.0
2006-05-22,153.0,155.0,132.5,138.5,1777130.0
2006-05-23,143.9,146.7,135.001,144.5,2073800.0
2006-05-24,145.0,145.0,128.0,140.055,2114740.0
2006-05-25,135.2,138.9,130.012,136.603,852000.0
2006-05-26,140.432,144.45,137.0,140.0,1920790.0
2006-05-29,140.0,142.99,138.1,140.107,469240.0
2006-05-30,139.999,141.449,138.6,140.001,697850.0
2006-05-31,139.0,139.5,133.5,135.25,1306790.0
2006-06-01,134.9,137.5,131.6,132.9,209480.0
2006-06-02,133.9,137.404,131.7,136.3,1779210.0
2006-06-05,138.998,139.1,134.0,136.999,3184650.0
2006-06-06,135.0,135.5,129.7,130.0,977000.0
2006-06-07,130.0,130.845,124.0,130.5,1794550.0
2006-06-08,124.5,124.9,118.0,120.0,739440.0
2006-06-09,120.5,122.885,119.2,121.199,186610.0
2006-06-13,116.051,116.1,100.3,106.0,954890.0
2006-06-14,100.5,107.7,99.0,106.7,1226020.0
2006-06-15,109.599,109.897,103.7,106.2,825370.0
2006-06-16,110.0,110.3,103.0,105.5,976510.0
2006-06-19,106.8,108.5,104.0,106.5,323020.0
2006-06-20,104.9,107.8,104.201,107.0,124250.0
2006-06-21,107.7,109.5,106.5,109.0,1110610.0
2006-06-22,111.0,113.395,106.603,106.603,790960.0
2006-06-23,105.6,108.999,105.501,108.0,147450.0
2006-06-26,108.7,109.9,105.3,106.0,126490.0
2006-06-27,106.613,107.0,104.603,105.6,539590.0
2006-06-28,105.0,105.996,103.5,105.781,201360.0
2006-06-29,105.99,108.9,105.013,108.2,332890.0
2006-06-30,110.5,124.0,110.01,119.5,2292680.0
2006-07-03,122.0,131.5,122.0,130.236,2172000.0
2006-07-04,132.0,135.4,129.2,135.0,1368370.0
2006-07-05,135.0,136.5,127.0,130.999,1037430.0
2006-07-06,130.1,134.995,129.0,134.995,434050.0
2006-07-07,134.999,138.8,132.001,136.9,1167560.0
2006-07-10,133.1,138.4,133.1,137.27,521750.0
2006-07-11,137.0,137.25,131.0,132.0,823130.0
2006-07-12,134.4,135.0,131.86,132.12,873740.0
2006-07-13,132.0,133.0,122.6,124.0,803990.0
2006-07-14,122.089,123.0,118.9,120.2,1267180.0
2006-07-17,120.25,122.0,116.0,116.05,588710.0
2006-07-18,116.101,117.998,114.9,117.4,509790.0
2006-07-19,117.401,118.2,113.65,116.5,938140.0
2006-07-20,118.001,122.0,117.55,117.55,734530.0
2006-07-21,116.8,117.498,115.002,115.5,418000.0
2006-07-24,115.2,116.698,114.801,115.7,582550.0
2006-07-25,116.47,117.3,114.695,114.695,562180.0
2006-07-26,114.7,115.998,114.511,115.28,448650.0
2006-07-27,116.398,120.48,115.407,120.479,1616800.0
2006-07-28,119.8,120.3,117.51,119.7,1037640.0
2006-07-31,120.5,123.7,119.2,120.6,1293250.0
2006-08-01,120.377,123.5,119.402,122.999,1670200.0
2006-08-02,125.0,129.1,124.103,129.1,1023350.0
2006-08-03,128.601,130.777,126.101,130.001,2178600.0
2006-08-04,130.0,131.9,128.2,130.7,796450.0
2006-08-07,130.9,131.246,129.0,130.4,341380.0
2006-08-08,130.5,131.1,127.0,127.8,825860.0
2006-08-09,127.002,128.999,127.0,127.8,1193040.0
2006-08-10,127.409,129.5,125.62,126.698,519150.0
2006-08-11,126.699,128.8,126.65,128.8,805590.0
2006-08-14,128.2,129.63,126.5,126.6,517210.0
2006-08-15,126.7,127.888,122.222,123.3,973080.0
2006-08-16,123.9,125.07,122.85,123.28,1625280.0
2006-08-17,123.403,123.501,121.002,122.0,598240.0
2006-08-18,121.545,122.0,115.5,116.0,714600.0
2006-08-21,116.95,118.9,115.5,115.7,944810.0
2006-08-22,116.998,121.75,115.821,120.402,1696190.0
2006-08-23,120.202,123.878,118.5,123.499,1682440.0
2006-08-24,121.201,123.2,119.5,120.289,764810.0
2006-08-25,120.499,120.898,119.501,120.2,409030.0
2006-08-28,120.0,121.374,119.601,119.86,235600.0
2006-08-29,120.0,122.8,119.2,119.5,952090.0
2006-08-30,119.5,120.001,118.11,118.315,721970.0
2006-08-31,119.497,119.8,115.4,116.1,1369790.0
2006-09-01,116.699,118.207,115.0,115.59,884620.0
2006-09-04,116.5,116.897,115.503,116.198,275700.0
2006-09-05,116.001,118.3,115.665,117.6,1231460.0
2006-09-06,118.0,119.299,116.0,116.944,798350.0
2006-09-07,115.62,116.4,114.009,115.499,747960.0
2006-09-08,114.354,115.777,112.4,113.4,1139840.0
2006-09-11,112.134,112.5,108.0,108.499,1147240.0
2006-09-12,108.89,109.599,107.2,108.7,711730.0
2006-09-13,108.1,109.537,107.2,108.763,813320.0
2006-09-14,109.5,110.9,108.52,108.8,2367320.0
2006-09-15,108.5,117.8,107.412,116.4,7227940.0
2006-09-18,118.2,124.9,118.2,120.999,4258310.0
2006-09-19,122.0,122.2,120.001,120.4,1224350.0
2006-09-20,118.6,119.96,116.7,119.5,972670.0
2006-09-21,119.889,120.0,114.8,117.098,1319480.0
2006-09-22,117.098,118.4,114.0,115.4,1146520.0
2006-09-25,114.999,115.0,111.5,112.499,1035520.0
2006-09-26,114.5,114.949,113.0,113.885,1056650.0
2006-09-27,114.8,117.9,114.0,117.15,1779410.0
2006-09-28,119.5,119.999,116.222,117.7,1266310.0
2006-09-29,117.9,117.98,116.315,116.9,818140.0
2006-10-02,116.9,119.198,115.501,117.797,1504790.0
2006-10-03,117.059,117.5,114.692,115.7,459290.0
2006-10-04,120.2,123.3,118.1,120.2,5073430.0
2006-10-05,121.6,122.459,118.3,119.18,2327930.0
2006-10-06,120.0,120.0,117.8,118.7,551770.0
2006-10-09,119.02,119.502,118.0,118.4,865960.0
2006-10-10,118.5,121.5,118.215,119.6,1862090.0
2006-10-11,119.6,119.6,117.2,117.988,1299080.0
2006-10-12,117.999,118.68,116.3,118.1,963340.0
2006-10-13,118.486,121.3,118.486,120.0,1852500.0
2006-10-16,121.0,122.0,120.0,120.8,1129460.0
2006-10-17,121.5,122.5,119.409,120.035,1295980.0
2006-10-18,119.707,123.0,119.5,122.302,1702760.0
2006-10-19,122.0,126.89,121.8,126.2,2833860.0
