Date,Open,High,Low,Close,Volume
2021-12-17,770.0,1238.2,700.0,994.8,461323.0
2021-12-20,999.8,1043.0,960.0,980.0,165692.0
2021-12-21,999.4,1000.0,920.0,922.4,65519.0
2021-12-22,943.8,945.0,828.0,915.0,168883.0
2021-12-23,920.0,944.0,870.2,904.0,26767.0
2021-12-24,910.6,928.8,884.0,896.2,18219.0
2021-12-27,917.4,917.6,870.0,875.8,29870.0
2021-12-28,887.2,898.0,872.0,876.0,19881.0
2021-12-29,876.0,889.6,851.0,859.4,17152.0
2021-12-30,865.0,868.8,835.2,840.0,30692.0
2022-01-03,860.0,868.8,845.0,849.4,20979.0
2022-01-04,859.0,859.4,837.2,844.0,24928.0
2022-01-05,848.2,848.2,835.2,838.0,11905.0
2022-01-06,840.0,844.6,820.0,830.0,14238.0
2022-01-10,847.0,847.0,772.0,784.0,84499.0
2022-01-11,783.0,795.0,770.0,779.6,31179.0
2022-01-12,784.8,803.0,769.6,800.0,38667.0
2022-01-13,809.0,809.0,775.0,775.4,21204.0
2022-01-14,800.0,810.6,770.0,788.8,22569.0
2022-01-17,804.6,809.8,770.0,781.8,14199.0
2022-01-18,799.6,799.6,730.0,743.0,19149.0
2022-01-19,740.0,777.0,735.4,754.8,13727.0
2022-01-20,762.4,779.8,745.0,757.0,8355.0
2022-01-21,749.0,750.0,730.0,731.4,8252.0
2022-01-24,743.0,765.6,605.0,643.0,71631.0
2022-01-25,661.0,686.4,603.8,616.0,36914.0
2022-01-26,624.8,635.0,611.0,618.0,28435.0
2022-01-27,618.4,760.0,618.0,700.0,46416.0
2022-01-28,735.0,800.0,699.0,728.0,51077.0
2022-01-31,735.4,770.0,704.0,714.0,15898.0
2022-02-01,723.0,740.0,690.0,700.2,17394.0
2022-02-02,718.8,718.8,666.0,684.6,10306.0
2022-02-03,686.0,691.8,640.8,667.8,19681.0
2022-02-04,685.0,696.0,667.8,684.6,8859.0
2022-02-07,698.8,705.4,680.0,688.2,5209.0
2022-02-08,680.2,698.8,660.0,698.8,6291.0
2022-02-09,707.8,729.6,692.4,706.0,10966.0
2022-02-10,711.6,711.8,690.0,700.0,4481.0
2022-02-11,704.6,709.0,680.0,689.8,5042.0
2022-02-14,698.0,705.8,655.2,685.6,8228.0
2022-02-15,680.2,711.0,680.2,700.0,5894.0
2022-02-16,711.0,712.4,698.2,709.8,9118.0
2022-02-17,673.0,704.8,673.0,688.8,12090.0
2022-02-18,674.8,720.0,657.0,680.0,6544.0
2022-02-21,690.0,718.0,605.0,619.2,22384.0
2022-02-22,610.0,630.0,550.0,620.0,24569.0
2022-02-24,587.8,599.0,405.0,477.4,24854.0
2022-02-25,481.0,599.8,481.0,560.4,19116.0
2022-03-28,666.0,783.6,620.2,783.6,134302.0
2022-03-29,890.0,1095.8,863.0,1095.8,326635.0
2022-03-30,1125.0,1200.0,840.0,970.6,228690.0
2022-03-31,1059.8,1059.8,940.0,996.0,121239.0
2022-04-01,999.0,1032.8,980.0,1002.2,64250.0
2022-04-04,1060.0,1175.0,1012.2,1175.0,299411.0
2022-04-05,1199.2,1350.0,1062.2,1187.0,1275562.0
2022-04-06,1250.0,1250.0,1068.4,1104.0,401525.0
2022-04-07,1103.0,1103.0,1001.4,1063.2,269502.0
2022-04-08,1082.0,1096.0,1031.0,1056.6,81082.0
2022-04-11,1059.4,1074.8,1010.0,1025.0,91432.0
2022-04-12,1035.0,1044.0,925.0,955.0,164434.0
2022-04-13,950.0,1037.6,919.0,995.0,294781.0
2022-04-14,990.0,1020.0,932.8,958.0,63602.0
2022-04-15,958.0,969.0,935.0,944.0,52781.0
2022-04-18,950.2,988.0,944.6,947.4,40665.0
2022-04-19,948.0,958.8,900.0,925.2,55607.0
2022-04-20,940.0,940.8,892.2,910.0,73496.0
2022-04-21,910.2,917.0,851.8,858.4,71379.0
2022-04-22,864.8,925.0,821.2,898.8,103398.0
2022-04-25,916.8,918.8,845.0,860.0,48979.0
2022-04-26,870.0,894.0,824.0,881.8,42216.0
2022-04-27,897.0,925.0,882.2,917.0,61020.0
2022-04-28,920.6,980.0,905.0,912.6,82064.0
2022-04-29,939.8,940.0,900.0,917.0,32003.0
2022-05-04,969.8,969.8,911.2,926.0,73524.0
2022-05-05,920.0,955.0,905.0,935.8,44902.0
2022-05-06,944.8,944.8,913.4,926.0,27299.0
2022-05-11,933.0,958.8,930.0,950.0,40311.0
2022-05-12,963.0,1010.0,947.2,965.6,118374.0
2022-05-13,967.0,972.4,910.4,949.0,66573.0
2022-05-16,978.0,978.0,942.8,960.0,41177.0
2022-05-17,961.0,968.8,955.0,963.6,26419.0
2022-05-18,963.6,970.0,921.2,955.0,51872.0
2022-05-19,951.0,955.0,932.8,951.0,22863.0
2022-05-20,955.0,955.0,915.0,920.0,53880.0
2022-05-23,930.0,939.6,886.0,912.2,44940.0
2022-05-24,915.8,922.6,896.0,908.0,19452.0
2022-05-25,908.4,917.8,886.2,913.0,21082.0
2022-05-26,912.8,915.0,892.4,904.0,27578.0
2022-05-27,905.2,911.8,895.0,905.6,20283.0
2022-05-30,913.0,927.0,900.0,900.6,19257.0
2022-05-31,906.0,907.6,871.8,888.0,20841.0
2022-06-01,888.0,909.8,880.0,890.4,22238.0
2022-06-02,894.8,894.8,880.0,882.2,14867.0
2022-06-03,879.0,937.0,866.0,879.8,140112.0
2022-06-06,880.0,907.0,853.6,860.0,101999.0
2022-06-07,869.2,888.0,843.6,850.0,67193.0
2022-06-08,854.0,881.0,851.2,861.8,40509.0
2022-06-09,870.8,881.0,854.2,859.0,39273.0
2022-06-10,874.4,874.4,841.4,847.0,23286.0
2022-06-14,857.0,859.4,839.4,848.6,16073.0
2022-06-15,851.8,875.0,841.0,849.6,27787.0
2022-06-16,850.0,852.0,842.8,846.0,25740.0
2022-06-17,849.0,854.6,837.0,844.4,39699.0
2022-06-20,844.6,860.0,841.4,855.0,27830.0
2022-06-21,860.8,888.2,860.0,876.0,44963.0
2022-06-22,879.6,897.8,864.4,871.4,37057.0
2022-06-23,877.8,919.6,870.8,894.8,38282.0
2022-06-24,900.0,938.0,895.6,914.0,43440.0
2022-06-27,916.2,928.6,872.2,891.6,41041.0
2022-06-28,894.4,908.6,885.0,899.2,30227.0
2022-06-29,905.0,905.0,874.0,883.0,21296.0
