Date,Open,High,Low,Close,Volume
2021-10-21,125.0,149.56,116.15,118.0,4852100.0
2021-10-22,118.49,118.8,111.9,115.0,2980420.0
2021-10-25,114.99,118.03,112.04,116.0,1775950.0
2021-10-26,117.55,117.55,111.81,113.0,1787490.0
2021-10-27,114.85,114.85,108.8,112.96,1206100.0
2021-10-28,110.6,112.7,109.15,110.0,842130.0
2021-10-29,110.8,117.0,109.0,112.0,812270.0
2021-11-01,111.95,116.42,110.0,114.0,418810.0
2021-11-02,113.98,117.48,112.05,112.5,861520.0
2021-11-03,112.9,115.0,111.5,113.0,349540.0
2021-11-05,113.68,116.88,111.6,115.0,882120.0
2021-11-08,115.0,116.4,113.1,113.15,628310.0
2021-11-09,113.04,115.0,111.8,112.0,869720.0
2021-11-10,112.97,113.44,109.01,113.0,1199120.0
2021-11-11,112.01,115.0,111.54,115.0,529330.0
2021-11-12,114.61,115.99,110.55,115.0,912870.0
2021-11-15,115.16,116.0,112.33,116.0,963890.0
2021-11-16,116.65,116.65,113.65,116.0,876760.0
2021-11-17,114.02,116.0,113.43,116.0,1259900.0
2021-11-18,116.2,116.2,113.8,114.17,680000.0
2021-11-19,114.48,119.0,113.4,119.0,4463690.0
2021-11-22,119.5,120.64,112.07,113.51,545390.0
2021-11-23,113.6,114.74,111.69,114.32,606550.0
2021-11-24,114.32,116.82,111.5,111.5,217320.0
2021-11-25,111.5,114.43,111.5,113.35,341130.0
2021-11-26,112.95,115.76,101.7,106.2,1167940.0
2021-11-29,107.01,111.99,106.02,109.96,571080.0
2021-11-30,109.85,115.0,106.01,112.12,1333160.0
2021-12-01,114.34,116.55,112.03,113.0,555590.0
2021-12-02,114.56,115.4,112.02,112.02,222660.0
2021-12-03,112.63,118.94,112.63,113.11,336080.0
2021-12-06,114.2,115.55,111.12,112.01,181560.0
2021-12-07,112.48,114.88,111.0,114.2,189990.0
2021-12-08,113.8,113.97,110.5,110.5,100510.0
2021-12-09,111.11,112.4,110.04,111.3,196150.0
2021-12-10,112.0,112.0,110.11,112.0,141900.0
2021-12-13,111.95,111.95,106.21,107.01,144000.0
2021-12-14,104.8,110.4,102.0,109.59,548760.0
2021-12-15,109.6,111.0,106.0,106.1,195930.0
2021-12-16,108.3,108.3,105.31,105.8,307800.0
2021-12-17,104.65,108.04,103.8,103.86,352610.0
2021-12-20,104.25,106.75,100.04,101.97,273860.0
2021-12-21,102.78,103.44,98.62,101.47,343060.0
2021-12-22,100.98,106.07,98.8,101.9,390300.0
2021-12-23,100.4,102.91,95.8,98.03,225490.0
2021-12-24,99.91,99.91,96.9,98.0,468210.0
2021-12-27,97.99,100.0,96.22,98.26,439790.0
2021-12-28,96.95,98.49,96.25,96.25,438520.0
2021-12-29,97.36,98.2,95.05,96.92,176040.0
2021-12-30,96.65,101.01,96.15,101.0,504030.0
2022-01-03,102.2,102.21,98.81,98.81,85610.0
2022-01-04,98.91,100.51,97.6,98.0,111800.0
2022-01-05,96.9,99.5,96.9,96.95,66740.0
2022-01-06,94.21,97.22,94.03,94.03,109960.0
2022-01-10,93.5,95.39,92.54,93.01,145190.0
2022-01-11,93.4,94.21,90.18,94.0,169590.0
2022-01-12,93.5,95.49,93.0,93.0,559870.0
2022-01-13,92.6,94.8,90.54,91.2,168640.0
2022-01-14,91.27,94.5,87.0,89.22,232580.0
2022-01-17,94.0,94.0,81.9,82.75,980960.0
2022-01-18,81.5,83.4,72.08,76.0,815200.0
2022-01-19,72.83,78.45,71.2,73.53,966110.0
2022-01-20,75.11,75.87,73.52,75.02,1006790.0
2022-01-21,72.19,74.98,70.5,70.5,639770.0
2022-01-24,74.48,74.48,62.34,66.03,589310.0
2022-01-25,66.06,69.4,62.93,65.38,334330.0
2022-01-26,67.91,71.0,63.4,65.23,680770.0
2022-01-27,66.52,67.95,63.55,67.95,339470.0
2022-01-28,68.86,68.86,64.05,66.0,241110.0
2022-01-31,68.1,73.2,68.0,69.5,593800.0
2022-02-01,71.26,73.8,67.0,67.56,462050.0
2022-02-02,68.2,70.96,67.11,67.68,574810.0
2022-02-03,69.6,69.68,67.0,67.44,166770.0
2022-02-04,67.5,68.5,66.58,67.23,191850.0
2022-02-07,68.18,69.95,66.85,68.34,64550.0
2022-02-08,68.65,69.41,67.0,67.62,302140.0
2022-02-09,67.92,70.62,67.1,70.62,552930.0
2022-02-10,70.88,71.0,67.18,68.0,257160.0
2022-02-11,67.98,67.99,65.66,65.91,157580.0
2022-02-14,66.0,66.91,63.04,64.0,277880.0
2022-02-15,64.64,64.75,61.43,62.55,1183030.0
2022-02-16,62.99,64.55,61.95,62.2,196510.0
2022-02-17,62.7,63.15,59.13,60.19,385400.0
2022-02-18,60.5,62.2,58.12,60.0,186150.0
2022-02-21,60.06,62.87,49.07,50.0,628190.0
2022-02-22,50.01,52.0,40.1,50.01,586080.0
2022-02-24,45.51,45.51,25.0,42.03,551640.0
2022-02-25,40.0,49.94,35.99,43.81,95060.0
2022-03-28,43.0,43.0,34.0,36.74,201050.0
2022-03-29,36.84,43.8,36.0,37.31,230090.0
2022-03-30,38.81,48.0,37.32,43.13,198010.0
2022-03-31,46.31,65.9,46.06,54.37,1991830.0
2022-04-01,57.03,57.48,49.0,52.36,448010.0
2022-04-04,52.29,55.6,47.1,50.74,266210.0
2022-04-05,50.34,52.0,48.0,48.98,126480.0
2022-04-06,48.2,48.97,44.08,46.62,76640.0
2022-04-07,46.11,47.01,44.83,45.72,108560.0
2022-04-08,47.0,47.2,43.13,45.23,128660.0
2022-04-11,46.0,53.0,44.26,45.2,318890.0
2022-04-12,47.19,47.19,42.02,44.71,74100.0
2022-04-13,44.72,47.26,42.21,44.01,200950.0
2022-04-14,44.02,45.97,43.01,43.07,90510.0
2022-04-15,43.08,43.87,41.69,42.46,94460.0
2022-04-18,42.5,42.52,41.04,41.06,78220.0
2022-04-19,41.08,42.18,40.09,40.77,60910.0
2022-04-20,40.51,42.98,40.09,41.0,51130.0
2022-04-21,40.95,46.0,40.5,40.51,232510.0
2022-04-22,40.51,42.57,40.0,40.33,66940.0
2022-04-25,40.12,41.51,39.5,39.6,89880.0
2022-04-26,39.52,41.78,39.0,40.26,127450.0
2022-04-27,40.6,41.8,40.1,40.99,79050.0
2022-04-28,40.51,45.74,40.51,41.0,204740.0
2022-04-29,40.94,41.92,40.62,41.48,27890.0
2022-05-04,42.77,42.77,39.8,39.82,91860.0
2022-05-05,39.6,40.48,39.5,40.39,69980.0
2022-05-06,40.97,42.25,39.66,40.34,262790.0
2022-05-11,39.81,41.58,39.66,40.03,63150.0
2022-05-12,40.02,40.3,38.4,39.18,55110.0
2022-05-13,39.56,41.68,37.01,41.18,184160.0
2022-05-16,41.2,41.77,40.11,40.66,157270.0
2022-05-17,40.82,41.08,40.01,40.5,42490.0
2022-05-18,40.5,41.32,40.25,40.34,84440.0
2022-05-19,40.12,40.99,40.12,40.72,47440.0
2022-05-20,40.62,40.65,38.8,39.0,211160.0
2022-05-23,39.81,40.26,38.01,38.2,152890.0
2022-05-24,38.75,40.3,37.73,40.3,171570.0
2022-05-25,38.39,40.0,38.39,39.13,54700.0
2022-05-26,39.21,39.87,39.05,39.26,47070.0
2022-05-27,39.27,39.84,38.7,38.93,62300.0
2022-05-30,39.06,39.47,38.4,38.9,17770.0
2022-05-31,38.47,38.75,38.02,38.27,36540.0
2022-06-01,38.02,39.39,37.84,39.11,65050.0
2022-06-02,39.1,41.09,38.51,40.01,124410.0
2022-06-03,40.01,41.55,38.66,41.55,145610.0
2022-06-06,40.51,43.59,39.91,43.59,154160.0
2022-06-07,44.57,44.57,41.65,43.97,208900.0
2022-06-08,42.65,45.2,42.25,45.08,164510.0
2022-06-09,45.02,46.2,42.48,44.08,96920.0
2022-06-10,43.41,44.08,40.07,44.07,124060.0
2022-06-14,44.0,44.59,42.2,44.1,98620.0
2022-06-15,42.75,44.15,42.75,43.98,51530.0
2022-06-16,43.99,44.5,43.57,43.81,34320.0
2022-06-17,43.81,44.4,43.08,43.81,62930.0
2022-06-20,43.16,45.48,43.13,44.15,42740.0
2022-06-21,44.02,44.92,43.04,43.91,39560.0
2022-06-22,43.5,44.39,42.2,44.08,241460.0
2022-06-23,44.1,46.0,43.27,45.0,216790.0
2022-06-24,44.24,45.0,44.24,44.6,35860.0
2022-06-27,45.57,45.58,43.21,44.7,84370.0
2022-06-28,44.71,45.45,43.9,44.2,62850.0
2022-06-29,44.41,44.44,42.42,44.37,77140.0
2022-06-30,43.82,44.85,41.2,44.0,124910.0
2022-07-01,42.78,44.51,42.09,44.5,98530.0
2022-07-04,42.59,44.75,42.5,43.95,166300.0
2022-07-05,43.27,44.18,41.15,43.9,720840.0
2022-07-06,43.51,45.96,43.37,45.87,63650.0
2022-07-07,44.27,47.63,44.27,47.44,147790.0
2022-07-08,47.63,47.63,45.81,47.25,68510.0
2022-07-11,46.91,47.61,46.3,47.49,58710.0
2022-07-12,46.32,46.87,44.59,45.58,60150.0
2022-07-13,45.5,46.54,44.05,45.6,138310.0
2022-07-14,45.0,45.4,43.5,44.45,186280.0
2022-07-15,43.56,44.91,43.56,44.9,39050.0
2022-07-18,44.6,44.6,43.86,44.24,42340.0
2022-07-19,44.0,45.59,43.5,44.78,125670.0
2022-07-20,44.13,44.9,43.89,44.9,61730.0
2022-07-21,44.9,45.13,43.71,44.27,53420.0
2022-07-22,44.01,44.4,43.51,44.35,93220.0
2022-07-25,44.59,44.86,44.01,44.86,37590.0
2022-07-26,44.82,45.0,44.08,44.4,54120.0
2022-07-27,44.48,45.97,44.06,45.9,75820.0
2022-07-28,46.0,47.46,44.55,46.5,89620.0
2022-07-29,45.12,46.49,44.75,46.27,29080.0
2022-08-01,46.27,46.48,44.8,45.2,35850.0
2022-08-02,45.93,45.93,43.97,44.95,53010.0
2022-08-03,44.0,45.48,43.93,45.19,25780.0
2022-08-04,43.92,45.72,43.92,45.09,33440.0
2022-08-05,45.09,45.18,44.07,45.1,52440.0
2022-08-08,45.05,45.58,44.15,44.9,52000.0
2022-08-09,44.9,44.97,44.39,44.95,26380.0
2022-08-10,44.52,45.6,44.52,45.14,23340.0
2022-08-11,45.51,45.9,44.84,45.89,57510.0
2022-08-12,45.61,45.7,45.0,45.68,38220.0
2022-08-15,45.82,46.0,44.44,45.71,52140.0
2022-08-16,45.71,49.8,44.5,47.86,358340.0
2022-08-17,48.99,52.1,47.37,52.1,207730.0
2022-08-18,52.1,62.45,49.54,60.7,1292890.0
2022-08-19,60.91,61.97,53.0,55.0,901020.0
2022-08-22,55.2,59.7,55.03,58.52,790830.0
2022-08-23,58.11,60.67,53.06,57.0,571070.0
2022-08-24,58.0,58.58,55.0,55.86,219060.0
2022-08-25,55.15,56.9,54.73,54.92,260670.0
2022-08-26,55.21,58.5,55.2,58.0,585240.0
2022-08-29,57.21,60.0,56.32,60.0,348490.0
2022-08-30,60.34,61.85,58.05,60.5,358640.0
2022-08-31,58.07,61.0,58.07,60.0,213900.0
2022-09-01,60.39,61.0,58.68,61.0,195970.0
2022-09-02,61.31,61.82,59.52,61.0,182380.0
2022-09-05,60.01,60.99,58.2,60.9,239820.0
2022-09-06,60.8,60.8,57.07,59.85,281490.0
2022-09-07,59.31,59.82,55.75,58.0,476340.0
2022-09-08,56.51,58.0,54.3,55.88,570070.0
2022-09-09,55.11,57.24,54.5,57.0,591760.0
2022-09-12,56.96,60.0,54.8,60.0,1219370.0
2022-09-13,59.78,60.0,55.99,58.0,1026170.0
2022-09-14,57.95,60.0,56.56,60.0,501890.0
2022-09-15,59.82,60.4,58.7,60.4,281140.0
2022-09-16,60.02,60.02,59.35,59.81,95730.0
2022-09-19,59.42,59.98,58.5,59.0,120330.0
2022-09-20,58.81,59.49,52.25,54.4,246140.0
2022-09-21,50.01,52.3,46.0,51.4,203460.0
2022-09-22,51.4,53.52,50.0,52.71,86450.0
2022-09-23,52.27,52.96,46.64,46.85,140770.0
2022-09-26,46.0,46.7,40.5,46.0,179080.0
2022-09-27,44.12,47.0,42.9,43.67,138480.0
2022-09-28,43.67,46.51,42.93,46.0,70920.0
2022-09-29,46.5,46.99,41.95,45.75,121930.0
2022-09-30,45.71,47.43,42.6,45.5,115510.0
2022-10-03,44.47,50.0,44.21,47.96,203880.0
2022-10-04,47.95,49.4,46.28,48.51,146950.0
2022-10-05,48.99,48.99,45.9,47.2,164190.0
2022-10-06,46.2,47.78,46.2,47.0,34100.0
2022-10-07,47.19,47.19,44.9,46.0,38920.0
2022-10-10,41.53,46.49,41.46,46.0,102360.0
2022-10-11,45.68,46.69,45.68,46.5,31230.0
2022-10-12,46.83,48.77,46.23,47.87,67660.0
2022-10-13,47.82,49.59,47.55,47.88,26360.0
2022-10-14,47.84,48.09,47.0,47.45,35010.0
2022-10-17,46.64,48.0,46.64,47.6,34520.0
2022-10-18,48.0,48.53,46.73,47.55,58640.0
