Date,Open,High,Low,Close,Volume
2000-01-05,55.0,75.0,55.0,73.99,234.0
2000-01-06,73.0,75.0,72.0,74.0,161.0
2000-01-10,72.0,73.99,61.0,72.0,740.0
2000-01-11,66.2,71.95,64.0,70.7,1397.0
2000-01-12,66.05,74.0,65.5,74.0,2003.0
2000-01-13,74.0,78.4,72.62,77.6,818.0
2000-01-14,76.0,82.8,76.0,79.0,1279.0
2000-01-17,82.0,82.5,72.0,75.0,707.0
2000-01-18,73.0,78.1,73.0,74.65,391.0
2000-01-19,70.0,70.01,68.0,68.5,523.0
2000-01-20,75.0,75.0,70.5,73.5,412.0
2000-01-21,75.0,75.5,72.6,72.6,690.0
2000-01-24,75.5,75.98,68.01,68.01,342.0
2000-01-25,68.3,68.95,64.01,65.8,164.0
2000-01-26,68.0,68.0,66.9,67.01,501.0
2000-01-27,69.5,69.5,67.0,68.0,380.0
2000-01-28,69.9,69.9,64.5,64.5,441.0
2000-01-31,60.35,61.5,58.5,60.7,2173.0
2000-02-01,62.0,63.5,61.51,61.51,3702.0
2000-02-02,61.51,62.0,58.15,58.15,849.0
2000-02-03,61.0,62.8,60.0,62.5,1389.0
2000-02-04,63.0,63.5,62.01,63.5,954.0
2000-02-07,64.0,64.5,62.0,62.3,843.0
2000-02-08,63.1,65.14,62.0,65.0,2366.0
2000-02-09,67.0,69.0,67.0,67.3,1769.0
2000-02-10,65.0,66.5,64.0,64.95,2698.0
2000-02-11,66.99,66.99,63.0,63.75,3805.0
2000-02-14,69.0,69.0,64.11,64.11,1110.0
2000-02-15,62.21,62.9,60.25,61.0,11237.0
2000-02-16,61.2,63.75,61.2,63.75,5025.0
2000-02-17,63.1,66.55,63.1,66.2,1237.0
2000-02-18,66.95,69.0,65.5,68.21,1653.0
2000-02-21,66.0,67.6,65.2,67.55,718.0
2000-02-22,68.2,72.65,68.2,72.05,2438.0
2000-02-23,73.5,81.0,73.0,78.01,3308.0
2000-02-24,80.9,86.0,79.7,83.5,2430.0
2000-02-25,82.95,83.0,80.26,81.2,1920.0
2000-02-28,81.0,81.0,77.01,77.11,1534.0
2000-02-29,78.0,80.0,77.5,80.0,1108.0
2000-03-01,83.0,84.75,82.5,83.53,1602.0
2000-03-02,84.72,84.72,81.65,83.2,855.0
2000-03-03,82.0,85.35,82.0,85.0,1358.0
2000-03-06,87.2,87.5,84.2,85.5,1315.0
2000-03-07,84.4,94.99,84.4,93.31,2131.0
2000-03-09,99.0,114.0,98.4,105.1,6964.0
2000-03-10,108.5,116.5,106.0,113.15,4811.0
2000-03-13,108.0,115.0,100.0,104.99,5254.0
2000-03-14,108.0,109.0,104.0,106.9,2997.0
2000-03-15,106.0,110.2,105.0,108.01,1727.0
2000-03-16,109.9,109.9,104.0,104.0,2172.0
2000-03-17,107.5,110.0,103.0,103.15,3202.0
