Date,Open,High,Low,Close,Volume
2015-03-30,37.0,37.34,37.0,37.34,539200.0
2015-03-31,36.85,37.0,36.35,36.79,484000.0
2015-04-01,36.0,36.45,35.805,35.825,319000.0
2015-04-02,36.005,36.56,35.8,36.45,233600.0
2015-04-03,36.0,36.72,35.95,36.72,265200.0
2015-04-06,36.4,36.81,36.1,36.8,408400.0
2015-04-07,36.29,36.66,35.9,36.66,443200.0
2015-04-08,36.7,37.49,36.7,37.49,437300.0
2015-04-09,36.9,36.9,35.39,36.55,490700.0
2015-04-10,35.9,36.2,34.0,35.38,559000.0
2015-04-13,34.5,34.79,34.25,34.79,470600.0
2015-04-14,33.0,34.49,33.0,34.49,509500.0
2015-04-15,33.15,34.7,33.1,34.7,458400.0
2015-04-16,33.1,34.6,33.1,34.6,452800.0
2015-04-17,33.6,34.66,33.4,34.54,379200.0
2015-04-20,34.0,34.0,31.0,32.845,653100.0
2015-04-21,31.2,32.5,30.8,31.98,681000.0
2015-04-22,31.5,32.195,31.5,31.99,394200.0
2015-04-23,31.205,31.205,30.41,31.0,470500.0
2015-04-24,31.985,31.985,29.8,30.2,859500.0
2015-04-27,30.795,30.8,30.15,30.325,679300.0
2015-04-28,30.75,31.9,30.7,31.77,448900.0
2015-04-29,31.595,31.8,31.13,31.13,384700.0
2015-04-30,31.1,31.41,31.005,31.41,466700.0
2015-05-05,31.0,31.94,30.41,31.21,930900.0
2015-05-06,31.68,31.69,31.0,31.3,297600.0
2015-05-07,31.2,31.2,30.52,30.72,365900.0
2015-05-08,30.51,31.59,30.5,31.59,412200.0
2015-05-12,30.8,31.0,30.7,31.0,375300.0
2015-05-13,31.99,32.94,30.73,30.8,657100.0
2015-05-14,31.0,31.3,30.8,31.3,789500.0
2015-05-15,30.93,31.5,30.9,31.03,505400.0
2015-05-18,30.82,30.85,30.55,30.74,345700.0
2015-05-19,30.78,30.78,30.07,30.4,483700.0
2015-05-20,29.73,30.15,29.23,29.7,760600.0
2015-05-21,29.8,29.9,29.2,29.4,878300.0
2015-05-22,29.35,29.36,28.8,28.9,370600.0
2015-05-25,29.13,29.13,28.75,29.0,362100.0
2015-05-26,29.1,29.2,29.05,29.05,367600.0
2015-05-27,28.82,29.19,28.5,29.0,367800.0
2015-05-28,28.95,29.54,28.91,29.38,398300.0
2015-05-29,28.87,29.55,28.78,28.78,367900.0
2015-06-01,28.64,29.0,28.55,28.75,381700.0
2015-06-02,28.75,29.1,28.75,29.0,371500.0
2015-06-03,29.06,29.08,28.6,28.8,388300.0
2015-06-04,28.99,29.35,28.99,29.2,377700.0
2015-06-05,29.3,29.6,29.23,29.26,352300.0
2015-06-08,29.8,30.5,29.6,30.38,545900.0
2015-06-09,29.7,30.35,29.7,30.3,458200.0
2015-06-10,30.1,30.3,29.99,30.0,370200.0
2015-06-11,29.55,29.86,29.55,29.86,849000.0
2015-06-15,29.51,29.55,29.5,29.55,356500.0
2015-06-16,29.57,29.57,29.35,29.47,359300.0
2015-06-17,29.2,29.3,29.01,29.21,367400.0
2015-06-18,29.35,29.36,29.22,29.31,353400.0
2015-06-19,30.09,30.15,29.86,29.99,426800.0
2015-06-22,29.89,30.01,29.89,30.0,364700.0
2015-06-23,29.69,29.87,29.5,29.87,342400.0
2015-06-24,29.5,29.85,29.35,29.85,350300.0
2015-06-25,29.07,29.32,29.0,29.25,353600.0
2015-06-26,29.03,29.22,29.0,29.22,348600.0
2015-06-29,28.45,28.7,28.45,28.67,350700.0
2015-06-30,28.67,28.73,28.67,28.73,350300.0
2015-07-01,28.64,28.78,28.55,28.55,350000.0
2015-07-02,27.51,28.01,26.73,27.18,1070200.0
2015-07-03,26.8,27.45,26.8,27.3,382100.0
2015-07-06,27.02,27.02,26.0,26.49,539700.0
2015-07-07,25.79,26.5,25.3,25.5,788000.0
2015-07-08,24.98,24.98,23.55,24.2,1040400.0
2015-07-09,24.61,24.61,23.5,24.44,1182900.0
2015-07-10,24.76,25.6,24.75,25.42,735700.0
2015-07-13,25.5,25.99,25.5,25.98,700200.0
2015-07-14,26.75,27.75,26.44,27.75,807600.0
2015-07-15,28.3,29.35,28.3,29.2,1466700.0
2015-07-16,29.0,29.1,28.5,28.79,808100.0
2015-07-17,28.98,28.98,28.45,28.5,400100.0
2015-07-20,28.41,28.5,28.2,28.44,391300.0
2015-07-21,28.96,29.2,28.78,28.78,528900.0
2015-07-22,29.6,29.6,28.71,29.0,510800.0
2015-07-23,28.71,28.77,28.6,28.75,356500.0
2015-07-24,28.85,29.6,28.85,29.3,547500.0
2015-07-27,28.05,28.25,27.75,28.0,784000.0
2015-07-28,28.0,28.4,28.0,28.39,383900.0
2015-07-29,28.5,28.75,28.29,28.47,375100.0
2015-07-30,28.47,28.47,28.02,28.15,356200.0
2015-07-31,28.15,28.5,28.15,28.5,360100.0
2015-08-03,28.7,28.94,28.6,28.88,372600.0
2015-08-04,30.0,30.0,29.0,29.26,396100.0
2015-08-05,29.27,29.51,28.58,29.45,350800.0
2015-08-06,29.05,29.44,29.05,29.44,350800.0
2015-08-07,29.41,30.1,29.4,30.09,348000.0
2015-08-10,30.25,30.27,29.9,30.19,386100.0
2015-08-11,30.49,30.99,29.85,29.95,442500.0
2015-08-12,30.42,30.49,29.21,29.8,627100.0
2015-08-13,29.64,29.64,29.0,29.3,419500.0
2015-08-14,29.7,31.0,29.27,30.75,1752900.0
2015-08-17,31.9,33.0,31.2,32.85,1731400.0
2015-08-18,33.05,35.4,31.5,31.77,1472100.0
2015-08-19,33.1,33.1,30.5,31.0,1333600.0
2015-08-20,31.3,32.5,29.6,31.85,1483100.0
2015-08-21,31.0,31.19,30.31,30.9,1883000.0
2015-08-24,29.44,32.0,28.3,30.0,1453200.0
2015-08-25,30.17,31.0,30.02,30.9,1381100.0
2015-08-26,30.6,31.28,29.95,30.8,1201500.0
2015-08-27,31.4,32.33,30.14,30.54,974600.0
2015-08-28,30.4,31.59,30.1,30.41,744700.0
2015-08-31,30.51,30.79,30.14,30.39,822800.0
2015-09-01,30.21,30.25,29.0,29.89,602200.0
2015-09-02,29.99,29.99,29.35,29.8,654000.0
2015-09-03,30.0,30.65,29.77,30.48,743700.0
2015-09-04,30.25,30.39,30.03,30.03,350900.0
2015-09-07,30.72,30.75,30.3,30.3,365900.0
2015-09-08,30.2,30.48,30.15,30.2,358600.0
2015-09-09,30.06,30.2,29.99,30.2,427900.0
2015-09-10,30.45,31.69,30.44,31.38,2274600.0
2015-09-11,31.51,31.79,31.1,31.18,981800.0
2015-09-14,31.75,31.75,31.25,31.25,1058900.0
2015-09-15,31.36,31.36,30.38,30.41,1036700.0
2015-09-16,30.5,31.08,30.0,30.3,405300.0
2015-09-17,30.3,30.75,30.3,30.61,610200.0
2015-09-18,30.69,30.69,30.03,30.1,610700.0
2015-09-21,29.81,30.15,29.51,29.89,386000.0
2015-09-22,30.0,30.0,29.16,29.22,800600.0
2015-09-23,29.0,29.06,27.77,27.78,1143400.0
2015-09-24,27.7,27.7,27.0,27.1,647800.0
2015-09-25,27.44,27.7,27.23,27.4,477300.0
2015-09-28,27.41,27.6,26.2,27.0,736500.0
2015-09-29,26.0,26.15,25.6,25.6,877200.0
2015-09-30,25.87,26.5,25.86,26.1,863700.0
2015-10-01,26.49,26.49,26.06,26.14,692500.0
2015-10-02,26.0,26.8,25.6,26.15,620800.0
2015-10-05,26.4,27.3,26.3,27.05,458300.0
2015-10-06,27.16,27.3,26.56,27.0,451300.0
2015-10-07,26.66,26.8,26.0,26.29,375000.0
2015-10-08,26.41,27.0,26.4,26.8,677900.0
2015-10-09,26.55,28.26,26.55,28.15,1086800.0
2015-10-12,27.12,27.2,26.99,27.0,781300.0
2015-10-13,27.25,27.25,26.69,27.04,476000.0
2015-10-14,26.1,27.14,26.05,26.8,642400.0
2015-10-15,26.51,27.0,26.51,26.6,428500.0
2015-10-16,26.51,30.69,26.2,26.35,908500.0
2015-10-19,26.61,26.61,25.74,25.89,607500.0
2015-10-20,25.7,26.3,25.55,25.9,689900.0
2015-10-21,25.88,25.88,25.51,25.74,434900.0
2015-10-22,25.71,26.1,25.7,25.8,513100.0
2015-10-23,25.64,26.35,25.6,26.25,588700.0
2015-10-26,26.48,26.8,26.01,26.1,414600.0
2015-10-27,25.9,26.5,25.84,26.5,655100.0
2015-10-28,25.61,25.7,25.21,25.6,778500.0
2015-10-29,25.7,25.8,25.5,25.76,394000.0
2015-10-30,25.76,25.81,25.35,25.6,560500.0
2015-11-02,25.38,25.38,25.11,25.35,283900.0
2015-11-03,25.15,25.19,25.0,25.0,513800.0
2015-11-05,25.14,25.14,24.56,24.58,787100.0
2015-11-06,24.34,25.34,24.32,24.95,783700.0
2015-11-09,24.9,25.14,24.66,25.05,746500.0
2015-11-10,24.95,24.95,24.62,24.71,427700.0
