Date,Open,High,Low,Close,Volume
2000-01-05,1.15,1.26488,1.08,1.21801,29819000.0
2000-01-06,1.23,1.28,1.23,1.267,14907000.0
2000-01-10,1.325,1.3895,1.255,1.341,64304000.0
2000-01-11,1.335,1.34,1.19,1.2172,35738000.0
2000-01-12,1.141,1.31,1.102,1.2651,45148000.0
2000-01-13,1.26,1.49,1.246,1.405,69277000.0
2000-01-14,1.45,1.539,1.407,1.499,40991000.0
2000-01-17,1.48,1.543,1.36001,1.376,40830000.0
2000-01-18,1.36,1.48,1.312,1.315,48508000.0
2000-01-19,1.32,1.33,1.206,1.216,41718000.0
2000-01-20,1.275,1.337,1.25601,1.337,33757000.0
2000-01-21,1.29002,1.39,1.285,1.366,42254000.0
2000-01-24,1.373,1.39,1.23001,1.23505,35438000.0
2000-01-25,1.18,1.24,1.13,1.19,48714000.0
2000-01-26,1.199,1.2649,1.176,1.25,27749000.0
2000-01-27,1.28,1.335,1.256,1.325,38313000.0
2000-01-28,1.315,1.347,1.195,1.20005,43988000.0
2000-01-31,1.151,1.182,1.119,1.137,26683000.0
2000-02-01,1.16,1.21,1.117,1.127,27271000.0
2000-02-02,1.15,1.186,1.1175,1.143,26270000.0
2000-02-03,1.14,1.227,1.117,1.209,35643000.0
2000-02-04,1.22,1.257,1.215,1.235,17039000.0
2000-02-07,1.245,1.27998,1.21502,1.23601,28329000.0
2000-02-08,1.244,1.31,1.24,1.303,35485000.0
2000-02-09,1.33,1.38,1.30201,1.307,45632000.0
2000-02-10,1.28,1.33,1.278,1.3,25319000.0
2000-02-11,1.34,1.34,1.285,1.3001,19137000.0
2000-02-14,1.355,1.447,1.32,1.32101,33705000.0
2000-02-15,1.331,1.331,1.27,1.27,17500000.0
2000-02-16,1.29,1.337,1.29,1.335,28356000.0
2000-02-17,1.32,1.3939,1.3,1.38205,30512000.0
2000-02-18,1.36501,1.3849,1.355,1.372,14073000.0
2000-02-21,1.33,1.366,1.32,1.35405,16678000.0
2000-02-22,1.365,1.385,1.36105,1.37,23347000.0
2000-02-23,1.379,1.421,1.375,1.395,27156000.0
2000-02-24,1.42,1.447,1.415,1.43,17865000.0
2000-02-25,1.415,1.425,1.35,1.365,24106000.0
2000-02-28,1.33,1.36,1.286,1.296,22168000.0
2000-02-29,1.33,1.363,1.305,1.348,21619000.0
2000-03-01,1.385,1.4,1.363,1.392,19359000.0
2000-03-02,1.396,1.396,1.355,1.369,19688000.0
2000-03-03,1.374,1.4139,1.345,1.409,19907000.0
2000-03-06,1.425,1.445,1.4,1.40505,29750000.0
2000-03-07,1.4,1.48,1.382,1.47001,32704000.0
2000-03-09,1.51,1.57,1.505,1.53603,56209000.0
2000-03-10,1.57,1.63701,1.515,1.62,107051000.0
2000-03-13,1.567,1.62,1.505,1.525,49510000.0
2000-03-14,1.568,1.6,1.552,1.56701,65553000.0
2000-03-15,1.565,1.57,1.477,1.4936,83821000.0
2000-03-16,1.519,1.5345,1.416,1.435,63813000.0
