Date,Open,High,Low,Close,Volume
2011-09-30,16.17,16.17,16.17,16.17,4000000.0
2011-10-03,16.2,16.2,16.2,16.2,4000000.0
2011-10-18,16.39,16.39,16.39,16.39,610000.0
2011-10-21,18.845,18.845,17.745,18.0,800.0
2011-10-24,18.0,25.081,17.77,17.77,9100.0
2011-10-25,15.5,25.346,15.5,18.505,122600.0
2011-10-26,20.799,23.994,16.15,20.898,74500.0
2011-10-27,21.499,26.0,18.8,19.3,64800.0
2011-10-28,19.99,20.0,18.181,18.376,13300.0
2011-10-31,18.999,19.995,17.3,17.3,164600.0
2011-11-01,17.002,17.957,16.501,16.983,7200.0
2011-11-02,17.733,17.733,15.51,15.85,6100.0
2011-11-03,16.0,17.394,15.0,16.0,4600.0
2011-11-07,16.0,16.499,15.75,16.0,2400.0
2011-11-08,16.0,16.999,14.999,15.05,16900.0
2011-11-09,15.0,15.2,14.21,14.5,4000.0
2011-11-10,14.5,15.19,13.1,14.9,13900.0
2011-11-11,13.545,15.0,13.545,15.0,4700.0
2011-11-14,15.0,15.7,14.001,14.001,3200.0
2011-11-15,13.727,14.7,13.63,13.63,1200.0
2011-11-16,13.997,14.94,13.997,14.3,1400.0
2011-11-17,15.0,15.0,15.0,15.0,100.0
2011-11-18,14.999,14.999,13.43,14.89,2500.0
2011-11-21,13.462,14.7,13.462,14.7,300.0
2011-11-22,13.478,15.0,12.0,13.998,33500.0
2011-11-23,13.0,15.0,12.998,14.0,127600.0
2011-11-24,14.448,16.45,13.4,14.5,654900.0
2011-11-25,13.556,16.48,13.501,14.301,644900.0
2011-11-28,13.801,16.435,13.801,15.0,649800.0
2011-11-29,15.986,16.46,15.54,16.28,976000.0
2011-11-30,16.43,16.43,14.801,15.4,332700.0
2011-12-01,15.499,15.5,13.999,14.749,31300.0
2011-12-02,15.348,15.348,12.832,13.683,31100.0
2011-12-05,12.778,13.945,12.131,13.199,5800.0
2011-12-06,12.6,13.31,12.59,13.31,500.0
2011-12-07,13.929,13.929,12.56,13.411,2400.0
2011-12-08,12.277,13.403,12.0,12.499,14700.0
2011-12-09,11.5,11.5,9.3,9.3,527300.0
2011-12-12,9.979,9.979,8.888,9.497,75200.0
2011-12-13,9.47,11.499,9.15,11.44,465000.0
2011-12-14,11.5,12.501,10.3,11.0,85000.0
2011-12-15,10.15,10.5,10.0,10.292,220400.0
2011-12-16,10.699,10.699,9.5,9.75,91400.0
2011-12-19,10.175,12.67,9.411,12.65,291800.0
