Date,Open,High,Low,Close,Volume
2021-04-28,8.1,8.1,7.801,7.968,189400200.0
2021-04-29,8.0,8.0,7.88,7.9,83189000.0
2021-04-30,7.944,7.965,7.651,7.88,81987900.0
2021-05-04,7.893,7.948,7.88,7.91,89184100.0
2021-05-05,7.889,8.013,7.882,8.0,43777600.0
2021-05-06,7.998,8.0,7.9,8.0,28726000.0
2021-05-07,7.995,8.02,7.924,8.0,15047500.0
2021-05-10,8.003,8.003,7.947,7.981,10027700.0
2021-05-11,7.976,8.0,7.89,7.994,35600100.0
2021-05-12,8.0,8.0,7.92,7.965,18808500.0
2021-05-13,7.965,7.986,7.91,7.97,26952800.0
2021-05-14,7.97,7.975,7.92,7.951,12328200.0
2021-05-17,7.951,7.98,7.918,7.95,12619800.0
2021-05-18,7.962,7.98,7.905,7.926,30065800.0
2021-05-19,7.95,7.971,7.909,7.95,24438600.0
2021-05-20,7.935,8.015,7.6,7.994,56061900.0
2021-05-21,7.996,7.996,7.92,7.96,24603200.0
2021-05-24,7.959,7.997,7.922,7.99,58125900.0
2021-05-25,7.99,7.997,7.935,7.97,25352000.0
2021-05-26,7.97,7.98,7.935,7.97,17751900.0
2021-05-27,7.951,8.0,7.935,8.0,40488700.0
2021-05-28,7.989,7.989,7.745,7.8,24162800.0
2021-05-31,7.847,7.92,7.806,7.824,8568700.0
2021-06-01,7.879,7.906,7.851,7.86,5603600.0
2021-06-02,7.879,7.879,7.8,7.8,8139000.0
2021-06-03,7.845,7.875,7.72,7.767,7447000.0
2021-06-04,7.784,7.796,7.63,7.659,10149300.0
2021-06-07,7.663,7.748,7.6,7.6,8921500.0
2021-06-08,7.61,7.718,7.56,7.612,16279100.0
2021-06-09,7.616,7.899,7.571,7.894,12800900.0
2021-06-10,7.884,7.944,7.822,7.931,21782600.0
2021-06-11,7.926,7.95,7.926,7.949,5665900.0
2021-06-14,7.969,7.997,7.851,7.965,5735600.0
2021-06-15,7.965,7.967,7.831,7.869,13566700.0
2021-06-16,7.89,7.891,7.772,7.783,3808400.0
2021-06-17,7.84,7.884,7.728,7.774,4262100.0
2021-06-18,7.774,7.802,7.602,7.603,7216300.0
2021-06-21,7.667,7.729,7.666,7.68,3262200.0
2021-06-22,7.705,7.728,7.615,7.66,3858000.0
2021-06-23,7.669,7.7,7.633,7.685,7875500.0
2021-06-24,7.716,7.748,7.554,7.6,15691800.0
2021-06-25,7.621,7.674,7.552,7.554,9844200.0
2021-06-28,7.59,7.67,7.522,7.63,4543700.0
2021-06-29,7.6,7.628,7.46,7.523,15831900.0
2021-06-30,7.545,7.648,7.5,7.62,5233300.0
2021-07-01,7.62,7.691,7.6,7.652,4174200.0
2021-07-02,7.62,7.652,7.562,7.563,3562200.0
2021-07-05,7.601,7.652,7.51,7.65,4885200.0
2021-07-06,7.654,7.663,7.555,7.556,10046700.0
2021-07-07,7.559,7.623,7.5,7.555,6500000.0
2021-07-08,7.55,7.566,7.45,7.455,10849900.0
2021-07-09,7.465,7.493,7.391,7.45,6163300.0
2021-07-12,7.447,7.45,7.391,7.421,5537100.0
2021-07-13,7.45,7.526,7.395,7.4,7000000.0
2021-07-14,7.455,7.455,7.286,7.291,9324000.0
2021-07-15,7.303,7.303,7.2,7.205,9163900.0
2021-07-16,7.205,7.29,7.124,7.186,5215600.0
2021-07-19,7.186,7.23,6.804,6.805,17285500.0
2021-07-20,6.887,7.044,6.826,6.95,5773900.0
2021-07-21,7.044,7.063,6.77,7.027,14131200.0
2021-07-22,7.089,7.3,7.031,7.289,6076900.0
2021-07-23,7.323,7.46,7.301,7.41,5844300.0
2021-07-26,7.417,7.549,7.041,7.233,7313300.0
2021-07-27,7.35,7.395,7.231,7.286,3200500.0
2021-07-28,7.287,7.449,7.287,7.38,2563700.0
2021-07-29,7.38,7.51,7.349,7.46,5654700.0
2021-07-30,7.404,7.52,7.28,7.35,5142300.0
2021-08-02,7.357,7.451,7.351,7.366,2641200.0
2021-08-03,7.446,7.446,7.296,7.321,3054100.0
