Date,Open,High,Low,Close,Volume
2000-01-05,8.5,8.5,8.5,8.5,100.0
2000-01-10,8.0,8.0,8.0,8.0,400.0
2000-01-14,8.02,8.02,8.02,8.02,5000.0
2000-01-17,9.1,9.1,9.1,9.1,4600.0
2000-01-19,9.74,9.74,9.74,9.74,4600.0
2000-01-27,10.0,10.1,10.0,10.1,200.0
2000-02-03,10.2,10.21,10.2,10.21,1800.0
2000-02-04,10.3,10.41,10.22,10.41,10400.0
2000-02-07,11.73,11.73,11.73,11.73,100.0
2000-02-08,11.4,11.41,11.4,11.41,200.0
2000-02-09,11.75,11.75,11.5,11.5,600.0
2000-02-10,12.0,12.0,12.0,12.0,1300.0
2000-02-11,12.5,12.5,12.5,12.5,100.0
2000-02-14,12.0,12.0,12.0,12.0,4700.0
2000-02-17,12.0,12.0,11.0,11.0,6000.0
2000-02-18,10.4,10.4,10.4,10.4,300.0
2000-03-01,10.05,10.05,10.05,10.05,1700.0
2000-03-02,10.05,10.05,10.05,10.05,1600.0
2000-03-10,10.05,10.05,10.05,10.05,19500.0
2000-03-13,10.5,10.5,10.5,10.5,5100.0
2000-03-22,9.7,9.7,9.7,9.7,1900.0
2000-03-24,11.5,11.5,11.5,11.5,3000.0
2000-03-29,10.0,10.0,10.0,10.0,800.0
2000-04-12,10.1,10.1,10.1,10.1,13500.0
2000-04-13,10.0,10.0,10.0,10.0,10000.0
2000-04-19,9.35,9.35,9.0,9.0,2100.0
2000-05-06,9.5,9.5,9.5,9.5,10000.0
2000-05-10,9.0,9.0,9.0,9.0,5000.0
2000-08-04,8.75,8.75,8.75,8.75,300.0
2000-08-18,9.25,9.25,9.25,9.25,4000.0
2000-08-24,9.49,9.5,9.49,9.5,15700.0
2000-08-25,9.62,9.62,9.62,9.62,200.0
2000-08-31,9.4,9.4,9.4,9.4,3000.0
2000-09-14,8.6,8.6,8.6,8.6,27000.0
2000-10-19,7.8,8.0,7.8,8.0,1000.0
2000-10-25,7.8,9.58,7.65,9.58,2700.0
2000-11-20,7.1,7.1,6.9,6.9,34500.0
2000-11-28,7.5,7.5,7.5,7.5,100.0
2000-11-29,7.49,7.49,7.49,7.49,100.0
2000-11-30,7.8,7.8,6.3,7.24,50400.0
2000-12-04,7.61,7.61,7.61,7.61,100.0
2000-12-06,7.26,7.26,7.26,7.26,1000.0
2000-12-07,8.3,8.3,8.3,8.3,100.0
2000-12-08,7.6,7.9,7.6,7.9,10000.0
2000-12-14,7.66,7.87,7.66,7.77,20200.0
2000-12-15,8.5,8.7,8.5,8.7,200.0
2000-12-18,7.7,7.7,7.7,7.7,4000.0
2000-12-19,7.77,7.77,7.77,7.77,4000.0
2000-12-20,7.77,7.77,7.77,7.77,200.0
2000-12-21,8.9,8.9,7.0,7.0,1100.0
2000-12-22,7.99,7.99,7.99,7.99,100.0
2000-12-25,8.8,8.8,8.8,8.8,100.0
2000-12-26,8.6,8.6,8.6,8.6,100.0
2000-12-27,8.4,8.4,8.4,8.4,200.0
2000-12-28,8.2,8.2,8.2,8.2,100.0
2001-01-03,8.8,8.8,8.8,8.8,100.0
2001-01-04,8.8,8.8,8.8,8.8,100.0
2001-01-05,8.7,8.7,8.7,8.7,100.0
2001-01-10,8.19,8.29,8.19,8.29,200.0
2001-01-12,8.47,8.47,8.47,8.47,100.0
2001-01-15,8.4,8.4,8.4,8.4,29400.0
2001-01-16,8.3,8.3,8.3,8.3,29400.0
2001-01-17,8.3,8.4,8.3,8.4,26000.0
2001-01-18,8.5,8.5,8.3,8.4,15700.0
2001-01-19,8.54,8.55,8.54,8.55,32400.0
2001-01-23,8.45,8.5,8.45,8.5,49800.0
2001-01-24,8.6,8.6,8.6,8.6,45000.0
2001-01-25,9.4,9.4,8.71,8.81,55200.0
2001-01-26,8.99,9.1,8.99,9.1,84000.0
2001-01-29,8.72,8.72,8.72,8.72,10000.0
2001-01-30,8.9,8.9,8.89,8.89,200.0
2001-02-02,8.8,8.8,8.8,8.8,1000.0
2001-02-07,9.0,9.0,9.0,9.0,3500.0
2001-02-08,8.99,8.99,8.99,8.99,100.0
2001-02-09,8.99,8.99,8.78,8.78,3100.0
2001-02-12,9.01,9.44,8.9,9.44,102000.0
2001-02-13,9.77,10.19,9.77,10.19,15000.0
2001-02-14,10.1,10.15,10.0,10.0,5000.0
2001-02-15,10.48,10.52,10.48,10.52,5100.0
2001-02-16,10.5,10.5,10.5,10.5,3000.0
2001-02-20,9.75,9.75,9.7,9.7,4300.0
2001-02-22,9.0,9.0,9.0,9.0,500.0
2001-03-02,8.95,8.95,8.95,8.95,1900.0
2001-03-12,9.55,9.55,9.55,9.55,3000.0
2001-03-13,9.7,9.7,9.7,9.7,3000.0
2001-03-14,9.55,9.8,9.55,9.8,6000.0
2001-03-22,9.2,9.2,9.2,9.2,100.0
2001-03-23,9.52,9.52,9.52,9.52,2000.0
