Date,Open,High,Low,Close,Volume
2020-10-29,990.0,1053.0,908.0,953.0,209997.0
2020-10-30,955.0,990.0,951.6,955.0,54385.0
2020-11-02,954.8,958.0,952.0,957.0,16594.0
2020-11-03,959.6,959.6,952.0,952.6,8985.0
2020-11-05,952.4,959.0,944.8,952.8,15502.0
2020-11-06,958.2,958.2,950.6,952.0,9682.0
2020-11-09,952.0,954.2,940.6,942.0,14817.0
2020-11-10,940.2,951.0,935.0,950.0,12696.0
2020-11-11,950.8,950.8,940.2,948.0,9998.0
2020-11-12,950.0,950.6,941.0,947.0,3810.0
2020-11-13,947.0,950.0,941.0,947.0,6270.0
2020-11-16,949.8,951.0,941.2,948.4,12746.0
2020-11-17,942.0,950.8,941.2,947.6,5005.0
2020-11-18,948.0,948.0,940.0,947.0,10422.0
2020-11-19,949.6,949.6,942.8,946.2,3687.0
2020-11-20,946.2,949.6,942.2,943.2,3896.0
2020-11-23,949.6,949.6,941.2,946.2,8912.0
2020-11-24,942.4,948.0,941.2,947.8,5497.0
2020-11-25,947.8,950.0,941.2,949.0,14178.0
2020-11-26,948.2,949.6,941.2,945.0,6659.0
2020-11-27,948.8,948.8,941.8,946.8,7648.0
2020-11-30,948.4,948.4,942.2,944.0,2344.0
2020-12-01,942.0,948.4,940.0,945.0,5640.0
2020-12-02,946.0,946.6,941.2,946.0,7140.0
2020-12-03,942.2,946.0,941.2,942.6,6730.0
2020-12-04,941.2,944.0,941.0,943.8,6791.0
2020-12-07,941.6,944.4,933.0,935.6,17152.0
2020-12-08,936.2,941.6,930.0,935.0,5704.0
2020-12-09,939.8,946.0,931.0,940.8,6472.0
2020-12-10,940.0,944.6,935.0,939.0,7899.0
2020-12-11,939.0,943.8,932.0,936.0,2306.0
2020-12-14,939.8,959.4,934.8,952.2,22427.0
2020-12-15,952.0,970.0,932.0,967.0,18436.0
2020-12-16,961.0,967.0,955.6,959.8,18244.0
2020-12-17,963.0,963.0,952.2,954.0,9040.0
2020-12-18,957.6,957.6,935.0,955.0,11896.0
2020-12-21,945.6,953.0,939.0,944.4,19114.0
2020-12-22,941.0,955.0,936.0,950.2,8513.0
2020-12-23,950.4,960.0,949.0,950.0,2543.0
2020-12-24,949.6,953.4,945.8,950.2,2126.0
2020-12-25,947.0,967.0,947.0,959.2,8025.0
2020-12-28,963.6,963.6,950.0,951.0,3280.0
2020-12-29,950.0,962.8,950.0,959.4,3547.0
2020-12-30,960.0,960.0,949.4,958.0,4391.0
2021-01-04,959.4,965.0,951.4,964.8,4049.0
2021-01-05,967.0,967.0,951.4,965.0,5189.0
2021-01-06,962.0,966.6,957.2,962.0,1380.0
2021-01-08,960.4,964.0,956.2,958.0,4322.0
2021-01-11,958.0,966.4,950.0,961.8,6600.0
2021-01-12,960.2,962.6,951.2,956.8,3437.0
2021-01-13,960.4,962.0,950.2,952.0,2556.0
2021-01-14,957.8,960.4,950.4,951.0,1883.0
2021-01-15,951.0,955.8,940.0,951.0,18292.0
2021-01-18,942.6,958.4,942.2,950.6,3044.0
2021-01-19,951.8,972.8,951.0,957.2,10653.0
2021-01-20,962.2,973.4,957.2,960.0,10160.0
2021-01-21,960.0,969.8,950.2,960.6,7198.0
2021-01-22,954.0,960.8,948.0,951.0,8909.0
2021-01-25,950.4,962.4,950.4,957.2,5360.0
2021-01-26,958.0,962.0,951.0,956.0,2074.0
2021-01-27,958.6,961.0,953.6,955.0,3296.0
2021-01-28,954.2,970.0,948.2,960.0,47156.0
2021-01-29,969.4,969.4,951.8,956.8,11074.0
2021-02-01,956.8,967.6,955.2,958.0,5412.0
2021-02-02,959.0,976.0,955.6,970.0,25106.0
2021-02-03,975.2,976.0,964.2,972.0,8580.0
2021-02-04,972.0,1005.0,947.0,981.0,82061.0
2021-02-05,980.2,1033.0,979.8,1005.4,48357.0
2021-02-08,1025.0,1132.2,1024.8,1070.0,111405.0
2021-02-09,1066.0,1126.0,1065.8,1098.0,39243.0
2021-02-10,1100.0,1100.0,1064.0,1091.0,22306.0
2021-02-11,1069.8,1100.0,1056.4,1095.0,26476.0
2021-02-12,1093.2,1100.0,1062.2,1072.4,25021.0
2021-02-15,1059.8,1093.6,1059.8,1090.2,17336.0
2021-02-16,1096.0,1099.0,1074.0,1075.0,14080.0
2021-02-17,1077.4,1077.6,1060.8,1070.0,16863.0
2021-02-18,1062.8,1090.0,1061.8,1075.2,9976.0
2021-02-19,1080.0,1090.0,1071.0,1088.8,17245.0
2021-02-20,1089.8,1098.0,1072.2,1085.8,12416.0
2021-02-22,1096.0,1100.0,1071.4,1088.2,10689.0
2021-02-24,1075.2,1147.6,1075.2,1147.6,33462.0
2021-02-25,1170.0,1201.4,1127.0,1140.0,37065.0
2021-02-26,1139.8,1179.0,1091.4,1160.0,23475.0
2021-03-01,1179.8,1200.0,1158.6,1184.8,21538.0
