Date,Open,High,Low,Close,Volume
2001-12-07,14.73,14.73,14.73,14.73,30000.0
2001-12-10,15.35,15.35,14.71,14.8,71700.0
2001-12-11,14.9,15.1,14.88,15.09,348300.0
2001-12-13,15.04,15.04,14.35,14.35,681300.0
2001-12-14,14.5,14.5,14.24,14.35,156700.0
2001-12-17,14.58,14.6,14.16,14.54,171800.0
2001-12-18,14.55,14.72,14.35,14.41,396300.0
2001-12-19,14.59,14.85,14.36,14.6,402300.0
2001-12-20,14.89,14.89,14.48,14.6,352400.0
2001-12-21,14.69,14.84,14.48,14.8,185300.0
2001-12-24,14.84,15.1,14.75,14.9,427000.0
2001-12-25,15.0,15.05,14.76,14.8,221300.0
2001-12-26,14.9,14.9,14.75,14.8,85000.0
2001-12-27,14.9,15.03,14.85,15.0,397800.0
2001-12-28,15.05,15.45,15.0,15.31,1066100.0
2001-12-29,15.31,15.81,15.31,15.77,160100.0
2002-01-03,15.7,16.75,15.7,16.65,635700.0
2002-01-04,17.09,17.9,16.4,17.9,1181900.0
2002-01-08,17.99,18.8,17.8,18.4,1346800.0
2002-01-09,18.56,18.78,18.07,18.35,1112100.0
2002-01-10,18.22,18.22,17.63,17.7,702100.0
2002-01-11,17.5,17.74,17.41,17.61,402900.0
2002-01-14,17.37,17.37,16.53,16.69,579800.0
2002-01-15,16.22,17.18,16.18,17.0,891300.0
2002-01-16,16.8,17.21,16.63,16.8,622100.0
2002-01-17,16.5,17.3,16.5,17.2,1190700.0
2002-01-18,17.3,17.55,16.75,17.36,1398600.0
2002-01-21,17.3,17.74,17.15,17.52,730200.0
2002-01-22,17.7,18.13,17.55,18.05,1046600.0
2002-01-23,18.03,18.11,17.4,17.4,1013500.0
2002-01-24,17.4,17.4,16.07,16.29,1438300.0
2002-01-25,16.15,16.2,15.2,15.4,1788200.0
2002-01-28,15.59,15.79,15.45,15.6,808100.0
2002-01-29,15.78,16.25,15.71,16.18,1259400.0
2002-01-30,15.8,15.8,15.35,15.35,624100.0
2002-01-31,15.95,15.95,15.5,15.64,259100.0
2002-02-01,15.65,15.89,15.58,15.7,313400.0
2002-02-04,15.52,15.6,15.35,15.4,297100.0
2002-02-05,15.2,15.38,15.02,15.35,289600.0
2002-02-06,15.26,15.85,15.26,15.6,609700.0
2002-02-07,15.64,15.8,15.5,15.75,257700.0
2002-02-08,15.8,15.8,15.34,15.43,479100.0
2002-02-11,15.6,15.8,15.51,15.65,392000.0
2002-02-12,15.8,16.33,15.8,15.88,1805400.0
2002-02-13,16.06,16.2,15.95,16.17,757800.0
2002-02-14,15.96,16.64,15.85,16.52,1379400.0
2002-02-15,16.62,16.8,16.29,16.4,1418100.0
2002-02-18,16.31,16.56,16.18,16.27,436200.0
2002-02-19,16.11,16.28,15.72,15.84,575400.0
2002-02-20,15.55,15.8,15.55,15.75,312500.0
2002-02-21,15.99,16.2,15.9,16.04,607000.0
2002-02-22,16.05,16.6,16.05,16.54,1641100.0
2002-02-26,16.5,16.6,16.0,16.0,834400.0
2002-02-27,16.05,16.34,15.7,15.89,695400.0
2002-02-28,15.8,15.98,15.55,15.68,562600.0
2002-03-01,15.65,16.15,15.65,16.15,828900.0
2002-03-04,16.45,17.14,16.4,16.62,3083900.0
2002-03-05,16.85,16.94,16.5,16.71,1459100.0
2002-03-06,16.65,16.82,16.56,16.7,763200.0
2002-03-07,16.85,17.25,16.85,17.14,2449200.0
2002-03-11,17.29,18.2,17.17,17.89,5952500.0
2002-03-12,18.11,18.75,18.01,18.32,5267300.0
2002-03-13,18.5,18.9,18.32,18.42,3794500.0
2002-03-14,18.5,18.99,18.5,18.9,2180700.0
2002-03-15,19.09,19.2,18.87,19.0,2714000.0
2002-03-18,19.3,19.64,19.29,19.43,3344800.0
2002-03-19,19.5,19.6,19.13,19.13,2825700.0
2002-03-20,18.91,19.05,18.35,18.43,2401900.0
2002-03-21,18.28,18.76,18.1,18.7,1605500.0
2002-03-22,19.3,19.65,19.07,19.5,3791600.0
2002-03-25,19.7,20.5,19.69,19.9,5016500.0
2002-03-26,20.62,21.1,20.56,20.82,5234700.0
2002-03-27,20.85,21.2,20.59,21.12,2305000.0
2002-03-28,21.3,22.13,21.1,22.0,3895100.0
2002-03-29,21.75,21.94,21.26,21.42,2027800.0
2002-04-01,21.15,21.3,21.05,21.25,877300.0
2002-04-02,21.04,21.25,20.05,20.1,4018700.0
2002-04-03,20.75,20.9,20.1,20.28,3556700.0
2002-04-04,19.99,20.3,19.7,20.09,3343100.0
2002-04-05,19.8,20.2,19.8,20.1,1207900.0
2002-04-08,20.08,20.45,19.95,20.29,1604000.0
