Date,Open,High,Low,Close,Volume
2007-04-17,265.3,265.3,230.0,232.0,11776.0
2007-04-18,235.0,260.0,229.03,230.9,16727.0
2007-04-19,237.87,237.87,223.0,224.0,5924.0
2007-04-20,230.0,236.46,215.1,232.0,2712.0
2007-04-23,232.5,235.0,231.53,231.53,104.0
2007-04-24,232.0,236.78,231.85,236.78,197.0
2007-04-25,234.97,235.0,229.4,231.98,305.0
2007-04-26,230.0,236.0,230.0,236.0,267.0
2007-04-27,231.24,235.7,231.24,232.5,118.0
2007-04-28,236.0,236.0,236.0,236.0,227.0
2007-05-02,238.5,238.5,238.49,238.5,26.0
2007-05-03,238.8,239.53,238.8,239.53,1749.0
2007-05-04,240.0,240.0,239.1,239.1,75.0
2007-05-07,237.02,240.42,234.49,234.49,1047.0
2007-05-08,240.0,240.11,234.18,238.99,1972.0
2007-05-10,239.83,239.83,239.83,239.83,155.0
2007-05-11,235.3,235.5,230.0,230.0,543.0
2007-05-14,235.5,235.8,235.5,235.5,64.0
2007-05-15,235.35,235.35,233.0,235.35,902.0
2007-05-16,240.0,240.0,231.5,235.0,4497.0
2007-05-17,235.01,240.0,232.0,234.21,1947.0
2007-05-18,231.0,236.35,206.35,230.0,100.0
2007-05-22,235.9,236.0,234.0,235.9,198.0
2007-05-23,236.0,236.0,234.26,234.26,26.0
2007-05-28,232.99,232.99,232.99,232.99,1.0
2007-05-29,234.31,234.31,234.29,234.29,111.0
2007-05-30,234.42,235.0,234.42,234.42,1900.0
2007-06-01,234.0,234.0,232.97,234.0,81.0
2007-06-04,231.79,236.95,231.79,236.95,130.0
2007-06-05,236.91,236.91,236.0,236.7,30.0
2007-06-06,235.0,235.0,235.0,235.0,215.0
2007-06-08,235.1,235.1,235.1,235.1,2.0
2007-06-09,235.0,236.0,231.0,236.0,41.0
2007-06-13,230.51,231.01,230.05,231.0,177.0
2007-06-14,235.0,235.0,229.17,229.2,1317.0
2007-06-15,231.81,231.81,229.1,231.81,4993.0
2007-06-18,231.68,235.95,231.68,233.82,549.0
2007-06-19,231.0,232.0,231.0,232.0,877.0
2007-06-20,241.0,243.7,240.55,243.7,655.0
2007-06-21,243.8,243.8,243.6,243.6,454.0
2007-06-26,241.35,241.35,240.87,240.87,1112.0
2007-06-27,239.73,239.73,239.73,239.73,3.0
2007-06-28,240.37,241.1,240.37,241.1,5041.0
2007-06-29,237.32,237.32,237.32,237.32,5022.0
2007-07-02,237.5,237.5,237.5,237.5,1.0
2007-07-03,255.0,260.0,238.19,238.19,3229.0
2007-07-04,237.33,237.33,237.33,237.33,202.0
2007-07-05,246.97,246.98,246.92,246.98,11.0
2007-07-06,240.0,241.33,238.0,241.33,5635.0
2007-07-09,249.99,259.99,239.29,244.33,6044.0
2007-07-10,243.49,249.4,243.49,247.0,6023.0
2007-07-11,250.0,255.0,246.32,255.0,3707.0
2007-07-12,259.32,268.0,253.0,268.0,2752.0
2007-07-13,261.54,261.78,261.54,261.77,895.0
2007-07-16,261.63,300.0,261.6,290.0,502.0
2007-07-17,289.0,290.0,265.0,267.46,5814.0
2007-07-18,266.0,266.0,258.38,263.47,4812.0
2007-07-19,262.03,270.0,261.0,262.0,2016.0
2007-07-20,260.71,269.98,236.0,268.0,837.0
2007-07-23,261.76,272.0,258.0,272.0,5529.0
2007-07-24,265.03,275.0,261.47,267.0,6153.0
2007-07-25,261.58,261.58,261.57,261.58,1120.0
2007-07-26,269.89,269.89,259.8,260.0,118.0
2007-07-27,258.0,262.63,257.02,262.0,587.0
2007-07-30,256.3,256.3,250.0,250.0,7277.0
2007-07-31,263.63,263.63,257.0,257.0,5046.0
2007-08-01,249.06,255.45,249.06,250.33,932.0
2007-08-02,255.0,260.0,252.0,252.0,251.0
2007-08-03,250.83,250.83,250.83,250.83,639.0
2007-08-06,248.91,248.91,242.77,243.0,550.0
2007-08-07,245.0,259.99,240.0,247.9,3472.0
2007-08-08,248.08,253.0,248.08,252.99,945.0
2007-08-09,252.99,259.5,247.0,247.0,27259.0
2007-08-10,249.9,259.5,236.12,237.0,43825.0
2007-08-13,251.0,259.0,238.0,243.0,16851.0
2007-08-14,254.0,254.0,239.1,242.99,35474.0
2007-08-15,239.0,243.0,232.34,233.0,15612.0
2007-08-16,236.9,258.0,230.0,234.32,54034.0
2007-08-17,231.64,231.64,227.0,229.07,4067.0
2007-08-20,237.0,238.99,220.0,223.01,9636.0
2007-08-21,222.65,232.0,218.01,223.9,46215.0
2007-08-22,224.99,227.98,217.0,226.9,60980.0
2007-08-23,222.1,222.99,221.03,221.03,7492.0
2007-08-24,225.46,236.0,219.01,222.0,18421.0
2007-08-27,225.0,229.0,220.0,229.0,5233.0
2007-08-28,221.0,222.3,219.5,222.3,13929.0
2007-08-29,220.01,235.0,220.01,231.01,21739.0
2007-08-30,228.2,233.0,228.2,230.0,395.0
2007-08-31,245.0,275.0,228.0,247.0,14187.0
2007-09-03,265.77,270.0,238.02,241.4,2444.0
2007-09-04,241.0,263.18,240.0,242.5,7591.0
2007-09-05,240.0,259.0,236.01,254.58,38851.0
2007-09-06,254.1,254.5,248.2,254.4,6363.0
2007-09-07,253.12,258.99,253.0,255.01,13186.0
2007-09-10,247.8,250.9,247.8,250.89,3934.0
2007-09-11,247.01,258.91,247.01,252.0,11076.0
2007-09-12,251.01,256.99,243.6,247.75,3798.0
2007-09-13,242.13,247.64,242.13,247.63,1048.0
2007-09-14,247.2,248.64,247.2,248.5,3018.0
2007-09-17,251.89,252.99,240.36,245.0,12059.0
2007-09-18,245.77,252.95,237.01,241.0,5292.0
2007-09-19,245.79,251.95,241.43,250.9,14767.0
2007-09-20,245.33,252.55,245.33,251.0,6990.0
2007-09-21,247.19,265.0,245.0,259.59,28491.0
2007-09-24,261.01,261.46,257.01,261.46,616.0
2007-09-25,261.98,262.0,251.01,256.26,6367.0
2007-09-26,261.0,264.99,247.02,256.01,3589.0
2007-09-27,256.0,258.89,255.0,255.0,3289.0
2007-09-28,258.99,259.98,255.0,259.67,1284.0
2007-10-01,259.99,268.99,250.02,258.88,1439.0
2007-10-02,269.61,269.61,259.0,260.0,1238.0
2007-10-03,267.0,278.98,250.93,267.0,17854.0
2007-10-04,265.0,267.0,260.0,265.0,6262.0
2007-10-05,260.0,271.14,260.0,271.14,14542.0
2007-10-08,275.0,277.17,260.01,270.01,1360.0
2007-10-09,274.99,279.99,272.32,279.7,7565.0
