Date,Open,High,Low,Close,Volume
2002-05-22,119.5,119.5,119.5,119.5,2500.0
2002-05-23,119.7,119.7,119.7,119.7,1800.0
2002-05-27,117.3,118.7,117.3,118.7,1400.0
2002-05-28,118.2001,118.3,118.0,118.3,2000.0
2002-05-29,117.0,117.0,114.0,114.0,23600.0
2002-06-03,115.5,115.5,111.5,111.5,3800.0
2002-06-04,112.0,112.0,111.0,111.11,18000.0
2002-06-06,110.0001,110.0001,109.0,109.0,14600.0
2002-06-07,110.0,113.0,109.5,113.0,1100.0
2002-06-10,112.0,112.0,112.0,112.0,900.0
2002-06-13,112.2,112.2,111.0,111.0,1800.0
2002-06-14,115.0,115.0,108.51,108.51,8800.0
2002-06-17,109.0,109.0,107.5,107.5,3100.0
2002-06-19,105.0,105.0,105.0,105.0,1000.0
2002-06-20,106.0,107.0,106.0,106.9,6400.0
2002-06-21,105.3,107.7,102.0,107.7,13500.0
2002-06-24,102.8,102.8,102.8,102.8,2000.0
2002-06-25,103.4999,104.0,103.4999,104.0,1200.0
2002-06-26,100.7,103.68,100.7,103.68,700.0
2002-06-28,104.7,107.0,103.2501,103.2501,13600.0
2002-07-01,104.5,105.5,104.5,105.5,2000.0
2002-07-02,106.5,106.5,103.41,103.4111,12000.0
2002-07-03,105.0,108.0,105.0,107.0,13600.0
2002-07-04,108.5,110.3,108.5,110.3,2400.0
2002-07-05,110.7,111.5,110.6001,110.6001,11800.0
2002-07-09,111.0,112.0,111.0,112.0,10000.0
2002-07-10,112.0,116.5,112.0,116.5,44300.0
2002-07-11,116.0,116.0,114.55,114.55,45500.0
2002-07-12,116.0,120.0,115.5,118.5,40600.0
2002-07-15,117.61,129.9899,117.61,124.0,110900.0
2002-07-16,124.0,126.0,120.0,121.5,39500.0
2002-07-17,123.99,125.0,123.0,123.0,25400.0
2002-07-18,123.0,124.2,123.0,124.2,11300.0
2002-07-19,122.51001,123.0,121.5,121.95,9500.0
2002-07-22,119.0,120.0,117.0,120.0,5000.0
2002-07-23,117.15001,118.9,117.0,117.3,9400.0
2002-07-24,114.0,116.0,112.55,115.98,2900.0
2002-07-25,115.5,119.94,111.4001,111.4001,2500.0
2002-07-26,111.0,117.7,106.0,117.7,14500.0
2002-07-29,121.5,121.5,116.49,116.49,600.0
2002-07-30,114.53,114.53,112.0,112.0,3600.0
2002-07-31,115.5,116.7,115.5,116.25,52400.0
2002-08-01,117.39,117.5,116.5,116.5,25500.0
2002-08-02,116.8,117.0,116.8,117.0,2200.0
2002-08-05,116.0,116.49,115.0,115.0,78600.0
2002-08-06,113.8,113.8,112.5,113.0,54400.0
2002-08-07,113.01,115.88,113.01,115.88,1700.0
2002-08-08,116.0,116.0,113.13,113.71,4100.0
2002-08-09,114.0,114.0,113.0,113.98,6100.0
2002-08-12,114.0,114.0,113.5,113.5,6100.0
2002-08-14,113.5,113.5,113.0,113.5,22900.0
2002-08-15,114.2,114.5,114.2,114.5,6900.0
2002-08-19,114.0,115.01,114.0,115.0,10800.0
2002-08-20,114.0,115.0,113.02,114.0,3800.0
2002-08-21,111.5,113.5,111.5,113.5,1700.0
2002-08-22,114.2,114.2,113.4,113.4,3800.0
2002-08-23,112.41,112.41,111.6,112.0,5900.0
2002-08-26,111.8,111.8,110.01,111.5,4300.0
2002-08-27,111.8,112.5,111.8,112.5,1100.0
2002-08-28,111.02,112.4999,111.02,112.4999,2600.0
2002-08-29,121.3,121.3,111.0001,111.3,9500.0
2002-08-30,113.3,113.7,111.01,112.05,9500.0
2002-09-02,111.3,112.0,111.01,111.25,4600.0
2002-09-03,111.2,111.2,111.11,111.11,2000.0
2002-09-04,111.11,111.11,105.0,105.0,4100.0
2002-09-05,111.0,111.0,109.5,109.65,2400.0
2002-09-06,110.0,110.0,110.0,110.0,1500.0
2002-09-09,110.0,110.0,110.0,110.0,1200.0
2002-09-10,110.8,111.5,110.0,110.99,3800.0
2002-09-11,111.0,111.0,110.1,110.18,7300.0
2002-09-12,110.0005,110.485,110.0,110.0,14100.0
2002-09-13,109.3,109.81,109.0,109.5,11400.0
2002-09-16,107.55,107.55,107.55,107.55,100.0
2002-09-17,108.5501,108.65,105.0,105.0,22700.0
2002-09-18,105.0,105.0,101.5,104.9,3700.0
2002-09-19,103.1,103.1,102.65,103.0,700.0
2002-09-23,105.0,105.0,104.0,104.0,11700.0
2002-09-24,105.0,105.2,104.5,104.5,11800.0
2002-09-25,105.0,105.0,103.5,103.5,2500.0
2002-09-26,105.0,106.0,105.0,106.0,3200.0
2002-09-27,106.0,106.6,105.95,106.25,12000.0
2002-09-30,105.5,105.5,104.06,104.06,7200.0
2002-10-01,103.5,104.46,103.5,103.99,9400.0
2002-10-02,104.5,105.0,104.0,104.0,12100.0
2002-10-03,104.5,104.8,104.0,104.8,1700.0
2002-10-04,106.3,107.0,105.62,107.0,21800.0
2002-10-07,106.0,110.9,106.0,110.8,28900.0
2002-10-08,110.5,112.0,110.0001,110.21,30400.0
2002-10-09,111.0,111.3,110.0001,110.0001,23500.0
2002-10-10,110.0,110.37,109.21,109.22,3700.0
2002-10-11,109.1001,109.1001,108.5,108.7,4300.0
2002-10-14,112.0,112.0,108.0,109.8,14900.0
2002-10-15,108.68,109.95,108.5,109.95,7700.0
2002-10-16,110.0,110.1111,109.5,110.0,20300.0
2002-10-17,110.0,110.0,110.0,110.0,2300.0
2002-10-18,109.87,111.5,109.0,110.5,3000.0
2002-10-21,111.1111,113.0,109.5066,110.0,156000.0
2002-10-22,111.9,120.0,101.4,101.4,133800.0
2002-10-23,114.0,115.0,113.0,113.15,42400.0
2002-10-24,111.5102,113.48,110.5,112.9799,57100.0
2002-10-25,113.45,114.0,112.7,113.45,37100.0
2002-10-28,114.4799,114.49,113.7002,113.7002,14600.0
2002-10-29,114.0,114.5,114.0,114.0,6000.0
2002-10-30,113.52,113.6,113.0,113.6,28900.0
2002-10-31,113.99,116.0,113.38,115.4,88100.0
2002-11-01,115.95,116.0,114.51,114.51,16000.0
2002-11-04,114.0,115.2,114.0,115.2,1100.0
2002-11-05,114.56,117.5,113.985,113.985,36900.0
2002-11-06,114.56,114.56,113.8,113.8,16000.0
2002-11-10,113.5,113.5,112.7101,112.7101,6600.0
2002-11-11,110.7002,113.3,110.7002,113.0,37400.0
2002-11-12,110.5002,113.899,110.5002,112.8,18300.0
2002-11-13,112.0005,113.99,112.0005,113.3,37100.0
2002-11-14,113.0,113.5,113.0,113.5,2800.0
2002-11-15,113.0,113.0,113.0,113.0,1300.0
2002-11-18,113.9999,113.9999,112.01,112.5,11700.0
2002-11-19,112.8199,112.8199,112.0001,112.25,49000.0
2002-11-20,112.25,112.64,112.22,112.5,30100.0
2002-11-21,112.95,113.4,112.95,113.0,4800.0
2002-11-22,113.3999,113.95,113.0,113.0,22400.0
2002-11-25,113.9,114.9,113.9,114.9,51300.0
2002-11-26,114.3,114.6,114.0,114.0,11700.0
2002-11-27,114.0,114.9899,114.0,114.7,23200.0
2002-11-28,114.3,114.65,113.35,114.65,15900.0
2002-11-29,114.25,114.9,114.21,114.5,2000.0
2002-12-02,115.99,115.99,115.4,115.75,16300.0
2002-12-03,114.5,115.67,114.11,114.11,1500.0
2002-12-04,115.0,115.0,113.8,114.3999,16200.0
2002-12-05,114.001,114.001,113.4,113.5,5900.0
2002-12-06,112.5,112.5,110.2502,110.8,86200.0
2002-12-09,111.9999,111.9999,110.5,110.5,2200.0
2002-12-10,110.55,111.3999,110.0,111.39,4300.0
2002-12-11,111.89,111.9999,110.01,110.9998,23700.0
2002-12-15,111.1,111.1899,111.1,111.1899,2600.0
2002-12-16,111.4998,111.4998,108.6,109.9999,5000.0
2002-12-17,111.9999,111.9999,110.0,110.2399,21000.0
2002-12-18,111.8497,111.8497,109.4999,109.9999,1200.0
2002-12-19,111.7999,111.7999,110.0,110.0,700.0
2002-12-20,111.4999,111.4999,109.1,110.4999,7600.0
2002-12-23,111.3849,111.3849,109.5,110.4899,1700.0
2002-12-24,111.4899,111.4899,108.5,109.85,8900.0
2002-12-25,80.0,111.19,80.0,110.0,8900.0
2002-12-26,111.2998,111.2998,107.5,109.6199,5500.0
2002-12-27,111.2399,111.2399,108.3,110.3999,2800.0
2002-12-30,110.89,110.89,108.6,108.6,800.0
2003-01-04,110.0,111.0,109.97,109.97,1800.0
2003-01-05,111.1,111.1,111.1,111.1,200.0
2003-01-08,111.9999,111.9999,100.1,108.0,1500.0
2003-01-09,109.9999,109.9999,108.0,109.89,5500.0
