Date,Open,High,Low,Close,Volume
2019-10-28,118.86,121.2,118.86,120.6,1947660.0
2019-10-29,120.2,122.6,120.02,121.98,683810.0
2019-10-30,122.5,122.7,121.28,121.7,366910.0
2019-10-31,122.14,122.38,121.02,121.6,193260.0
2019-11-01,121.84,121.9,121.26,121.4,166250.0
2019-11-05,121.78,122.0,119.74,119.8,613470.0
2019-11-06,119.7,121.4,119.0,120.86,217070.0
2019-11-07,120.74,122.58,120.12,122.58,380600.0
2019-11-08,122.62,125.12,121.6,122.28,202500.0
2019-11-11,122.98,123.0,121.62,122.2,70940.0
2019-11-12,122.8,124.2,122.34,123.56,273930.0
2019-11-13,124.86,124.86,123.16,123.94,336440.0
2019-11-14,124.86,127.64,123.52,126.12,846000.0
2019-11-15,127.6,131.24,124.92,125.0,337120.0
2019-11-18,127.48,127.58,125.02,125.5,439250.0
2019-11-19,127.3,127.38,123.56,124.1,1285200.0
2019-11-20,124.2,125.2,121.5,121.58,1260190.0
2019-11-21,121.7,122.14,120.6,121.08,634200.0
2019-11-22,121.94,121.96,119.64,120.2,802170.0
2019-11-25,120.92,122.02,120.08,120.6,520660.0
2019-11-26,120.72,121.2,119.7,119.94,1282260.0
2019-11-27,120.8,120.82,119.98,120.3,706290.0
2019-11-28,120.76,120.76,119.1,119.42,1172150.0
2019-11-29,120.46,120.5,117.46,118.58,878470.0
2019-12-02,117.78,119.96,117.48,117.64,623550.0
2019-12-03,117.56,117.98,113.0,113.3,1271580.0
2019-12-04,113.5,114.0,112.66,114.0,340080.0
2019-12-05,114.46,117.42,113.72,116.78,720130.0
2019-12-06,116.98,119.2,116.7,118.62,1251070.0
2019-12-09,120.72,123.0,118.04,122.84,897030.0
2019-12-10,123.0,124.8,122.1,123.88,1581590.0
2019-12-11,124.3,126.48,121.9,123.48,1028070.0
2019-12-12,124.4,124.5,122.42,123.5,1760370.0
2019-12-13,124.88,125.78,120.44,125.72,925480.0
2019-12-16,126.6,130.5,125.1,130.0,2444650.0
2019-12-17,130.0,131.4,129.08,129.96,903050.0
2019-12-18,130.88,132.76,130.14,132.24,1173070.0
2019-12-19,132.58,134.0,131.74,134.0,2001520.0
2019-12-20,133.38,133.38,128.5,128.56,1834950.0
2019-12-23,129.34,130.96,128.92,130.46,568510.0
2019-12-24,130.2,131.0,130.0,131.0,426820.0
2019-12-25,131.3,134.6,130.0,131.38,361770.0
2019-12-26,130.1,131.0,128.1,130.5,258350.0
2019-12-27,131.98,133.9,129.52,130.86,658560.0
2019-12-30,131.7,133.58,130.14,131.12,381210.0
2020-01-03,131.72,135.3,131.72,133.24,860370.0
2020-01-06,133.98,134.94,131.2,132.28,543920.0
2020-01-08,131.52,135.02,131.24,135.02,691110.0
2020-01-09,135.02,136.8,133.38,136.68,650270.0
2020-01-10,137.0,140.1,135.5,139.84,733430.0
2020-01-13,138.46,143.44,138.44,142.64,3094490.0
2020-01-14,144.08,145.0,140.52,142.64,4050800.0
2020-01-15,143.74,147.32,141.48,145.38,4390000.0
2020-01-16,145.54,149.02,144.12,145.2,6963840.0
2020-01-17,145.12,146.7,144.44,146.52,1734000.0
2020-01-20,147.88,148.46,145.18,147.32,1714360.0
2020-01-21,147.2,147.26,143.72,144.8,2906980.0
2020-01-22,145.0,146.76,144.28,144.48,3464060.0
2020-01-23,144.0,145.84,142.02,143.64,3350860.0
2020-01-24,144.5,146.78,142.62,143.74,2470090.0
2020-01-27,143.74,143.92,138.6,139.92,2487210.0
2020-01-28,139.98,145.66,139.12,145.0,1856350.0
2020-01-29,147.32,147.68,142.84,146.8,2300340.0
2020-01-30,147.74,148.72,144.4,148.62,508630.0
2020-01-31,149.0,152.78,147.0,151.5,911600.0
2020-02-03,153.42,156.5,148.42,154.5,1988420.0
2020-02-04,156.68,161.68,154.54,159.04,2156020.0
2020-02-05,160.96,165.66,159.26,163.52,3557130.0
2020-02-06,165.98,167.68,163.24,164.52,2186290.0
2020-02-07,165.0,167.0,163.88,166.2,1391540.0
2020-02-10,167.28,169.98,166.1,167.06,1760600.0
2020-02-11,168.9,169.8,165.42,168.48,1827780.0
2020-02-12,169.88,169.88,164.8,167.16,959620.0
2020-02-13,167.1,168.0,165.22,165.78,728400.0
2020-02-14,166.58,167.36,161.52,165.0,896700.0
2020-02-17,163.88,163.94,160.0,161.02,1288590.0
2020-02-18,160.1,163.6,159.02,160.4,899490.0
2020-02-19,161.56,162.48,160.02,162.48,548630.0
2020-02-20,163.2,166.38,161.92,164.44,891790.0
2020-02-21,164.08,165.9,161.12,163.16,721720.0
