Date,Open,High,Low,Close,Volume
2023-11-22,0.638,0.64,0.5576,0.571,4825767000.0
2023-11-23,0.5725,0.5858,0.5501,0.5795,1412450000.0
2023-11-24,0.5799,0.58,0.57,0.5739,588302000.0
2023-11-27,0.5747,0.576,0.555,0.557,528108000.0
2023-11-28,0.5575,0.5676,0.5509,0.559,349349000.0
2023-11-29,0.563,0.575,0.5613,0.5649,611503000.0
2023-11-30,0.5649,0.57,0.557,0.56,252806000.0
2023-12-01,0.5619,0.5653,0.551,0.5554,371436000.0
2023-12-04,0.5623,0.5794,0.5563,0.5615,807254000.0
2023-12-05,0.5616,0.5649,0.5552,0.562,286136000.0
2023-12-06,0.5639,0.5665,0.553,0.5556,227149000.0
2023-12-07,0.5557,0.56,0.5535,0.5549,157023000.0
2023-12-08,0.555,0.56,0.554,0.5542,143091000.0
2023-12-11,0.5539,0.5542,0.5277,0.532,395905000.0
2023-12-12,0.5321,0.5384,0.513,0.5272,244048000.0
2023-12-13,0.5295,0.5368,0.5224,0.5234,123352000.0
2023-12-14,0.53,0.5342,0.52,0.5265,196744000.0
2023-12-15,0.5285,0.552,0.52,0.548,321655000.0
2023-12-18,0.5481,0.5699,0.54,0.5638,320534000.0
2023-12-19,0.5656,0.57,0.5568,0.562,199539000.0
2023-12-20,0.5638,0.599,0.5604,0.595,858450000.0
2023-12-21,0.5945,0.6594,0.584,0.6299,1678386000.0
2023-12-22,0.6355,0.6608,0.617,0.63,892877000.0
2023-12-25,0.6345,0.6475,0.6135,0.6255,449885000.0
2023-12-26,0.6268,0.6396,0.617,0.636,252958000.0
2023-12-27,0.6361,0.653,0.6239,0.6292,286665000.0
2023-12-28,0.635,0.6378,0.621,0.625,356716000.0
2023-12-29,0.6255,0.6399,0.6248,0.639,145796000.0
2024-01-03,0.6474,0.66,0.6404,0.6532,264957000.0
2024-01-04,0.655,0.6582,0.6505,0.6525,107002000.0
2024-01-05,0.6557,0.66,0.6501,0.6521,128325000.0
2024-01-08,0.6572,0.6715,0.64,0.6594,218648000.0
2024-01-09,0.661,0.6656,0.6516,0.6555,165778000.0
2024-01-10,0.659,0.669,0.654,0.6689,612152000.0
2024-01-11,0.67,0.6739,0.6448,0.6547,372204000.0
2024-01-12,0.6589,0.662,0.6522,0.6599,284429000.0
2024-01-15,0.6619,0.663,0.655,0.6556,191986000.0
2024-01-16,0.656,0.6581,0.645,0.6513,213159000.0
2024-01-17,0.6544,0.6565,0.648,0.6524,101752000.0
2024-01-18,0.6529,0.6581,0.648,0.6498,223441000.0
2024-01-19,0.6554,0.6554,0.64,0.6447,141235000.0
2024-01-22,0.647,0.65,0.645,0.648,166358000.0
2024-01-23,0.6505,0.6547,0.6455,0.6476,150362000.0
2024-01-24,0.6501,0.6504,0.64,0.6431,140872000.0
2024-01-25,0.644,0.6443,0.625,0.63,241690000.0
2024-01-26,0.632,0.635,0.6201,0.621,296424000.0
2024-01-29,0.6238,0.67,0.6215,0.6459,1093494000.0
2024-01-30,0.651,0.665,0.6459,0.655,514676000.0
2024-01-31,0.656,0.6686,0.65,0.663,453654000.0
2024-02-01,0.664,0.695,0.663,0.679,1075126000.0
2024-02-02,0.6809,0.6928,0.6724,0.6844,423891000.0
2024-02-05,0.685,0.6872,0.6672,0.6725,423574000.0
2024-02-06,0.673,0.6739,0.655,0.6713,513616000.0
2024-02-07,0.672,0.6939,0.6624,0.692,619590000.0
2024-02-08,0.6924,0.728,0.6924,0.728,1024519000.0
2024-02-09,0.7275,0.738,0.712,0.7152,623101000.0
2024-02-12,0.7162,0.73,0.6954,0.7085,335094000.0
2024-02-13,0.7114,0.75,0.7088,0.743,593548000.0
2024-02-14,0.7487,0.778,0.7223,0.7372,1057078000.0
2024-02-15,0.744,0.7599,0.7254,0.75,581220000.0
2024-02-16,0.7527,0.77,0.7456,0.7619,615531000.0
2024-02-19,0.7686,0.795,0.7638,0.7919,895991000.0
2024-02-20,0.793,0.8197,0.7731,0.8044,1053660000.0
2024-02-21,0.7995,0.805,0.7284,0.7814,1245792000.0
2024-02-22,0.7804,0.8083,0.78,0.7885,427540000.0
2024-02-26,0.7692,0.7885,0.7392,0.76,1038463000.0
2024-02-27,0.7673,0.78,0.75,0.7523,684563000.0
2024-02-28,0.7523,0.7574,0.72,0.743,1124291000.0
2024-02-29,0.7437,0.7634,0.728,0.7632,563070000.0
2024-03-01,0.7652,0.7696,0.751,0.7646,404239000.0
2024-03-04,0.7662,0.797,0.7613,0.797,605126000.0
2024-03-05,0.8022,0.8028,0.7772,0.791,887013000.0
2024-03-06,0.7919,0.798,0.7773,0.7905,643009000.0
2024-03-07,0.7966,0.8017,0.7828,0.7878,562621000.0
2024-03-11,0.7932,0.8,0.7871,0.788,440752000.0
2024-03-12,0.788,0.7892,0.7716,0.7807,352166000.0
2024-03-13,0.7837,0.7837,0.7751,0.7783,210348000.0
2024-03-14,0.7783,0.7796,0.7563,0.7613,368142000.0
2024-03-15,0.7624,0.782,0.7621,0.7765,303357000.0
2024-03-18,0.7774,0.7829,0.767,0.7698,213889000.0
2024-03-19,0.77,0.7735,0.75,0.7581,300081000.0
2024-03-20,0.759,0.7677,0.7464,0.7589,272356000.0
2024-03-21,0.78,0.7898,0.772,0.7846,522273000.0
2024-03-22,0.7846,0.7991,0.7733,0.7949,471698000.0
2024-03-25,0.79,0.8098,0.7804,0.807,638942000.0
2024-03-26,0.8099,0.812,0.7958,0.8039,321955000.0
2024-03-27,0.804,0.8049,0.7963,0.8005,197936000.0
