Date,Open,High,Low,Close,Volume
2022-12-14,239.0,258.72,157.0,185.4,2824316.0
2022-12-15,185.0,188.3,182.64,182.8,999270.0
2022-12-16,182.95,183.98,135.6,155.0,2724810.0
2022-12-19,154.97,175.0,145.01,159.13,1041171.0
2022-12-20,159.56,168.5,158.0,160.48,229343.0
2022-12-21,161.5,171.0,157.0,160.67,390593.0
2022-12-22,161.0,162.78,159.0,159.4,116045.0
2022-12-23,160.89,161.0,157.6,158.0,71479.0
2022-12-26,158.92,172.5,158.52,165.0,602824.0
2022-12-27,165.5,169.0,161.6,162.7,121661.0
2022-12-28,164.49,168.4,162.75,164.83,78549.0
2022-12-29,164.1,168.6,163.24,166.02,103938.0
2022-12-30,167.0,170.0,160.0,162.0,140325.0
2023-01-03,174.95,174.95,162.51,166.0,81769.0
2023-01-04,164.72,166.99,164.0,165.09,49466.0
2023-01-05,166.46,166.46,163.65,164.89,24841.0
2023-01-06,164.85,165.98,163.33,164.0,21326.0
2023-01-09,164.0,165.19,163.05,163.9,38517.0
2023-01-10,163.0,171.7,161.08,163.97,148146.0
2023-01-11,162.6,164.91,158.47,162.87,119961.0
2023-01-12,162.87,164.58,161.5,162.59,49222.0
2023-01-13,161.97,169.2,159.0,162.75,70864.0
2023-01-16,162.0,164.82,161.9,163.28,44390.0
2023-01-17,164.0,166.9,162.1,162.38,85531.0
2023-01-18,162.4,164.86,162.11,162.53,51563.0
2023-01-19,163.83,163.9,161.51,163.6,59464.0
2023-01-20,163.6,164.0,162.27,163.16,19074.0
2023-01-23,163.2,163.89,161.64,162.81,36067.0
2023-01-24,163.3,163.69,162.36,162.36,36122.0
2023-01-25,162.56,162.89,159.02,160.6,88511.0
2023-01-26,161.11,161.12,159.32,159.49,40928.0
2023-01-27,160.62,160.97,159.02,159.21,43869.0
2023-01-30,159.5,165.39,159.21,161.7,230502.0
2023-01-31,161.71,163.81,161.71,162.43,67977.0
2023-02-01,162.92,163.49,161.7,161.98,45287.0
2023-02-02,162.0,162.69,161.0,161.91,72181.0
2023-02-03,161.9,162.3,160.1,162.0,66059.0
2023-02-06,163.2,186.4,162.01,176.2,1291996.0
2023-02-07,183.39,183.39,168.36,171.47,344089.0
2023-02-08,172.97,175.74,166.11,171.13,233199.0
